DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,16,102780,0,0,102780
SOL00-057-AE PWD SUB DIV OCHHGHAT,Total, ,16,102780,0,0,102780
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,16,102780,0,0,102780
 , ,"[TRVch# 104 Dt:22/12/2017] , Billno-SOL000572017000008",1,6300,0,0,6300
 , ,"[TRVch# 112 Dt:21/05/2018] , Billno-SOL000572018000001",1,6750,0,0,6750
 , ,"[TRVch# 23 Dt:04/08/2018] , Billno-SOL000572018000004",1,6975,0,0,6975
 , ,"[TRVch# 257 Dt:31/03/2018] , Billno-SOL000572017000012",1,6510,0,0,6510
 , ,"[TRVch# 26 Dt:06/01/2018] , Billno-SOL000572017000009",1,6510,0,0,6510
 , ,"[TRVch# 34 Dt:07/07/2017] , Billno-SOL000572017000003",1,6300,0,0,6300
 , ,"[TRVch# 40 Dt:08/09/2017] , Billno-SOL000572017000005",1,6510,0,0,6510
 , ,"[TRVch# 40 Dt:09/03/2018] , Billno-SOL000572017000011",1,5880,0,0,5880
 , ,"[TRVch# 56 Dt:10/08/2017] , Billno-SOL000572017000004",1,6510,0,0,6510
 , ,"[TRVch# 63 Dt:07/06/2017] , Billno-SOL000572017000002",1,6090,0,0,6090
 , ,"[TRVch# 76 Dt:13/07/2018] , Billno-SOL000572018000002",1,6975,0,0,6975
 , ,"[TRVch# 77 Dt:13/07/2018] , Billno-SOL000572018000003",1,5850,0,0,5850
 , ,"[TRVch# 77 Dt:17/11/2017] , Billno-SOL000572017000007",1,6510,0,0,6510
 , ,"[TRVch# 81 Dt:17/02/2018] , Billno-SOL000572017000010",1,6510,0,0,6510
 , ,"[TRVch# 92 Dt:15/05/2017] , Billno-SOL000572017000001",1,6300,0,0,6300
 , ,"[TRVch# 92 Dt:16/10/2017] , Billno-SOL000572017000006",1,6300,0,0,6300
