,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,544939,79000,30107,435832
1,"SOL00-523-DISTT.ATTORNEY, SOLAN",Total, ,7,544939,79000,30107,435832
2, ,03-2014-00-114-02-S00N-V-N-01-SALARIES,Total,3,529583,79000,30107,420476
3, , ,"[TRVch# 7 Dt:03/04/2017] , Billno-SOL00523032017-001",1,87781,20000,1018,66763
4, , ,"[TRVch# 8 Dt:03/04/2017] , Billno-SOL00523032017-002",1,289103,0,23849,265254
5, , ,"[TRVch# 9 Dt:03/04/2017] , Billno-SOL00523032017-003",1,152699,59000,5240,88459
6, ,03-2014-00-114-02-S00N-V-N-02-WAGES,Total,1,5200,0,0,5200
7, , ,"[TRVch# 75 Dt:21/04/2017] , Billno-SOL005232017100006",1,5200,0,0,5200
8, ,03-2014-00-114-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3708,0,0,3708
9, , ,"[TRVch# 77 Dt:21/04/2017] , Billno-SOL005232017100004",1,3708,0,0,3708
10, ,03-2014-00-114-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,4935,0,0,4935
11, , ,"[TRVch# 80 Dt:24/04/2017] , Billno-SOL005232017100007",1,4935,0,0,4935
12, ,03-2014-00-114-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,1513,0,0,1513
13, , ,"[TRVch# 76 Dt:21/04/2017] , Billno-SOL005232017100005",1,1513,0,0,1513
0,Grand Total, , ,10,595812,78542,52716,464554
1,"SOL00-523-DISTT.ATTORNEY, SOLAN",Total, ,10,595812,78542,52716,464554
2, ,03-2014-00-114-02-S00N-V-N-01-SALARIES,Total,5,569963,78542,52716,438705
3, , ,"[TRVch# 1 Dt:01/05/2017] , Billno-SOL00523042017-001",1,363903,0,42538,321365
4, , ,"[TRVch# 158 Dt:29/05/2017] , Billno-SOL005232017100015",1,4935,0,0,4935
5, , ,"[TRVch# 2 Dt:01/05/2017] , Billno-SOL00523042017-002",1,157492,64000,7262,86230
6, , ,"[TRVch# 34 Dt:04/05/2017] , Billno-SOL005232017100010",1,16524,14542,197,1785
7, , ,"[TRVch# 35 Dt:04/05/2017] , Billno-SOL005232017100009",1,27109,0,2719,24390
8, ,03-2014-00-114-02-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
9, , ,"[TRVch# 24 Dt:02/05/2017] , Billno-SOL005232017100008",1,6300,0,0,6300
10, ,03-2014-00-114-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2267,0,0,2267
11, , ,"[TRVch# 154 Dt:26/05/2017] , Billno-SOL005232017100011",1,2267,0,0,2267
12, ,03-2014-00-114-02-S00N-V-N-04-LIVERIES,Total,1,5000,0,0,5000
13, , ,"[TRVch# 160 Dt:29/05/2017] , Billno-SOL005232017100012",1,5000,0,0,5000
14, ,03-2014-00-114-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,9847,0,0,9847
15, , ,"[TRVch# 159 Dt:29/05/2017] , Billno-SOL005232017100013",1,9847,0,0,9847
16, ,03-2014-00-114-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2435,0,0,2435
17, , ,"[TRVch# 157 Dt:29/05/2017] , Billno-SOL005232017100014",1,2435,0,0,2435
0,Grand Total, , ,11,506064,64000,45571,396493
1,"SOL00-523-DISTT.ATTORNEY, SOLAN",Total, ,11,506064,64000,45571,396493
2, ,03-2014-00-114-02-S00N-V-N-01-SALARIES,Total,6,492198,64000,45571,382627
3, , ,"[TRVch# 33 Dt:05/06/2017] , Billno-SOL005232017100020",1,6030,0,0,6030
4, , ,"[TRVch# 6 Dt:01/06/2017] , Billno-SOL00523052017-001",1,304389,0,34285,270104
5, , ,"[TRVch# 7 Dt:01/06/2017] , Billno-SOL00523052017-002",1,139382,64000,5042,70340
6, , ,"[TRVch# 8 Dt:01/06/2017] , Billno-SOL00523052017-003",1,18110,0,2220,15890
7, , ,"[TRVch# 80 Dt:14/06/2017] , Billno-SOL005232017100023",1,10237,0,1842,8395
8, , ,"[TRVch# 81 Dt:14/06/2017] , Billno-SOL005232017100022",1,14050,0,2182,11868
9, ,03-2014-00-114-02-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
10, , ,"[TRVch# 29 Dt:03/06/2017] , Billno-SOL005232017100017",1,6510,0,0,6510
11, ,03-2014-00-114-02-S00N-V-N-03-TRAVEL EXPENSES,Total,2,4313,0,0,4313
12, , ,"[TRVch# 126 Dt:28/06/2017] , Billno-SOL005232017100025",1,3217,0,0,3217
13, , ,"[TRVch# 35 Dt:06/06/2017] , Billno-SOL005232017100021",1,1096,0,0,1096
