DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,119,14419255,3694134,850094,9875027
SOL01-221-GSSS BHUGHAR,Total, ,119,14419255,3694134,850094,9875027
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,6,2300000,0,0,2300000
 , ,"[TRVch# 25 Dt:09/03/2018] , Billno-SOL012212017100066",1,600000,0,0,600000
 , ,"[TRVch# 27 Dt:09/02/2018] , Billno-SOL012212017100054",1,100000,0,0,100000
 , ,"[TRVch# 40 Dt:08/09/2017] , Billno-SOL012212017100034",1,500000,0,0,500000
 , ,"[TRVch# 403 Dt:31/07/2017] , Billno-SOL012212017100022",1,300000,0,0,300000
 , ,"[TRVch# 41 Dt:08/06/2017] , Billno-SOL012212017100011",1,600000,0,0,600000
 , ,"[TRVch# 86 Dt:10/08/2017] , Billno-SOL012212017100028",1,200000,0,0,200000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,28,5997198,1738466,425334,3833398
 , ,"[TRVch# 1052 Dt:21/07/2017] , Billno-SOL012212017100019",1,768,0,0,768
 , ,"[TRVch# 1440 Dt:30/11/2017] , Billno-SOL012212017100041",1,18059,0,0,18059
 , ,"[TRVch# 179 Dt:10/04/2018] , Billno-SOL01221032018-001",1,434404,140000,22723,271681
 , ,"[TRVch# 180 Dt:10/04/2018] , Billno-SOL01221032018-002",1,16600,0,0,16600
 , ,"[TRVch# 227 Dt:08/12/2017] , Billno-SOL01221112017-001",1,412650,110000,27576,275074
 , ,"[TRVch# 228 Dt:08/12/2017] , Billno-SOL01221112017-002",1,16600,0,80,16520
 , ,"[TRVch# 237 Dt:10/01/2018] , Billno-SOL01221122017-001",1,417074,125000,26726,265348
 , ,"[TRVch# 238 Dt:10/01/2018] , Billno-SOL01221122017-002",1,16600,0,0,16600
 , ,"[TRVch# 252 Dt:10/04/2017] , Billno-SOL01221032017-001",1,411966,90000,28152,293814
 , ,"[TRVch# 253 Dt:10/04/2017] , Billno-SOL01221032017-002",1,46057,30000,300,15757
 , ,"[TRVch# 258 Dt:09/02/2018] , Billno-SOL01221012018-001",1,421915,125000,26866,270049
 , ,"[TRVch# 259 Dt:09/02/2018] , Billno-SOL01221012018-002",1,16600,0,0,16600
 , ,"[TRVch# 265 Dt:10/07/2017] , Billno-SOL01221062017-001",1,396127,104000,29241,262886
 , ,"[TRVch# 272 Dt:09/03/2018] , Billno-SOL01221022018-001",1,433794,125000,52681,256113
 , ,"[TRVch# 273 Dt:09/03/2018] , Billno-SOL01221022018-002",1,16600,0,0,16600
 , ,"[TRVch# 276 Dt:08/09/2017] , Billno-SOL01221082017-001",1,405430,104000,29563,271867
 , ,"[TRVch# 289 Dt:10/08/2017] , Billno-SOL01221072017-001",1,399617,104000,29563,266054
 , ,"[TRVch# 302 Dt:08/06/2017] , Billno-SOL01221052017-001",1,395070,104000,27711,263359
 , ,"[TRVch# 309 Dt:10/10/2017] , Billno-SOL01221092017-001",1,411244,110000,30821,270423
 , ,"[TRVch# 344 Dt:10/11/2017] , Billno-SOL01221102017-001",1,411771,110000,30950,270821
 , ,"[TRVch# 348 Dt:08/12/2017] , Billno-SOL012212017100045",1,10174,0,0,10174
 , ,"[TRVch# 358 Dt:09/05/2017] , Billno-SOL01221042017-001",1,454338,120000,32314,302024
 , ,"[TRVch# 405 Dt:09/02/2018] , Billno-SOL012212017100049",1,26270,17918,841,7511
 , ,"[TRVch# 437 Dt:10/08/2017] , Billno-SOL012212017100025",1,200,0,0,200
 , ,"[TRVch# 472 Dt:10/10/2017] , Billno-SOL012212017100036",1,45947,25756,2023,18168
 , ,"[TRVch# 483 Dt:09/05/2017] , Billno-SOL012212017100002",1,39997,21882,1377,16738
 , ,"[TRVch# 521 Dt:09/03/2018] , Billno-SOL012212017100062",1,278119,171910,22354,83855
 , ,"[TRVch# 780 Dt:20/04/2017] , Billno-SOL012212017100007",1,43207,0,3472,39735
 ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,12,76650,0,0,76650
 , ,"[TRVch# 1182 Dt:22/11/2017] , Billno-SOL012212017100042",1,12810,0,0,12810
 , ,"[TRVch# 1372 Dt:22/05/2017] , Billno-SOL012212017100010",1,300,0,0,300
 , ,"[TRVch# 3053 Dt:31/03/2018] , Billno-SOL012212017100075",1,6510,0,0,6510
 , ,"[TRVch# 346 Dt:08/12/2017] , Billno-SOL012212017100043",1,6300,0,0,6300
 , ,"[TRVch# 374 Dt:10/01/2018] , Billno-SOL012212017100047",1,6510,0,0,6510
 , ,"[TRVch# 382 Dt:10/07/2017] , Billno-SOL012212017100016",1,6300,0,0,6300
 , ,"[TRVch# 386 Dt:08/09/2017] , Billno-SOL012212017100029",1,6510,0,0,6510
 , ,"[TRVch# 404 Dt:09/02/2018] , Billno-SOL012212017100053",1,6510,0,0,6510
 , ,"[TRVch# 407 Dt:08/06/2017] , Billno-SOL012212017100014",1,6510,0,0,6510
 , ,"[TRVch# 434 Dt:10/08/2017] , Billno-SOL012212017100024",1,6510,0,0,6510
 , ,"[TRVch# 479 Dt:09/05/2017] , Billno-SOL012212017100008",1,6000,0,0,6000
 , ,"[TRVch# 520 Dt:09/03/2018] , Billno-SOL012212017100065",1,5880,0,0,5880
 ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,10,281888,0,0,281888
 , ,"[TRVch# 1366 Dt:20/02/2018] , Billno-SOL012212017100057",1,135608,0,0,135608
 , ,"[TRVch# 1371 Dt:22/05/2017] , Billno-SOL012212017100009",1,14130,0,0,14130
 , ,"[TRVch# 3052 Dt:31/03/2018] , Billno-SOL012212017100076",1,17851,0,0,17851
 , ,"[TRVch# 381 Dt:10/07/2017] , Billno-SOL012212017100017",1,13833,0,0,13833
 , ,"[TRVch# 406 Dt:08/06/2017] , Billno-SOL012212017100015",1,14130,0,0,14130
 , ,"[TRVch# 408 Dt:08/09/2017] , Billno-SOL012212017100031",1,16600,0,0,16600
 , ,"[TRVch# 455 Dt:10/10/2017] , Billno-SOL012212017100039",1,16600,0,0,16600
 , ,"[TRVch# 513 Dt:09/02/2018] , Billno-SOL012212017100056",1,17851,0,0,17851
 , ,"[TRVch# 514 Dt:09/02/2018] , Billno-SOL012212017100055",1,17434,0,0,17434
 , ,"[TRVch# 519 Dt:09/03/2018] , Billno-SOL012212017100064",1,17851,0,0,17851
 ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,54,5709602,1955668,424760,3329174
 , ,"[TRVch# 1059 Dt:21/07/2017] , Billno-SOL012212017100021",1,15335,0,9,15326
 , ,"[TRVch# 181 Dt:10/04/2018] , Billno-SOL01221032018-003",1,91804,42500,120,49184
 , ,"[TRVch# 182 Dt:10/04/2018] , Billno-SOL01221032018-004",1,255867,98000,5684,152183
 , ,"[TRVch# 183 Dt:10/04/2018] , Billno-SOL01221032018-005",1,62264,0,14286,47978
 , ,"[TRVch# 229 Dt:08/12/2017] , Billno-SOL01221112017-003",1,87875,38500,8200,41175
 , ,"[TRVch# 230 Dt:08/12/2017] , Billno-SOL01221112017-004",1,240338,92000,9107,139231
 , ,"[TRVch# 231 Dt:08/12/2017] , Billno-SOL01221112017-005",1,59096,0,14322,44774
 , ,"[TRVch# 239 Dt:10/01/2018] , Billno-SOL01221122017-003",1,87875,38500,8120,41255
 , ,"[TRVch# 240 Dt:10/01/2018] , Billno-SOL01221122017-004",1,241988,92000,8664,141324
 , ,"[TRVch# 241 Dt:10/01/2018] , Billno-SOL01221122017-005",1,59096,0,14162,44934
 , ,"[TRVch# 254 Dt:10/04/2017] , Billno-SOL01221032017-003",1,81535,34500,120,46915
 , ,"[TRVch# 255 Dt:10/04/2017] , Billno-SOL01221032017-004",1,235447,79000,150,156297
 , ,"[TRVch# 256 Dt:10/04/2017] , Billno-SOL01221032017-005",1,55324,0,13890,41434
 , ,"[TRVch# 260 Dt:09/02/2018] , Billno-SOL01221012018-003",1,88947,38500,15120,35327
 , ,"[TRVch# 261 Dt:09/02/2018] , Billno-SOL01221012018-004",1,245333,92000,8715,144618
 , ,"[TRVch# 262 Dt:09/02/2018] , Billno-SOL01221012018-005",1,60367,0,14286,46081
 , ,"[TRVch# 266 Dt:10/07/2017] , Billno-SOL01221062017-002",1,85019,34500,7120,43399
 , ,"[TRVch# 267 Dt:10/07/2017] , Billno-SOL01221062017-003",1,316659,116000,7195,193464
 , ,"[TRVch# 268 Dt:10/07/2017] , Billno-SOL01221062017-004",1,56014,0,13959,42055
 , ,"[TRVch# 274 Dt:09/03/2018] , Billno-SOL01221022018-003",1,91804,38500,16481,36823
 , ,"[TRVch# 275 Dt:09/03/2018] , Billno-SOL01221022018-004",1,255867,92000,20266,143601
 , ,"[TRVch# 276 Dt:09/03/2018] , Billno-SOL01221022018-005",1,62264,0,14377,47887
 , ,"[TRVch# 277 Dt:08/09/2017] , Billno-SOL01221082017-002",1,86447,38500,7120,40827
 , ,"[TRVch# 278 Dt:08/09/2017] , Billno-SOL01221082017-003",1,267384,79000,7990,180394
 , ,"[TRVch# 279 Dt:08/09/2017] , Billno-SOL01221082017-004",1,57034,0,13959,43075
 , ,"[TRVch# 290 Dt:10/08/2017] , Billno-SOL01221072017-002",1,85019,38500,7120,39399
 , ,"[TRVch# 291 Dt:10/08/2017] , Billno-SOL01221072017-003",1,332673,116000,7204,209469
 , ,"[TRVch# 292 Dt:10/08/2017] , Billno-SOL01221072017-004",1,56114,0,13959,42155
 , ,"[TRVch# 303 Dt:08/06/2017] , Billno-SOL01221052017-002",1,85019,34500,7120,43399
 , ,"[TRVch# 304 Dt:08/06/2017] , Billno-SOL01221052017-003",1,315084,116000,7195,191889
 , ,"[TRVch# 305 Dt:08/06/2017] , Billno-SOL01221052017-004",1,56014,0,13959,42055
 , ,"[TRVch# 310 Dt:10/10/2017] , Billno-SOL01221092017-002",1,87875,38500,8120,41255
 , ,"[TRVch# 311 Dt:10/10/2017] , Billno-SOL01221092017-003",1,240338,92000,8547,139791
 , ,"[TRVch# 312 Dt:10/10/2017] , Billno-SOL01221092017-004",1,57955,0,14052,43903
 , ,"[TRVch# 345 Dt:10/11/2017] , Billno-SOL01221102017-002",1,87875,38500,8120,41255
 , ,"[TRVch# 346 Dt:10/11/2017] , Billno-SOL01221102017-003",1,240338,92000,8547,139791
 , ,"[TRVch# 347 Dt:10/11/2017] , Billno-SOL01221102017-004",1,59096,0,14162,44934
 , ,"[TRVch# 359 Dt:09/05/2017] , Billno-SOL01221042017-002",1,85019,34500,7120,43399
 , ,"[TRVch# 360 Dt:09/05/2017] , Billno-SOL01221042017-003",1,239950,79000,4150,156800
 , ,"[TRVch# 361 Dt:09/05/2017] , Billno-SOL01221042017-004",1,56014,0,13959,42055
 , ,"[TRVch# 406 Dt:09/02/2018] , Billno-SOL012212017100050",1,6432,6432,0,0
 , ,"[TRVch# 407 Dt:09/02/2018] , Billno-SOL012212017100051",1,14823,10710,301,3812
 , ,"[TRVch# 408 Dt:09/02/2018] , Billno-SOL012212017100052",1,4185,0,417,3768
 , ,"[TRVch# 435 Dt:10/08/2017] , Billno-SOL012212017100027",1,148,0,0,148
 , ,"[TRVch# 436 Dt:10/08/2017] , Billno-SOL012212017100026",1,100,0,0,100
 , ,"[TRVch# 473 Dt:10/10/2017] , Billno-SOL012212017100035",1,11301,11301,0,0
 , ,"[TRVch# 474 Dt:10/10/2017] , Billno-SOL012212017100037",1,7368,0,744,6624
 , ,"[TRVch# 475 Dt:10/10/2017] , Billno-SOL012212017100038",1,25412,18860,528,6024
 , ,"[TRVch# 480 Dt:09/05/2017] , Billno-SOL012212017100004",1,22709,22709,0,0
 , ,"[TRVch# 481 Dt:09/05/2017] , Billno-SOL012212017100003",1,9360,9360,0,0
 , ,"[TRVch# 482 Dt:09/05/2017] , Billno-SOL012212017100005",1,6126,0,612,5514
 , ,"[TRVch# 591 Dt:09/03/2018] , Billno-SOL012212017100060",1,154708,97280,20993,36435
 , ,"[TRVch# 592 Dt:09/03/2018] , Billno-SOL012212017100059",1,69925,55516,14409,0
 , ,"[TRVch# 593 Dt:09/03/2018] , Billno-SOL012212017100063",1,45639,0,0,45639
 ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,6572,0,0,6572
 , ,"[TRVch# 2993 Dt:31/03/2018] , Billno-SOL012212017100067",1,6036,0,0,6036
 , ,"[TRVch# 2995 Dt:31/03/2018] , Billno-SOL012212017100069",1,536,0,0,536
 ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,4,10003,0,0,10003
 , ,"[TRVch# 2996 Dt:31/03/2018] , Billno-SOL012212017100070",1,800,0,0,800
 , ,"[TRVch# 2997 Dt:31/03/2018] , Billno-SOL012212017100072",1,3600,0,0,3600
 , ,"[TRVch# 3002 Dt:31/03/2018] , Billno-SOL012212017100073",1,4533,0,0,4533
 , ,"[TRVch# 387 Dt:08/09/2017] , Billno-SOL012212017100033",1,1070,0,0,1070
 ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2474,0,0,2474
 , ,"[TRVch# 2994 Dt:31/03/2018] , Billno-SOL012212017100068",1,2474,0,0,2474
 ,32-2202-01-789-11-S00N-V-P-41-GIA GENERAL (Salary),Total,2,34868,0,0,34868
 , ,"[TRVch# 347 Dt:08/12/2017] , Billno-SOL012212017100044",1,17434,0,0,17434
 , ,"[TRVch# 463 Dt:10/11/2017] , Billno-SOL012212017100040",1,17434,0,0,17434
