,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,693588,233500,15677,444411
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,5,693588,233500,15677,444411
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,173020,20000,8238,144782
3, , ,"[TRVch# 764 Dt:10/04/2017] , Billno-SOL02213032017-001",1,55230,20000,30,35200
4, , ,"[TRVch# 765 Dt:10/04/2017] , Billno-SOL02213032017-002",1,117790,0,8208,109582
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,520568,213500,7439,299629
6, , ,"[TRVch# 766 Dt:10/04/2017] , Billno-SOL02213032017-003",1,85061,25000,120,59941
7, , ,"[TRVch# 767 Dt:10/04/2017] , Billno-SOL02213032017-004",1,363175,188500,2066,172609
8, , ,"[TRVch# 768 Dt:10/04/2017] , Billno-SOL02213032017-005",1,72332,0,5253,67079
0,Grand Total, , ,17,1668807,315009,40234,1313564
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,17,1668807,315009,40234,1313564
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,850000,0,0,850000
3, , ,"[TRVch# 441 Dt:31/05/2017] , Billno-SOL022132017100014",1,400000,0,0,400000
4, , ,"[TRVch# 442 Dt:31/05/2017] , Billno-SOL022132017100015",1,250000,0,0,250000
5, , ,"[TRVch# 443 Dt:31/05/2017] , Billno-SOL022132017100016",1,200000,0,0,200000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,200147,26251,12552,161344
7, , ,"[TRVch# 2177 Dt:31/05/2017] , Billno-SOL022132017100001",1,12161,6251,0,5910
8, , ,"[TRVch# 2178 Dt:31/05/2017] , Billno-SOL022132017100002",1,10623,0,972,9651
9, , ,"[TRVch# 620 Dt:09/05/2017] , Billno-SOL02213042017-001",1,55929,20000,2605,33324
10, , ,"[TRVch# 621 Dt:09/05/2017] , Billno-SOL02213042017-002",1,121434,0,8975,112459
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,608091,288758,27682,291651
12, , ,"[TRVch# 2179 Dt:31/05/2017] , Billno-SOL022132017100003",1,9774,9774,0,0
13, , ,"[TRVch# 2180 Dt:31/05/2017] , Billno-SOL022132017100004",1,51519,41371,0,10148
14, , ,"[TRVch# 2181 Dt:31/05/2017] , Billno-SOL022132017100005",1,5738,0,575,5163
15, , ,"[TRVch# 2207 Dt:31/05/2017] , Billno-SOL022132017100012",1,8613,8613,0,0
16, , ,"[TRVch# 622 Dt:09/05/2017] , Billno-SOL02213042017-003",1,88708,25000,4240,59468
17, , ,"[TRVch# 623 Dt:09/05/2017] , Billno-SOL02213042017-004",1,369669,204000,17546,148123
18, , ,"[TRVch# 624 Dt:09/05/2017] , Billno-SOL02213042017-005",1,74070,0,5321,68749
19, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,5536,0,0,5536
20, , ,"[TRVch# 2204 Dt:31/05/2017] , Billno-SOL022132017100006",1,3536,0,0,3536
21, , ,"[TRVch# 2206 Dt:31/05/2017] , Billno-SOL022132017100010",1,2000,0,0,2000
22, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,5033,0,0,5033
23, , ,"[TRVch# 2205 Dt:31/05/2017] , Billno-SOL022132017100008",1,5033,0,0,5033
0,Grand Total, , ,5,699543,266000,40687,392856
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,5,699543,266000,40687,392856
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,177363,20000,11580,145783
3, , ,"[TRVch# 549 Dt:08/06/2017] , Billno-SOL02213052017-001",1,55929,20000,2605,33324
4, , ,"[TRVch# 550 Dt:08/06/2017] , Billno-SOL02213052017-002",1,121434,0,8975,112459
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,522180,246000,29107,247073
6, , ,"[TRVch# 551 Dt:08/06/2017] , Billno-SOL02213052017-003",1,78441,42000,6240,30201
7, , ,"[TRVch# 552 Dt:08/06/2017] , Billno-SOL02213052017-004",1,369669,204000,17546,148123
8, , ,"[TRVch# 553 Dt:08/06/2017] , Billno-SOL02213052017-005",1,74070,0,5321,68749
0,Grand Total, , ,6,769805,286000,41966,441839
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,6,769805,286000,41966,441839
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,194906,20000,12015,162891
3, , ,"[TRVch# 490 Dt:10/07/2017] , Billno-SOL02213062017-001",1,55929,20000,2605,33324
4, , ,"[TRVch# 491 Dt:10/07/2017] , Billno-SOL02213062017-002",1,138977,0,9410,129567
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,567073,266000,29951,271122
6, , ,"[TRVch# 492 Dt:10/07/2017] , Billno-SOL02213062017-003",1,78441,42000,6240,30201
7, , ,"[TRVch# 493 Dt:10/07/2017] , Billno-SOL02213062017-004",1,414359,224000,18390,171969
8, , ,"[TRVch# 494 Dt:10/07/2017] , Billno-SOL02213062017-005",1,74273,0,5321,68952
9, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,7826,0,0,7826
10, , ,"[TRVch# 106 Dt:21/07/2017] , Billno-SOL022132017100018",1,7826,0,0,7826
0,Grand Total, , ,8,788606,286000,41962,460644
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,8,788606,286000,41962,460644
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,10120,0,0,10120
3, , ,"[TRVch# 105 Dt:10/08/2017] , Billno-SOL022132017000001",1,10120,0,0,10120
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,163859,20000,12006,131853
5, , ,"[TRVch# 536 Dt:10/08/2017] , Billno-SOL02213072017-001",1,55929,20000,2605,33324
6, , ,"[TRVch# 537 Dt:10/08/2017] , Billno-SOL02213072017-002",1,107930,0,9401,98529
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,578926,266000,29956,282970
8, , ,"[TRVch# 538 Dt:10/08/2017] , Billno-SOL02213072017-003",1,78441,42000,6240,30201
9, , ,"[TRVch# 539 Dt:10/08/2017] , Billno-SOL02213072017-004",1,416168,224000,18390,173778
10, , ,"[TRVch# 540 Dt:10/08/2017] , Billno-SOL02213072017-005",1,84317,0,5326,78991
11, ,19-2235-60-800-73-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,22939,0,0,22939
12, , ,"[TRVch# 276 Dt:31/08/2017] , Billno-SOL022132017100021",1,22939,0,0,22939
13, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,12762,0,0,12762
14, , ,"[TRVch# 161 Dt:31/08/2017] , Billno-SOL022132017100020",1,12762,0,0,12762
0,Grand Total, , ,9,777250,286000,41962,449288
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,9,777250,286000,41962,449288
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,171929,20000,12006,139923
3, , ,"[TRVch# 1157 Dt:21/09/2017] , Billno-SOL022132017100024",1,5355,0,0,5355
4, , ,"[TRVch# 497 Dt:08/09/2017] , Billno-SOL02213082017-001",1,56861,20000,2605,34256
5, , ,"[TRVch# 498 Dt:08/09/2017] , Billno-SOL02213082017-002",1,109713,0,9401,100312
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,597414,266000,29956,301458
7, , ,"[TRVch# 499 Dt:08/09/2017] , Billno-SOL02213082017-003",1,79755,42000,6240,31515
8, , ,"[TRVch# 500 Dt:08/09/2017] , Billno-SOL02213082017-004",1,426779,224000,18390,184389
9, , ,"[TRVch# 501 Dt:08/09/2017] , Billno-SOL02213082017-005",1,90880,0,5326,85554
10, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,7907,0,0,7907
11, , ,"[TRVch# 1322 Dt:29/09/2017] , Billno-SOL022132017100023",1,3800,0,0,3800
12, , ,"[TRVch# 1323 Dt:29/09/2017] , Billno-SOL022132017100025",1,1284,0,0,1284
13, , ,"[TRVch# 1324 Dt:29/09/2017] , Billno-SOL022132017100036",1,2823,0,0,2823
0,Grand Total, , ,12,829170,365811,40435,422924
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,12,829170,365811,40435,422924
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,210857,32456,13347,165054
3, , ,"[TRVch# 1461 Dt:20/10/2017] , Billno-SOL022132017100029",1,7456,7456,0,0
4, , ,"[TRVch# 1462 Dt:20/10/2017] , Billno-SOL022132017100030",1,13819,0,1188,12631
5, , ,"[TRVch# 1464 Dt:20/10/2017] , Billno-SOL022132017100032",1,1992,0,0,1992
6, , ,"[TRVch# 576 Dt:10/10/2017] , Billno-SOL02213092017-001",1,59494,25000,2605,31889
7, , ,"[TRVch# 577 Dt:10/10/2017] , Billno-SOL02213092017-002",1,128096,0,9554,118542
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,618313,333355,27088,257870
9, , ,"[TRVch# 1458 Dt:20/10/2017] , Billno-SOL022132017100026",1,10398,10398,0,0
10, , ,"[TRVch# 1459 Dt:20/10/2017] , Billno-SOL022132017100027",1,47957,47957,0,0
11, , ,"[TRVch# 1460 Dt:20/10/2017] , Billno-SOL022132017100028",1,7744,0,736,7008
12, , ,"[TRVch# 1463 Dt:20/10/2017] , Billno-SOL022132017100031",1,2502,0,0,2502
13, , ,"[TRVch# 578 Dt:10/10/2017] , Billno-SOL02213092017-003",1,81069,50000,6240,24829
14, , ,"[TRVch# 579 Dt:10/10/2017] , Billno-SOL02213092017-004",1,375942,225000,14631,136311
15, , ,"[TRVch# 580 Dt:10/10/2017] , Billno-SOL02213092017-005",1,92701,0,5481,87220
0,Grand Total, , ,8,818309,300000,42184,476125
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,8,818309,300000,42184,476125
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,226128,25000,15823,185305
3, , ,"[TRVch# 575 Dt:10/11/2017] , Billno-SOL02213102017-001",1,59544,25000,2605,31939
4, , ,"[TRVch# 576 Dt:10/11/2017] , Billno-SOL02213102017-002",1,166584,0,13218,153366
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,563383,275000,26361,262022
6, , ,"[TRVch# 1348 Dt:22/11/2017] , Billno-SOL022132017100042",1,3669,0,0,3669
7, , ,"[TRVch# 577 Dt:10/11/2017] , Billno-SOL02213102017-003",1,81069,50000,6240,24829
8, , ,"[TRVch# 578 Dt:10/11/2017] , Billno-SOL02213102017-004",1,375992,225000,14631,136361
9, , ,"[TRVch# 579 Dt:10/11/2017] , Billno-SOL02213102017-005",1,102653,0,5490,97163
10, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,6248,0,0,6248
11, , ,"[TRVch# 1347 Dt:22/11/2017] , Billno-SOL022132017100009",1,6248,0,0,6248
12, ,19-2235-60-800-73-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,22550,0,0,22550
13, , ,"[TRVch# 135 Dt:22/11/2017] , Billno-SOL022132017100022",1,22550,0,0,22550
0,Grand Total, , ,11,836666,300000,43464,493202
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,11,836666,300000,43464,493202
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,215854,25000,16223,174631
3, , ,"[TRVch# 1071 Dt:21/12/2017] , Billno-SOL022132017100047",1,5832,0,0,5832
4, , ,"[TRVch# 465 Dt:08/12/2017] , Billno-SOL02213112017-001",1,59544,25000,2685,31859
5, , ,"[TRVch# 466 Dt:08/12/2017] , Billno-SOL02213112017-002",1,150478,0,13538,136940
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,566642,275000,27241,264401
7, , ,"[TRVch# 467 Dt:08/12/2017] , Billno-SOL02213112017-003",1,81069,50000,6320,24749
8, , ,"[TRVch# 468 Dt:08/12/2017] , Billno-SOL02213112017-004",1,375992,225000,15111,135881
9, , ,"[TRVch# 469 Dt:08/12/2017] , Billno-SOL02213112017-005",1,109581,0,5810,103771
10, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,650,0,0,650
11, , ,"[TRVch# 398 Dt:08/12/2017] , Billno-SOL022132017100045",1,650,0,0,650
12, ,19-2235-60-800-73-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,3,39012,0,0,39012
13, , ,"[TRVch# 140 Dt:21/12/2017] , Billno-SOL022132017100033",1,18810,0,0,18810
14, , ,"[TRVch# 141 Dt:21/12/2017] , Billno-SOL022132017100048",1,9056,0,0,9056
15, , ,"[TRVch# 142 Dt:21/12/2017] , Billno-SOL022132017100049",1,11146,0,0,11146
16, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,14508,0,0,14508
17, , ,"[TRVch# 52 Dt:21/12/2017] , Billno-SOL022132017100046",1,14508,0,0,14508
0,Grand Total, , ,7,986527,305000,48471,633056
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,7,986527,305000,48471,633056
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 155 Dt:20/01/2018] , Billno-SOL022132017100052",1,200000,0,0,200000
4, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,8842,0,0,8842
5, , ,"[TRVch# 32 Dt:30/01/2018] , Billno-SOL022132017100056",1,8842,0,0,8842
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,210022,25000,12733,172289
7, , ,"[TRVch# 474 Dt:10/01/2018] , Billno-SOL02213122017-001",1,59544,25000,30,34514
8, , ,"[TRVch# 475 Dt:10/01/2018] , Billno-SOL02213122017-002",1,150478,0,12703,137775
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,567663,280000,35738,251925
10, , ,"[TRVch# 476 Dt:10/01/2018] , Billno-SOL02213122017-003",1,81069,50000,10360,20709
11, , ,"[TRVch# 477 Dt:10/01/2018] , Billno-SOL02213122017-004",1,375992,230000,19781,126211
12, , ,"[TRVch# 478 Dt:10/01/2018] , Billno-SOL02213122017-005",1,110602,0,5597,105005
0,Grand Total, , ,11,841801,342623,57008,442170
1,SOL02-213-PR. G.S.S.S PATTA MASOOLKHANA,Total, ,11,841801,342623,57008,442170
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,227042,29284,13862,183896
3, , ,"[TRVch# 1407 Dt:20/02/2018] , Billno-SOL022132017100061",1,4284,4284,0,0
4, , ,"[TRVch# 1408 Dt:20/02/2018] , Billno-SOL022132017100062",1,10398,0,967,9431
5, , ,"[TRVch# 594 Dt:09/02/2018] , Billno-SOL02213012018-001",1,60265,25000,30,35235
6, , ,"[TRVch# 595 Dt:09/02/2018] , Billno-SOL02213012018-002",1,152095,0,12865,139230
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,613994,313339,43146,257509
8, , ,"[TRVch# 1404 Dt:20/02/2018] , Billno-SOL022132017100058",1,5916,5916,0,0
9, , ,"[TRVch# 1405 Dt:20/02/2018] , Billno-SOL022132017100059",1,27423,27423,0,0
10, , ,"[TRVch# 1406 Dt:20/02/2018] , Billno-SOL022132017100060",1,6098,0,507,5591
