,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,1562978,482751,63596,1016631
1,SOL03-206-GSSS KALHOG,Total, ,8,1562978,482751,63596,1016631
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,434289,193100,5291,235898
3, , ,"[TRVch# 659 Dt:10/04/2017] , Billno-SOL03206032017-001",1,342350,155100,3573,183677
4, , ,"[TRVch# 660 Dt:10/04/2017] , Billno-SOL03206032017-002",1,17739,0,1688,16051
5, , ,"[TRVch# 661 Dt:10/04/2017] , Billno-SOL03206032017-003",1,74200,38000,30,36170
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,1128689,289651,58305,780733
7, , ,"[TRVch# 662 Dt:10/04/2017] , Billno-SOL03206032017-004",1,74808,23000,1150,50658
8, , ,"[TRVch# 663 Dt:10/04/2017] , Billno-SOL03206032017-005",1,71723,31000,60,40663
9, , ,"[TRVch# 664 Dt:10/04/2017] , Billno-SOL03206032017-006",1,489172,195651,3778,289743
10, , ,"[TRVch# 665 Dt:10/04/2017] , Billno-SOL03206032017-007",1,404113,0,53257,350856
11, , ,"[TRVch# 666 Dt:10/04/2017] , Billno-SOL03206032017-008",1,88873,40000,60,48813
0,Grand Total, , ,20,1811810,591500,125334,1094976
1,SOL03-206-GSSS KALHOG,Total, ,20,1811810,591500,125334,1094976
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,7,507214,231358,20019,255837
3, , ,"[TRVch# 2390 Dt:31/05/2017] , Billno-SOL032062017100002",1,1989,0,198,1791
4, , ,"[TRVch# 2391 Dt:31/05/2017] , Billno-SOL032062017100001",1,34841,32237,2604,0
5, , ,"[TRVch# 2402 Dt:31/05/2017] , Billno-SOL032062017100003",1,6687,6021,666,0
6, , ,"[TRVch# 2435 Dt:31/05/2017] , Billno-SOL032062017100013",1,4071,0,408,3663
7, , ,"[TRVch# 711 Dt:09/05/2017] , Billno-SOL03206042017-001",1,364130,155100,10283,198747
8, , ,"[TRVch# 712 Dt:09/05/2017] , Billno-SOL03206042017-002",1,17990,0,1710,16280
9, , ,"[TRVch# 713 Dt:09/05/2017] , Billno-SOL03206042017-003",1,77506,38000,4150,35356
10, ,08-2202-01-101-11-C00N-V-P-99-HONORARIUM,Total,1,9000,0,0,9000
11, , ,"[TRVch# 2433 Dt:31/05/2017] , Billno-SOL032062017100010",1,9000,0,0,9000
12, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14310,0,0,14310
13, , ,"[TRVch# 2432 Dt:31/05/2017] , Billno-SOL032062017100011",1,14310,0,0,14310
14, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,10,1275286,360142,105315,809829
15, , ,"[TRVch# 2387 Dt:31/05/2017] , Billno-SOL032062017100008",1,8250,7431,819,0
16, , ,"[TRVch# 2388 Dt:31/05/2017] , Billno-SOL032062017100007",1,45617,0,6331,39286
17, , ,"[TRVch# 2389 Dt:31/05/2017] , Billno-SOL032062017100004",1,8613,7749,864,0
18, , ,"[TRVch# 2392 Dt:31/05/2017] , Billno-SOL032062017100005",1,8253,7425,828,0
19, , ,"[TRVch# 2393 Dt:31/05/2017] , Billno-SOL032062017100006",1,55564,47886,4102,3576
20, , ,"[TRVch# 719 Dt:09/05/2017] , Billno-SOL03206042017-004",1,75765,23000,4240,48525
21, , ,"[TRVch# 720 Dt:09/05/2017] , Billno-SOL03206042017-005",1,74802,31000,4180,39622
22, , ,"[TRVch# 721 Dt:09/05/2017] , Billno-SOL03206042017-006",1,495406,195651,20773,278982
23, , ,"[TRVch# 722 Dt:09/05/2017] , Billno-SOL03206042017-008",1,90609,40000,5210,45399
24, , ,"[TRVch# 744 Dt:09/05/2017] , Billno-SOL03206042017-007",1,412407,0,57968,354439
25, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6000,0,0,6000
26, , ,"[TRVch# 2434 Dt:31/05/2017] , Billno-SOL032062017100009",1,6000,0,0,6000
0,Grand Total, , ,17,2944623,482751,106836,2355036
1,SOL03-206-GSSS KALHOG,Total, ,17,2944623,482751,106836,2355036
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,818795,0,0,818795
3, , ,"[TRVch# 344 Dt:30/06/2017] , Billno-SOL032062017100026",1,818795,0,0,818795
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,461947,193100,14598,254249
5, , ,"[TRVch# 589 Dt:08/06/2017] , Billno-SOL03206052017-003",1,86609,38000,2605,46004
6, , ,"[TRVch# 590 Dt:08/06/2017] , Billno-SOL03206052017-002",1,17990,0,1710,16280
7, , ,"[TRVch# 591 Dt:08/06/2017] , Billno-SOL03206052017-001",1,357348,155100,10283,191965
8, ,08-2202-01-101-11-C00N-V-P-99-HONORARIUM,Total,1,11250,0,0,11250
9, , ,"[TRVch# 1285 Dt:22/06/2017] , Billno-SOL032062017100014",1,11250,0,0,11250
10, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14310,0,0,14310
11, , ,"[TRVch# 1287 Dt:22/06/2017] , Billno-SOL032062017100016",1,14310,0,0,14310
