DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,110,31166,0,31166,0
SOL03-500-DISTRICT  TREASURY  OFFICER SOLAN,Total, ,110,31166,0,31166,0
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,35,4192,0,4192,0
 , ,"[TRVch# 121 Dt:31/08/2018] , Billno-SOL035001882030004",1,100,0,100,0
 , ,"[TRVch# 122 Dt:31/08/2018] , Billno-SOL035001882030005",1,200,0,200,0
 , ,"[TRVch# 130 Dt:30/06/2018] , Billno-SOL035001862030003",1,100,0,100,0
 , ,"[TRVch# 132 Dt:30/06/2018] , Billno-SOL035001862030005",1,60,0,60,0
 , ,"[TRVch# 134 Dt:30/06/2018] , Billno-SOL035001862030007",1,200,0,200,0
 , ,"[TRVch# 140 Dt:31/07/2018] , Billno-SOL035001872030002",1,100,0,100,0
 , ,"[TRVch# 141 Dt:30/11/2017] , Billno-SOL0350017A2030002",1,100,0,100,0
 , ,"[TRVch# 147 Dt:30/12/2017] , Billno-SOL0350017B2030013",1,100,0,100,0
 , ,"[TRVch# 149 Dt:30/01/2018] , Billno-SOL035001712030007",1,40,0,40,0
 , ,"[TRVch# 151 Dt:29/09/2017] , Billno-SOL035001792030003",1,40,0,40,0
 , ,"[TRVch# 153 Dt:29/09/2017] , Billno-SOL035001792030005",1,20,0,20,0
 , ,"[TRVch# 155 Dt:31/10/2017] , Billno-SOL035001702030006",1,60,0,60,0
 , ,"[TRVch# 158 Dt:29/05/2018] , Billno-SOL035001852030009",1,40,0,40,0
 , ,"[TRVch# 160 Dt:29/09/2017] , Billno-SOL035001792030012",1,100,0,100,0
 , ,"[TRVch# 161 Dt:31/08/2017] , Billno-SOL035001782030002",1,220,0,220,0
 , ,"[TRVch# 162 Dt:31/08/2017] , Billno-SOL035001782030003",1,200,0,200,0
 , ,"[TRVch# 163 Dt:30/06/2017] , Billno-SOL035001762030003",1,100,0,100,0
 , ,"[TRVch# 164 Dt:31/08/2017] , Billno-SOL035001782030005",1,540,0,540,0
 , ,"[TRVch# 167 Dt:31/08/2017] , Billno-SOL035001782030008",1,290,0,290,0
 , ,"[TRVch# 176 Dt:31/05/2017] , Billno-SOL035001752030004",1,40,0,40,0
 , ,"[TRVch# 178 Dt:31/05/2017] , Billno-SOL035001752030006",1,200,0,200,0
 , ,"[TRVch# 192 Dt:31/03/2018] , Billno-SOL035001732030013",1,40,0,40,0
 , ,"[TRVch# 193 Dt:31/03/2018] , Billno-SOL035001732030014",1,200,0,200,0
 , ,"[TRVch# 34 Dt:10/07/2017] , Billno-SOL035001772030001",1,20,0,20,0
 , ,"[TRVch# 35 Dt:08/05/2018] , Billno-SOL035001852030001",1,152,0,152,0
 , ,"[TRVch# 36 Dt:08/05/2018] , Billno-SOL035001852030002",1,80,0,80,0
 , ,"[TRVch# 37 Dt:08/05/2018] , Billno-SOL035001852030003",1,40,0,40,0
 , ,"[TRVch# 39 Dt:09/03/2018] , Billno-SOL035001732030002",1,40,0,40,0
 , ,"[TRVch# 61 Dt:21/04/2018] , Billno-SOL035001842030001",1,40,0,40,0
 , ,"[TRVch# 62 Dt:21/04/2018] , Billno-SOL035001842030002",1,150,0,150,0
 , ,"[TRVch# 86 Dt:21/12/2017] , Billno-SOL0350017B2030002",1,100,0,100,0
 , ,"[TRVch# 92 Dt:20/10/2017] , Billno-SOL035001702030001",1,100,0,100,0
 , ,"[TRVch# 94 Dt:27/04/2018] , Billno-SOL035001842030004",1,80,0,80,0
 , ,"[TRVch# 97 Dt:21/07/2017] , Billno-SOL035001772030004",1,200,0,200,0
 , ,"[TRVch# 98 Dt:21/05/2018] , Billno-SOL035001852030007",1,100,0,100,0
 ,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,Total,4,1040,0,1040,0
 , ,"[TRVch# 159 Dt:29/05/2018] , Billno-SOL035001852030010",1,120,0,120,0
 , ,"[TRVch# 161 Dt:29/09/2017] , Billno-SOL035001792030013",1,400,0,400,0
 , ,"[TRVch# 90 Dt:20/02/2018] , Billno-SOL035001722030005",1,120,0,120,0
 , ,"[TRVch# 96 Dt:21/07/2017] , Billno-SOL035001772030003",1,400,0,400,0
 ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,67,24500,0,24500,0
 , ,"[TRVch# 103 Dt:27/04/2018] , Billno-SOL035001842030005",1,320,0,320,0
 , ,"[TRVch# 109 Dt:20/01/2018] , Billno-SOL035001712030002",1,120,0,120,0
 , ,"[TRVch# 110 Dt:20/01/2018] , Billno-SOL035001712030003",1,200,0,200,0
 , ,"[TRVch# 112 Dt:20/01/2018] , Billno-SOL035001712030005",1,400,0,400,0
 , ,"[TRVch# 118 Dt:22/03/2018] , Billno-SOL035001732030005",1,400,0,400,0
 , ,"[TRVch# 119 Dt:22/03/2018] , Billno-SOL035001732030006",1,80,0,80,0
 , ,"[TRVch# 120 Dt:31/08/2018] , Billno-SOL035001882030003",1,200,0,200,0
 , ,"[TRVch# 130 Dt:28/02/2018] , Billno-SOL035001722030007",1,400,0,400,0
 , ,"[TRVch# 131 Dt:28/02/2018] , Billno-SOL035001722030008",1,800,0,800,0
 , ,"[TRVch# 131 Dt:30/06/2018] , Billno-SOL035001862030004",1,400,0,400,0
 , ,"[TRVch# 133 Dt:30/06/2018] , Billno-SOL035001862030006",1,120,0,120,0
 , ,"[TRVch# 135 Dt:30/06/2018] , Billno-SOL035001862030008",1,400,0,400,0
 , ,"[TRVch# 141 Dt:30/12/2017] , Billno-SOL0350017B2030007",1,120,0,120,0
 , ,"[TRVch# 141 Dt:31/07/2018] , Billno-SOL035001872030003",1,400,0,400,0
 , ,"[TRVch# 142 Dt:30/12/2017] , Billno-SOL0350017B2030008",1,400,0,400,0
 , ,"[TRVch# 143 Dt:30/11/2017] , Billno-SOL0350017A2030004",1,400,0,400,0
 , ,"[TRVch# 143 Dt:30/12/2017] , Billno-SOL0350017B2030009",1,800,0,800,0
 , ,"[TRVch# 144 Dt:30/11/2017] , Billno-SOL0350017A2030005",1,400,0,400,0
 , ,"[TRVch# 144 Dt:30/12/2017] , Billno-SOL0350017B2030010",1,80,0,80,0
 , ,"[TRVch# 145 Dt:30/12/2017] , Billno-SOL0350017B2030011",1,600,0,600,0
 , ,"[TRVch# 146 Dt:30/12/2017] , Billno-SOL0350017B2030012",1,200,0,200,0
 , ,"[TRVch# 148 Dt:30/01/2018] , Billno-SOL035001712030006",1,400,0,400,0
 , ,"[TRVch# 148 Dt:30/12/2017] , Billno-SOL0350017B2030014",1,800,0,800,0
 , ,"[TRVch# 149 Dt:29/09/2017] , Billno-SOL035001792030001",1,80,0,80,0
 , ,"[TRVch# 150 Dt:29/09/2017] , Billno-SOL035001792030002",1,400,0,400,0
 , ,"[TRVch# 150 Dt:30/01/2018] , Billno-SOL035001712030008",1,200,0,200,0
 , ,"[TRVch# 152 Dt:29/09/2017] , Billno-SOL035001792030004",1,400,0,400,0
 , ,"[TRVch# 154 Dt:29/09/2017] , Billno-SOL035001792030006",1,560,0,560,0
 , ,"[TRVch# 154 Dt:31/10/2017] , Billno-SOL035001702030005",1,200,0,200,0
 , ,"[TRVch# 155 Dt:29/09/2017] , Billno-SOL035001792030007",1,400,0,400,0
 , ,"[TRVch# 156 Dt:29/09/2017] , Billno-SOL035001792030008",1,300,0,300,0
 , ,"[TRVch# 156 Dt:31/10/2017] , Billno-SOL035001702030007",1,200,0,200,0
 , ,"[TRVch# 159 Dt:29/09/2017] , Billno-SOL035001792030011",1,200,0,200,0
 , ,"[TRVch# 160 Dt:31/08/2017] , Billno-SOL035001782030001",1,240,0,240,0
 , ,"[TRVch# 161 Dt:30/06/2017] , Billno-SOL035001762030001",1,1200,0,1200,0
 , ,"[TRVch# 162 Dt:30/06/2017] , Billno-SOL035001762030002",1,400,0,400,0
 , ,"[TRVch# 163 Dt:31/08/2017] , Billno-SOL035001782030004",1,400,0,400,0
 , ,"[TRVch# 165 Dt:31/08/2017] , Billno-SOL035001782030006",1,400,0,400,0
 , ,"[TRVch# 166 Dt:31/08/2017] , Billno-SOL035001782030007",1,80,0,80,0
 , ,"[TRVch# 168 Dt:31/08/2017] , Billno-SOL035001782030009",1,80,0,80,0
 , ,"[TRVch# 172 Dt:31/07/2017] , Billno-SOL035001772030005",1,400,0,400,0
 , ,"[TRVch# 173 Dt:31/05/2017] , Billno-SOL035001752030001",1,400,0,400,0
 , ,"[TRVch# 174 Dt:31/05/2017] , Billno-SOL035001752030002",1,800,0,800,0
 , ,"[TRVch# 175 Dt:31/05/2017] , Billno-SOL035001752030003",1,320,0,320,0
 , ,"[TRVch# 177 Dt:31/05/2017] , Billno-SOL035001752030005",1,400,0,400,0
 , ,"[TRVch# 187 Dt:31/03/2018] , Billno-SOL035001732030008",1,800,0,800,0
 , ,"[TRVch# 190 Dt:31/03/2018] , Billno-SOL035001732030011",1,200,0,200,0
 , ,"[TRVch# 191 Dt:31/03/2018] , Billno-SOL035001732030012",1,240,0,240,0
 , ,"[TRVch# 26 Dt:08/12/2017] , Billno-SOL0350017B2030001",1,400,0,400,0
 , ,"[TRVch# 32 Dt:09/02/2018] , Billno-SOL035001722030001",1,120,0,120,0
 , ,"[TRVch# 33 Dt:10/08/2018] , Billno-SOL035001882030001",1,200,0,200,0
