,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,628404,76500,16324,535580
1,SOL04-200-GSSS MITIAN,Total, ,4,628404,76500,16324,535580
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,85895,0,1847,84048
3, , ,"[TRVch# 361 Dt:10/04/2017] , Billno-SOL04200032017-001",1,85895,0,1847,84048
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,542509,76500,14477,451532
5, , ,"[TRVch# 362 Dt:10/04/2017] , Billno-SOL04200032017-002",1,81514,0,60,81454
6, , ,"[TRVch# 363 Dt:10/04/2017] , Billno-SOL04200032017-003",1,247364,76500,2186,168678
7, , ,"[TRVch# 364 Dt:10/04/2017] , Billno-SOL04200032017-004",1,213631,0,12231,201400
0,Grand Total, , ,8,1764524,100000,29766,1634758
1,SOL04-200-GSSS MITIAN,Total, ,8,1764524,100000,29766,1634758
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,613672,0,0,613672
3, , ,"[TRVch# 418 Dt:31/05/2017] , Billno-SOL042002017100001",1,200000,0,0,200000
4, , ,"[TRVch# 420 Dt:31/05/2017] , Billno-SOL042002017100003",1,413672,0,0,413672
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,89537,0,1871,87666
6, , ,"[TRVch# 775 Dt:09/05/2017] , Billno-SOL04200042017-001",1,89537,0,1871,87666
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,455268,100000,27895,327373
8, , ,"[TRVch# 776 Dt:09/05/2017] , Billno-SOL04200042017-002",1,76012,30000,7060,38952
9, , ,"[TRVch# 777 Dt:09/05/2017] , Billno-SOL04200042017-003",1,170958,70000,9150,91808
10, , ,"[TRVch# 778 Dt:09/05/2017] , Billno-SOL04200042017-004",1,208298,0,11685,196613
11, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,308427,0,0,308427
12, , ,"[TRVch# 135 Dt:31/05/2017] , Billno-SOL042002017100002",1,308427,0,0,308427
13, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,297620,0,0,297620
