DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,58,122445126,0,0,122445126
"SOL04-723-E.E. IPH DIVISION,NALAGARH.",Total, ,58,122445126,0,0,122445126
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,58,122445126,0,0,122445126
 , ,"[TRVch# 117 Dt:28/02/2018] , Billno-SOL047230400208932",1,9500,0,0,9500
 , ,"[TRVch# 118 Dt:28/02/2018] , Billno-SOL047230417109921",1,28800,0,0,28800
 , ,"[TRVch# 12 Dt:10/11/2017] , Billno-SOL047230417109910",1,25500,0,0,25500
 , ,"[TRVch# 121 Dt:31/07/2018] , Billno-SOL047230400208941",1,9500,0,0,9500
 , ,"[TRVch# 126 Dt:31/08/2018] , Billno-SOL047230400208942",1,9500,0,0,9500
 , ,"[TRVch# 149 Dt:30/01/2018] , Billno-SOL047230400208929",1,9500,0,0,9500
 , ,"[TRVch# 15 Dt:21/04/2018] , Billno-SOL047230418104501",1,6529,0,0,6529
 , ,"[TRVch# 153 Dt:31/08/2017] , Billno-SOL047230417109906",1,19920,0,0,19920
 , ,"[TRVch# 154 Dt:31/08/2017] , Billno-SOL047230400208923",1,9500,0,0,9500
 , ,"[TRVch# 155 Dt:29/09/2017] , Billno-SOL047230417109908",1,3325108,0,0,3325108
 , ,"[TRVch# 155 Dt:31/08/2017] , Billno-SOL047230400208924",1,9500,0,0,9500
 , ,"[TRVch# 156 Dt:29/09/2017] , Billno-SOL047230417109909",1,1655217,0,0,1655217
 , ,"[TRVch# 16 Dt:09/02/2018] , Billno-SOL047230417109920",1,47079,0,0,47079
 , ,"[TRVch# 21 Dt:08/12/2017] , Billno-SOL047230417109916",1,4550,0,0,4550
 , ,"[TRVch# 21 Dt:10/07/2018] , Billno-SOL047230418104506",1,22950,0,0,22950
 , ,"[TRVch# 26 Dt:09/05/2017] , Billno-SOL047230400208919",1,9500,0,0,9500
 , ,"[TRVch# 268 Dt:31/03/2018] , Billno-SOL047230400208936",1,9500,0,0,9500
 , ,"[TRVch# 269 Dt:31/03/2018] , Billno-SOL047230400208937",1,9500,0,0,9500
 , ,"[TRVch# 27 Dt:09/05/2017] , Billno-SOL047230417109901",1,121150,0,0,121150
 , ,"[TRVch# 270 Dt:31/03/2018] , Billno-SOL047230417109923",1,8375,0,0,8375
 , ,"[TRVch# 271 Dt:31/03/2018] , Billno-SOL047230417109926",1,61060,0,0,61060
 , ,"[TRVch# 272 Dt:31/03/2018] , Billno-SOL047230417109925",1,21310,0,0,21310
 , ,"[TRVch# 273 Dt:31/03/2018] , Billno-SOL047230417109924",1,54104132,0,0,54104132
 , ,"[TRVch# 274 Dt:31/03/2018] , Billno-SOL047230417109927",1,42500,0,0,42500
 , ,"[TRVch# 28 Dt:09/05/2017] , Billno-SOL047230417109902",1,209700,0,0,209700
 , ,"[TRVch# 35 Dt:27/04/2018] , Billno-SOL047230418104502",1,24161,0,0,24161
 , ,"[TRVch# 36 Dt:27/04/2018] , Billno-SOL047230400208938",1,9500,0,0,9500
 , ,"[TRVch# 37 Dt:27/04/2018] , Billno-SOL047230418104503",1,6636,0,0,6636
 , ,"[TRVch# 43 Dt:10/08/2017] , Billno-SOL047230400208921",1,9500,0,0,9500
 , ,"[TRVch# 44 Dt:10/08/2017] , Billno-SOL047230417109905",1,20500,0,0,20500
