,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,17,16925817,1700500,686445,14538872
1,SOL05-201-BEEO NALAGARH,Total, ,17,16925817,1700500,686445,14538872
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,10,2940617,0,0,2940617
3, , ,"[TRVch# 246 Dt:20/04/2017] , Billno-SOL052012017100001",1,1230617,0,0,1230617
4, , ,"[TRVch# 249 Dt:20/04/2017] , Billno-SOL052012017100007",1,370000,0,0,370000
5, , ,"[TRVch# 250 Dt:20/04/2017] , Billno-SOL052012017100005",1,400000,0,0,400000
6, , ,"[TRVch# 251 Dt:20/04/2017] , Billno-SOL052012017100004",1,250000,0,0,250000
7, , ,"[TRVch# 278 Dt:20/04/2017] , Billno-SOL052012017100006",1,40000,0,0,40000
8, , ,"[TRVch# 279 Dt:20/04/2017] , Billno-SOL052012017100008",1,150000,0,0,150000
9, , ,"[TRVch# 280 Dt:20/04/2017] , Billno-SOL052012017100009",1,150000,0,0,150000
10, , ,"[TRVch# 466 Dt:29/04/2017] , Billno-SOL052012017100010",1,100000,0,0,100000
11, , ,"[TRVch# 498 Dt:29/04/2017] , Billno-SOL052012017100013",1,100000,0,0,100000
12, , ,"[TRVch# 499 Dt:29/04/2017] , Billno-SOL052012017100014",1,150000,0,0,150000
13, ,08-2202-01-101-01-S00N-V-N-01-SALARIES,Total,2,11784834,1593500,654022,9537312
14, , ,"[TRVch# 434 Dt:10/04/2017] , Billno-SOL05201032017-001",1,4846081,1593500,15892,3236689
15, , ,"[TRVch# 435 Dt:10/04/2017] , Billno-SOL05201032017-002",1,6938753,0,638130,6300623
16, ,08-2202-01-104-02-S00N-V-N-01-SALARIES,Total,2,369848,107000,2620,260228
17, , ,"[TRVch# 436 Dt:10/04/2017] , Billno-SOL05201032017-003",1,308093,107000,270,200823
18, , ,"[TRVch# 437 Dt:10/04/2017] , Billno-SOL05201032017-004",1,61755,0,2350,59405
19, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,944840,0,0,944840
20, , ,"[TRVch# 21 Dt:20/04/2017] , Billno-SOL052012017100002",1,944840,0,0,944840
21, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,577720,0,0,577720
22, , ,"[TRVch# 22 Dt:20/04/2017] , Billno-SOL052012017100003",1,577720,0,0,577720
23, ,32-2202-01-789-01-S00N-V-P-01-SALARIES,Total,1,307958,0,29803,278155
24, , ,"[TRVch# 438 Dt:10/04/2017] , Billno-SOL05201032017-005",1,307958,0,29803,278155
0,Grand Total, , ,7,18172081,1937500,735789,15498792
1,SOL05-201-BEEO NALAGARH,Total, ,7,18172081,1937500,735789,15498792
