,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,877948,244333,58956,574659
1,SOL06-205-GSSS BADHALAG,Total, ,5,877948,244333,58956,574659
2, ,08-2202-01-101-03-S00N-V-P-01-SALARIES,Total,1,32460,0,0,32460
3, , ,"[TRVch# 599 Dt:10/04/2017] , Billno-SOL06205032017-001",1,32460,0,0,32460
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,515990,205333,30816,279841
5, , ,"[TRVch# 600 Dt:10/04/2017] , Billno-SOL06205032017-002",1,74551,25000,5120,44431
6, , ,"[TRVch# 601 Dt:10/04/2017] , Billno-SOL06205032017-003",1,441439,180333,25696,235410
7, ,32-2202-01-789-03-S00N-V-P-01-SALARIES,Total,1,83723,39000,2100,42623
8, , ,"[TRVch# 602 Dt:10/04/2017] , Billno-SOL06205032017-004",1,83723,39000,2100,42623
9, ,32-2202-02-789-02-S00N-V-P-01-SALARIES,Total,1,245775,0,26040,219735
10, , ,"[TRVch# 603 Dt:10/04/2017] , Billno-SOL06205032017-005",1,245775,0,26040,219735
0,Grand Total, , ,14,990627,297389,68051,625187
1,SOL06-205-GSSS BADHALAG,Total, ,14,990627,297389,68051,625187
2, ,08-2202-01-101-03-S00N-V-P-01-SALARIES,Total,1,34160,0,0,34160
3, , ,"[TRVch# 1052 Dt:09/05/2017] , Billno-SOL06205042017-001",1,34160,0,0,34160
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,575066,257389,34896,282781
5, , ,"[TRVch# 1053 Dt:09/05/2017] , Billno-SOL06205042017-002",1,75501,25000,5120,45381
6, , ,"[TRVch# 1054 Dt:09/05/2017] , Billno-SOL06205042017-003",1,450429,187333,25696,237400
7, , ,"[TRVch# 1832 Dt:22/05/2017] , Billno-SOL062052017100008",1,5516,4966,550,0
8, , ,"[TRVch# 1833 Dt:22/05/2017] , Billno-SOL062052017100010",1,43620,40090,3530,0
9, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,12502,0,0,12502
10, , ,"[TRVch# 1793 Dt:22/05/2017] , Billno-SOL062052017100002",1,12502,0,0,12502
11, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,1896,0,0,1896
12, , ,"[TRVch# 1795 Dt:22/05/2017] , Billno-SOL062052017100004",1,1896,0,0,1896
13, ,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,Total,1,1248,0,0,1248
14, , ,"[TRVch# 1794 Dt:22/05/2017] , Billno-SOL062052017100003",1,1248,0,0,1248
15, ,32-2202-01-789-03-S00N-V-P-01-SALARIES,Total,1,84784,40000,2100,42684
16, , ,"[TRVch# 1055 Dt:09/05/2017] , Billno-SOL06205042017-004",1,84784,40000,2100,42684
17, ,32-2202-02-789-02-S00N-V-P-01-SALARIES,Total,2,273496,0,31055,242441
18, , ,"[TRVch# 1056 Dt:09/05/2017] , Billno-SOL06205042017-005",1,250538,0,27398,223140
19, , ,"[TRVch# 1831 Dt:22/05/2017] , Billno-SOL062052017100011",1,22958,0,3657,19301
20, ,32-2202-02-789-02-S00N-V-P-02-WAGES,Total,1,6300,0,0,6300
21, , ,"[TRVch# 1796 Dt:22/05/2017] , Billno-SOL062052017100005",1,6300,0,0,6300
22, ,32-2202-02-789-02-S00N-V-P-05-OFFICE EXPENSES,Total,2,1175,0,0,1175
23, , ,"[TRVch# 1829 Dt:22/05/2017] , Billno-SOL062052017100012",1,518,0,0,518
24, , ,"[TRVch# 1830 Dt:22/05/2017] , Billno-SOL062052017100013",1,657,0,0,657
0,Grand Total, , ,12,935488,240144,62370,632974
1,SOL06-205-GSSS BADHALAG,Total, ,12,935488,240144,62370,632974
2, ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,419,0,0,419
3, , ,"[TRVch# 1423 Dt:22/06/2017] , Billno-SOL062052017100018",1,419,0,0,419
4, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,8591,0,0,8591
5, , ,"[TRVch# 1022 Dt:08/06/2017] , Billno-SOL062052017100014",1,8591,0,0,8591
6, ,08-2202-01-101-03-S00N-V-P-01-SALARIES,Total,1,34160,0,0,34160
7, , ,"[TRVch# 978 Dt:08/06/2017] , Billno-SOL06205052017-001",1,34160,0,0,34160
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,466309,191333,28786,246190
9, , ,"[TRVch# 979 Dt:08/06/2017] , Billno-SOL06205052017-002",1,75501,25000,5120,45381
10, , ,"[TRVch# 980 Dt:08/06/2017] , Billno-SOL06205052017-003",1,390808,166333,23666,200809
11, ,32-2202-01-789-03-S00N-V-P-01-SALARIES,Total,3,95102,48811,2690,43601
12, , ,"[TRVch# 1020 Dt:08/06/2017] , Billno-SOL062052017100007",1,917,0,0,917
13, , ,"[TRVch# 1021 Dt:08/06/2017] , Billno-SOL062052017100009",1,9401,8811,590,0
14, , ,"[TRVch# 981 Dt:08/06/2017] , Billno-SOL06205052017-004",1,84784,40000,2100,42684
15, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,2,37800,0,0,37800
16, , ,"[TRVch# 1023 Dt:08/06/2017] , Billno-SOL062052017100015",1,28800,0,0,28800
17, , ,"[TRVch# 1024 Dt:08/06/2017] , Billno-SOL062052017100016",1,9000,0,0,9000
18, ,32-2202-02-789-02-S00N-V-P-01-SALARIES,Total,1,286597,0,30894,255703
19, , ,"[TRVch# 982 Dt:08/06/2017] , Billno-SOL06205052017-005",1,286597,0,30894,255703
