DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,150,12106362,2758047,578706,8769609
SOL07-210-HEADMASTER GHS HARIPUR,Total, ,150,12106362,2758047,578706,8769609
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,6,1301160,0,0,1301160
 , ,"[TRVch# 105 Dt:10/07/2018] , Billno-SOL072102018100011",1,110000,0,0,110000
 , ,"[TRVch# 363 Dt:31/05/2017] , Billno-SOL072102017100005",1,500000,0,0,500000
 , ,"[TRVch# 374 Dt:30/11/2017] , Billno-SOL072102017100039",1,11160,0,0,11160
 , ,"[TRVch# 391 Dt:30/12/2017] , Billno-SOL072102017100045",1,130000,0,0,130000
 , ,"[TRVch# 392 Dt:30/06/2017] , Billno-SOL072102017100016",1,350000,0,0,350000
 , ,"[TRVch# 392 Dt:30/12/2017] , Billno-SOL072102017100046",1,200000,0,0,200000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,34150,0,0,34150
 , ,"[TRVch# 31 Dt:29/09/2017] , Billno-SOL072102017100030",1,34150,0,0,34150
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,44,3421962,1129238,198417,2094307
 , ,"[TRVch# 1022 Dt:08/09/2017] , Billno-SOL07210082017-001",1,141798,60000,5195,76603
 , ,"[TRVch# 1023 Dt:08/09/2017] , Billno-SOL07210082017-002",1,32815,0,9,32806
 , ,"[TRVch# 1042 Dt:10/08/2017] , Billno-SOL07210072017-001",1,139887,60000,5195,74692
 , ,"[TRVch# 1043 Dt:10/08/2017] , Billno-SOL07210072017-002",1,32275,0,9,32266
 , ,"[TRVch# 1069 Dt:10/10/2017] , Billno-SOL07210092017-001",1,145822,60000,5195,80627
 , ,"[TRVch# 1070 Dt:10/10/2017] , Billno-SOL07210092017-002",1,33355,0,9,33346
 , ,"[TRVch# 1073 Dt:10/11/2017] , Billno-SOL07210102017-001",1,212672,75000,7324,130348
 , ,"[TRVch# 1074 Dt:08/06/2017] , Billno-SOL07210052017-001",1,155828,60000,5195,90633
 , ,"[TRVch# 1074 Dt:10/11/2017] , Billno-SOL07210102017-002",1,91290,0,5401,85889
 , ,"[TRVch# 1137 Dt:09/05/2017] , Billno-SOL07210042017-001",1,155828,60000,5195,90633
 , ,"[TRVch# 1150 Dt:09/02/2018] , Billno-SOL07210012018-001",1,130475,60000,5195,65280
 , ,"[TRVch# 1151 Dt:09/02/2018] , Billno-SOL07210012018-002",1,67920,0,8670,59250
 , ,"[TRVch# 1280 Dt:09/03/2018] , Billno-SOL07210022018-001",1,134077,60000,15528,58549
 , ,"[TRVch# 1281 Dt:09/03/2018] , Billno-SOL07210022018-002",1,70080,0,10073,60007
 , ,"[TRVch# 1316 Dt:09/03/2018] , Billno-SOL072102017100058",1,87307,74585,12722,0
 , ,"[TRVch# 1317 Dt:09/03/2018] , Billno-SOL072102017100059",1,14768,0,0,14768
 , ,"[TRVch# 1341 Dt:29/05/2018] , Billno-SOL072102018100001",1,900,0,0,900
 , ,"[TRVch# 1343 Dt:29/05/2018] , Billno-SOL072102018100003",1,22514,0,0,22514
 , ,"[TRVch# 1431 Dt:29/09/2017] , Billno-SOL072102017100027",1,148,0,0,148
 , ,"[TRVch# 1577 Dt:30/11/2017] , Billno-SOL072102017100041",1,4417,0,0,4417
 , ,"[TRVch# 1578 Dt:30/11/2017] , Billno-SOL072102017100040",1,23058,0,2130,20928
 , ,"[TRVch# 1613 Dt:30/06/2017] , Billno-SOL072102017100013",1,5888,0,9,5879
 , ,"[TRVch# 1943 Dt:31/05/2017] , Billno-SOL072102017100001",1,11752,10038,1714,0
 , ,"[TRVch# 2075 Dt:28/02/2018] , Billno-SOL072102017100049",1,8050,8050,0,0
 , ,"[TRVch# 2076 Dt:28/02/2018] , Billno-SOL072102017100050",1,3540,0,246,3294
 , ,"[TRVch# 2123 Dt:31/10/2017] , Billno-SOL072102017100032",1,14037,11565,2472,0
 , ,"[TRVch# 2124 Dt:31/10/2017] , Billno-SOL072102017100033",1,2160,0,0,2160
 , ,"[TRVch# 573 Dt:10/04/2018] , Billno-SOL07210032018-001",1,134077,70000,45,64032
 , ,"[TRVch# 574 Dt:10/04/2018] , Billno-SOL07210032018-002",1,70080,0,6550,63530
 , ,"[TRVch# 790 Dt:08/05/2018] , Billno-SOL07210042018-001",1,134077,70000,7325,56752
 , ,"[TRVch# 806 Dt:08/05/2018] , Billno-SOL07210042018-002",1,70080,0,6550,63530
 , ,"[TRVch# 844 Dt:10/08/2018] , Billno-SOL07210072018-001",1,118282,70000,7325,40957
 , ,"[TRVch# 845 Dt:10/08/2018] , Billno-SOL07210072018-002",1,107178,0,7254,99924
 , ,"[TRVch# 856 Dt:08/06/2018] , Billno-SOL07210052018-001",1,135993,70000,7325,58668
 , ,"[TRVch# 857 Dt:08/06/2018] , Billno-SOL07210052018-002",1,71122,0,10575,60547
 , ,"[TRVch# 863 Dt:10/07/2018] , Billno-SOL07210062018-001",1,136211,70000,7334,58877
 , ,"[TRVch# 864 Dt:10/07/2018] , Billno-SOL07210062018-002",1,71172,0,10575,60597
 , ,"[TRVch# 887 Dt:10/07/2018] , Billno-SOL072102018100014",1,9376,0,0,9376
 , ,"[TRVch# 938 Dt:08/12/2017] , Billno-SOL07210112017-001",1,162062,60000,5524,96538
 , ,"[TRVch# 939 Dt:08/12/2017] , Billno-SOL07210112017-002",1,91290,0,5641,85649
 , ,"[TRVch# 955 Dt:10/07/2017] , Billno-SOL07210062017-001",1,139887,60000,5195,74692
 , ,"[TRVch# 956 Dt:10/07/2017] , Billno-SOL07210062017-002",1,32275,0,9,32266
 , ,"[TRVch# 974 Dt:10/01/2018] , Billno-SOL07210122017-001",1,129029,60000,5195,63834
 , ,"[TRVch# 975 Dt:10/01/2018] , Billno-SOL07210122017-002",1,67110,0,8509,58601
 ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,3,5556,0,0,5556
 , ,"[TRVch# 1309 Dt:09/03/2018] , Billno-SOL072102017100048",1,360,0,0,360
 , ,"[TRVch# 1995 Dt:31/05/2017] , Billno-SOL072102017100007",1,1768,0,0,1768
