DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,12,168156,0,68156,100000
SOL07-611-E.E. PWD B&R DIVISION ARKI.,Total, ,12,168156,0,68156,100000
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,12,168156,0,68156,100000
 , ,"[TRVch# 129 Dt:30/11/2017] , Billno-SOL076110300310400",1,9800,0,0,9800
 , ,"[TRVch# 130 Dt:30/11/2017] , Billno-SOL076110300209901",1,9800,0,0,9800
 , ,"[TRVch# 153 Dt:28/02/2018] , Billno-SOL076110300209902",1,6300,0,0,6300
 , ,"[TRVch# 166 Dt:29/09/2017] , Billno-SOL076110300310392",1,9800,0,0,9800
 , ,"[TRVch# 170 Dt:29/09/2017] , Billno-SOL076110300310393",1,9800,0,0,9800
 , ,"[TRVch# 171 Dt:29/09/2017] , Billno-SOL076110300310394",1,9800,0,0,9800
 , ,"[TRVch# 177 Dt:31/08/2017] , Billno-SOL076111788782001",1,68156,0,68156,0
 , ,"[TRVch# 179 Dt:31/10/2017] , Billno-SOL076110300310395",1,9800,0,0,9800
 , ,"[TRVch# 180 Dt:31/10/2017] , Billno-SOL076110300310396",1,9800,0,0,9800
 , ,"[TRVch# 181 Dt:31/10/2017] , Billno-SOL076110300310397",1,9800,0,0,9800
 , ,"[TRVch# 183 Dt:31/10/2017] , Billno-SOL076110300310398",1,9800,0,0,9800
 , ,"[TRVch# 185 Dt:31/10/2017] , Billno-SOL076110300310399",1,5500,0,0,5500
