DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,17,390892,40000,13964,336928
SOL08-212-GOVT HIGH SCHOOL BERAL,Total, ,17,390892,40000,13964,336928
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,264925,40000,60,224865
 , ,"[TRVch# 1415 Dt:31/08/2018] , Billno-SOL082122018100009",1,35126,0,0,35126
 , ,"[TRVch# 876 Dt:08/05/2018] , Billno-SOL08212042018-001",1,70886,10000,15,60871
 , ,"[TRVch# 927 Dt:10/08/2018] , Billno-SOL08212072018-001",1,52971,10000,15,42956
 , ,"[TRVch# 945 Dt:08/06/2018] , Billno-SOL08212052018-001",1,52971,10000,15,42956
 , ,"[TRVch# 950 Dt:10/07/2018] , Billno-SOL08212062018-001",1,52971,10000,15,42956
 ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,5,7120,0,0,7120
 , ,"[TRVch# 1410 Dt:31/08/2018] , Billno-SOL082122018100004",1,1476,0,0,1476
 , ,"[TRVch# 1411 Dt:31/08/2018] , Billno-SOL082122018100005",1,188,0,0,188
 , ,"[TRVch# 1412 Dt:31/08/2018] , Billno-SOL082122018100006",1,802,0,0,802
 , ,"[TRVch# 1413 Dt:31/08/2018] , Billno-SOL082122018100007",1,1380,0,0,1380
 , ,"[TRVch# 1414 Dt:31/08/2018] , Billno-SOL082122018100008",1,3274,0,0,3274
 ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,1000,0,0,1000
 , ,"[TRVch# 1409 Dt:31/08/2018] , Billno-SOL082122018100003",1,1000,0,0,1000
 ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,17115,0,0,17115
 , ,"[TRVch# 920 Dt:08/05/2018] , Billno-SOL082122018100001",1,17115,0,0,17115
 ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,79672,0,13904,65768
 , ,"[TRVch# 877 Dt:08/05/2018] , Billno-SOL08212042018-002",1,19918,0,3476,16442
 , ,"[TRVch# 928 Dt:10/08/2018] , Billno-SOL08212072018-002",1,19918,0,3476,16442
 , ,"[TRVch# 946 Dt:08/06/2018] , Billno-SOL08212052018-002",1,19918,0,3476,16442
 , ,"[TRVch# 951 Dt:10/07/2018] , Billno-SOL08212062018-002",1,19918,0,3476,16442
 ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,21060,0,0,21060
 , ,"[TRVch# 1009 Dt:10/07/2018] , Billno-SOL082122018100002",1,21060,0,0,21060
