,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,1612150,382000,61036,1169114
1,UNA00-210-GSSS CHARATGARH,Total, ,7,1612150,382000,61036,1169114
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,436170,82000,22206,331964
3, , ,"[TRVch# 32 Dt:03/04/2017] , Billno-UNA00210032017-001",1,284884,82000,138,202746
4, , ,"[TRVch# 33 Dt:03/04/2017] , Billno-UNA00210032017-002",1,151286,0,22068,129218
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,951329,232000,33217,686112
6, , ,"[TRVch# 34 Dt:03/04/2017] , Billno-UNA00210032017-003",1,151416,65000,150,86266
7, , ,"[TRVch# 35 Dt:03/04/2017] , Billno-UNA00210032017-004",1,457534,167000,378,290156
8, , ,"[TRVch# 36 Dt:03/04/2017] , Billno-UNA00210032017-005",1,342379,0,32689,309690
9, ,32-2202-01-789-03-S00N-V-P-01-SALARIES,Total,2,224651,68000,5613,151038
10, , ,"[TRVch# 37 Dt:03/04/2017] , Billno-UNA00210032017-006",1,206562,68000,99,138463
11, , ,"[TRVch# 38 Dt:03/04/2017] , Billno-UNA00210032017-007",1,18089,0,5514,12575
0,Grand Total, , ,16,2144619,497465,118062,1529092
1,UNA00-210-GSSS CHARATGARH,Total, ,16,2144619,497465,118062,1529092
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 69 Dt:08/05/2017] , Billno-UNA002102017100009",1,100000,0,0,100000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,492784,111930,37770,343084
5, , ,"[TRVch# 113 Dt:01/05/2017] , Billno-UNA00210042017-002",1,154690,0,26906,127784
6, , ,"[TRVch# 114 Dt:01/05/2017] , Billno-UNA00210042017-001",1,288516,87000,9138,192378
7, , ,"[TRVch# 268 Dt:06/05/2017] , Billno-UNA002102017100003",1,19576,0,1726,17850
8, , ,"[TRVch# 272 Dt:06/05/2017] , Billno-UNA002102017100002",1,30002,24930,0,5072
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,1103212,317535,71482,714195
10, , ,"[TRVch# 110 Dt:01/05/2017] , Billno-UNA00210042017-005",1,357322,0,33110,324212
11, , ,"[TRVch# 111 Dt:01/05/2017] , Billno-UNA00210042017-004",1,467865,172000,21420,274445
12, , ,"[TRVch# 112 Dt:01/05/2017] , Billno-UNA00210042017-003",1,159245,83940,13150,62155
13, , ,"[TRVch# 1174 Dt:09/05/2017] , Billno-UNA002102017000001",1,15460,0,0,15460
14, , ,"[TRVch# 269 Dt:06/05/2017] , Billno-UNA002102017100004",1,17718,17718,0,0
15, , ,"[TRVch# 270 Dt:06/05/2017] , Billno-UNA002102017100005",1,47792,43877,0,3915
16, , ,"[TRVch# 271 Dt:06/05/2017] , Billno-UNA002102017100006",1,37810,0,3802,34008
17, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,1900,0,0,1900
18, , ,"[TRVch# 1298 Dt:20/05/2017] , Billno-UNA002102017100010",1,1900,0,0,1900
19, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,219190,0,0,219190
20, , ,"[TRVch# 38 Dt:06/05/2017] , Billno-UNA002102017100001",1,219190,0,0,219190
21, ,32-2202-01-789-03-S00N-V-P-01-SALARIES,Total,2,227533,68000,8810,150723
22, , ,"[TRVch# 108 Dt:01/05/2017] , Billno-UNA00210042017-007",1,18340,0,1711,16629
23, , ,"[TRVch# 109 Dt:01/05/2017] , Billno-UNA00210042017-006",1,209193,68000,7099,134094
0,Grand Total, , ,18,1712160,387940,119417,1204803
1,UNA00-210-GSSS CHARATGARH,Total, ,18,1712160,387940,119417,1204803
2, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,2566,0,0,2566
3, , ,"[TRVch# 6 Dt:14/06/2017] , Billno-UNA002102017100017",1,2566,0,0,2566
