DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,13,99989,0,0,99989
UNA00-661-E.E. PWD MECH.DIV. BILASPUR,Total, ,13,99989,0,0,99989
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,13,99989,0,0,99989
 , ,"[TRVch# 182 Dt:21/08/2017] , Billno-UNA006610200815124",1,5000,0,0,5000
 , ,"[TRVch# 2 Dt:01/11/2017] , Billno-UNA006610217121602",1,12349,0,0,12349
 , ,"[TRVch# 35 Dt:21/11/2017] , Billno-UNA006610200815127",1,4500,0,0,4500
 , ,"[TRVch# 37 Dt:20/09/2017] , Billno-UNA006610200815125",1,6500,0,0,6500
 , ,"[TRVch# 45 Dt:19/12/2017] , Billno-UNA006610200815128",1,4500,0,0,4500
 , ,"[TRVch# 45 Dt:21/07/2017] , Billno-UNA006610200815123",1,8500,0,0,8500
 , ,"[TRVch# 46 Dt:21/02/2018] , Billno-UNA006610200815130",1,10000,0,0,10000
 , ,"[TRVch# 5 Dt:05/09/2017] , Billno-UNA006610217121601",1,13557,0,0,13557
 , ,"[TRVch# 53 Dt:18/10/2017] , Billno-UNA006610200815126",1,5500,0,0,5500
 , ,"[TRVch# 55 Dt:20/01/2018] , Billno-UNA006610200815129",1,8500,0,0,8500
 , ,"[TRVch# 57 Dt:20/01/2018] , Billno-UNA006610217121603",1,12225,0,0,12225
 , ,"[TRVch# 78 Dt:23/03/2018] , Billno-UNA006610217121604",1,1258,0,0,1258
 , ,"[TRVch# 83 Dt:23/03/2018] , Billno-UNA006610200815131",1,7600,0,0,7600
