,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,2520144,388900,73882,2057362
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,6,2520144,388900,73882,2057362
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,520000,0,0,520000
3, , ,"[TRVch# 272 Dt:24/04/2017] , Billno-UNA012442017100001",1,400000,0,0,400000
4, , ,"[TRVch# 273 Dt:24/04/2017] , Billno-UNA012442017100003",1,120000,0,0,120000
5, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,4,2000144,388900,73882,1537362
6, , ,"[TRVch# 1 Dt:07/04/2017] , Billno-UNA01244032017-001",1,501019,158400,4914,337705
7, , ,"[TRVch# 2 Dt:07/04/2017] , Billno-UNA01244032017-002",1,562992,0,30059,532933
8, , ,"[TRVch# 3 Dt:07/04/2017] , Billno-UNA01244032017-003",1,582794,230500,3317,348977
9, , ,"[TRVch# 4 Dt:07/04/2017] , Billno-UNA01244032017-004",1,353339,0,35592,317747
0,Grand Total, , ,14,3157324,408500,199340,2549484
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,14,3157324,408500,199340,2549484
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,6,1010000,0,0,1010000
3, , ,"[TRVch# 101 Dt:08/05/2017] , Billno-UNA012442017100005",1,190000,0,0,190000
4, , ,"[TRVch# 102 Dt:08/05/2017] , Billno-UNA012442017100006",1,70000,0,0,70000
5, , ,"[TRVch# 103 Dt:08/05/2017] , Billno-UNA012442017100007",1,15000,0,0,15000
6, , ,"[TRVch# 104 Dt:08/05/2017] , Billno-UNA012442017100008",1,200000,0,0,200000
7, , ,"[TRVch# 108 Dt:08/05/2017] , Billno-UNA012442017100004",1,135000,0,0,135000
8, , ,"[TRVch# 272 Dt:24/05/2017] , Billno-UNA012442017100011",1,400000,0,0,400000
9, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,6,2127969,408500,199340,1520129
10, , ,"[TRVch# 1 Dt:08/05/2017] , Billno-UNA01244042017-001",1,548022,176000,86914,285108
11, , ,"[TRVch# 2 Dt:08/05/2017] , Billno-UNA01244042017-002",1,634779,0,51104,583675
12, , ,"[TRVch# 3 Dt:08/05/2017] , Billno-UNA01244042017-003",1,605877,232500,26317,347060
13, , ,"[TRVch# 4 Dt:08/05/2017] , Billno-UNA01244042017-004",1,319390,0,35005,284385
14, , ,"[TRVch# 7 Dt:24/05/2017] , Billno-UNA012442017100002",1,13761,0,0,13761
15, , ,"[TRVch# 8 Dt:24/05/2017] , Billno-UNA012442017100017",1,6140,0,0,6140
16, ,27-2203-00-105-01-S00N-V-N-02-WAGES,Total,1,12600,0,0,12600
17, , ,"[TRVch# 5 Dt:24/05/2017] , Billno-UNA012442017100009",1,12600,0,0,12600
18, ,27-2203-00-105-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,6755,0,0,6755
19, , ,"[TRVch# 6 Dt:24/05/2017] , Billno-UNA012442017100010",1,6755,0,0,6755
0,Grand Total, , ,24,2749617,546604,224101,1978912
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,24,2749617,546604,224101,1978912
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,145000,0,0,145000
3, , ,"[TRVch# 252 Dt:27/06/2017] , Billno-UNA012442017100042",1,145000,0,0,145000
4, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,12,2395281,546604,224101,1624576
5, , ,"[TRVch# 1 Dt:06/06/2017] , Billno-UNA01244052017-001",1,548022,176000,86914,285108
6, , ,"[TRVch# 16 Dt:30/06/2017] , Billno-UNA012442017100049",1,8058,8058,0,0
7, , ,"[TRVch# 17 Dt:30/06/2017] , Billno-UNA012442017100050",1,3924,0,390,3534
8, , ,"[TRVch# 18 Dt:30/06/2017] , Billno-UNA012442017100044",1,7645,0,0,7645
9, , ,"[TRVch# 19 Dt:30/06/2017] , Billno-UNA012442017100043",1,17673,0,90,17583
10, , ,"[TRVch# 2 Dt:06/06/2017] , Billno-UNA01244052017-002",1,688140,0,67078,621062
11, , ,"[TRVch# 3 Dt:06/06/2017] , Billno-UNA01244052017-003",1,609260,232500,28317,348443
12, , ,"[TRVch# 4 Dt:06/06/2017] , Billno-UNA01244052017-004",1,320896,0,35129,285767
13, , ,"[TRVch# 5 Dt:06/06/2017] , Billno-UNA012442017100013",1,61709,61709,0,0
14, , ,"[TRVch# 6 Dt:06/06/2017] , Billno-UNA012442017100014",1,30171,0,3021,27150
15, , ,"[TRVch# 7 Dt:06/06/2017] , Billno-UNA012442017100015",1,68337,68337,0,0
16, , ,"[TRVch# 8 Dt:06/06/2017] , Billno-UNA012442017100016",1,31446,0,3162,28284
17, ,27-2203-00-105-01-S00N-V-N-02-WAGES,Total,1,13020,0,0,13020
18, , ,"[TRVch# 14 Dt:27/06/2017] , Billno-UNA012442017100032",1,13020,0,0,13020
19, ,27-2203-00-105-01-S00N-V-N-03-TRAVEL EXPENSES,Total,3,5079,0,0,5079
20, , ,"[TRVch# 20 Dt:30/06/2017] , Billno-UNA012442017100020",1,2613,0,0,2613
21, , ,"[TRVch# 21 Dt:30/06/2017] , Billno-UNA012442017100021",1,842,0,0,842
22, , ,"[TRVch# 22 Dt:30/06/2017] , Billno-UNA012442017100040",1,1624,0,0,1624
23, ,27-2203-00-105-01-S00N-V-N-05-OFFICE EXPENSES,Total,2,128228,0,0,128228
24, , ,"[TRVch# 13 Dt:27/06/2017] , Billno-UNA012442017100031",1,1250,0,0,1250
25, , ,"[TRVch# 15 Dt:30/06/2017] , Billno-UNA012442017100047",1,126978,0,0,126978
26, ,27-2203-00-105-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,4,59409,0,0,59409
27, , ,"[TRVch# 10 Dt:27/06/2017] , Billno-UNA012442017100039",1,28590,0,0,28590
28, , ,"[TRVch# 11 Dt:27/06/2017] , Billno-UNA012442017100023",1,479,0,0,479
29, , ,"[TRVch# 23 Dt:30/06/2017] , Billno-UNA012442017100041",1,25639,0,0,25639
30, , ,"[TRVch# 9 Dt:27/06/2017] , Billno-UNA012442017100028",1,4701,0,0,4701
31, ,"27-2203-00-105-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR",Total,1,3600,0,0,3600
32, , ,"[TRVch# 12 Dt:27/06/2017] , Billno-UNA012442017100024",1,3600,0,0,3600
0,Grand Total, , ,10,2356565,408500,230761,1717304
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,10,2356565,408500,230761,1717304
2, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,4,2337860,408500,230761,1698599
3, , ,"[TRVch# 1 Dt:07/07/2017] , Billno-UNA01244062017-001",1,548022,176000,86016,286006
4, , ,"[TRVch# 2 Dt:07/07/2017] , Billno-UNA01244062017-002",1,831832,0,81080,750752
5, , ,"[TRVch# 3 Dt:07/07/2017] , Billno-UNA01244062017-003",1,610294,232500,28317,349477
6, , ,"[TRVch# 4 Dt:07/07/2017] , Billno-UNA01244062017-004",1,347712,0,35348,312364
7, ,27-2203-00-105-01-S00N-V-N-02-WAGES,Total,1,12600,0,0,12600
8, , ,"[TRVch# 5 Dt:25/07/2017] , Billno-UNA012442017100054",1,12600,0,0,12600
9, ,27-2203-00-105-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,1841,0,0,1841
10, , ,"[TRVch# 10 Dt:25/07/2017] , Billno-UNA012442017100060",1,516,0,0,516
11, , ,"[TRVch# 6 Dt:25/07/2017] , Billno-UNA012442017100057",1,450,0,0,450
12, , ,"[TRVch# 9 Dt:25/07/2017] , Billno-UNA012442017100059",1,875,0,0,875
13, ,"27-2203-00-105-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR",Total,1,2870,0,0,2870
14, , ,"[TRVch# 8 Dt:25/07/2017] , Billno-UNA012442017100058",1,2870,0,0,2870
15, ,27-2203-00-105-01-S00N-V-N-33-MATERIAL AND SUPPLY,Total,1,1394,0,0,1394
16, , ,"[TRVch# 7 Dt:25/07/2017] , Billno-UNA012442017100056",1,1394,0,0,1394
0,Grand Total, , ,6,2308802,408500,218207,1682095
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,6,2308802,408500,218207,1682095
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,13000,0,0,13000
3, , ,"[TRVch# 304 Dt:28/08/2017] , Billno-UNA012442017100063",1,13000,0,0,13000
4, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,4,2282782,408500,218207,1656075
5, , ,"[TRVch# 1 Dt:05/08/2017] , Billno-UNA01244072017-001",1,551124,176000,86016,289108
6, , ,"[TRVch# 2 Dt:05/08/2017] , Billno-UNA01244072017-002",1,753240,0,68526,684714
7, , ,"[TRVch# 3 Dt:05/08/2017] , Billno-UNA01244072017-003",1,614877,232500,28317,354060
8, , ,"[TRVch# 4 Dt:05/08/2017] , Billno-UNA01244072017-004",1,363541,0,35348,328193
9, ,27-2203-00-105-01-S00N-V-N-02-WAGES,Total,1,13020,0,0,13020
10, , ,"[TRVch# 5 Dt:28/08/2017] , Billno-UNA012442017100062",1,13020,0,0,13020
0,Grand Total, , ,17,2602037,408500,218207,1975330
1,UNA01-244-PR B.R.AMBEDKAR POL.COL AMBOTA,Total, ,17,2602037,408500,218207,1975330
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,175000,0,0,175000
3, , ,"[TRVch# 197 Dt:26/09/2017] , Billno-UNA012442017100076",1,175000,0,0,175000
4, ,27-2203-00-105-01-S00N-V-N-01-SALARIES,Total,5,2356807,408500,218207,1730100
5, , ,"[TRVch# 1 Dt:07/09/2017] , Billno-UNA01244082017-001",1,560454,176000,86016,298438
6, , ,"[TRVch# 2 Dt:07/09/2017] , Billno-UNA01244082017-002",1,790080,0,68526,721554
7, , ,"[TRVch# 3 Dt:07/09/2017] , Billno-UNA01244082017-003",1,626920,232500,28317,366103
8, , ,"[TRVch# 4 Dt:07/09/2017] , Billno-UNA01244082017-004",1,370504,0,35348,335156
9, , ,"[TRVch# 6 Dt:26/09/2017] , Billno-UNA012442017100064",1,8849,0,0,8849
10, ,27-2203-00-105-01-S00N-V-N-02-WAGES,Total,1,13020,0,0,13020
11, , ,"[TRVch# 5 Dt:26/09/2017] , Billno-UNA012442017100067",1,13020,0,0,13020
12, ,27-2203-00-105-01-S00N-V-N-03-TRAVEL EXPENSES,Total,3,7952,0,0,7952
13, , ,"[TRVch# 15 Dt:29/09/2017] , Billno-UNA012442017100086",1,4188,0,0,4188
14, , ,"[TRVch# 16 Dt:29/09/2017] , Billno-UNA012442017100090",1,140,0,0,140
15, , ,"[TRVch# 7 Dt:26/09/2017] , Billno-UNA012442017100069",1,3624,0,0,3624
16, ,27-2203-00-105-01-S00N-V-N-05-OFFICE EXPENSES,Total,5,44562,0,0,44562
17, , ,"[TRVch# 11 Dt:29/09/2017] , Billno-UNA012442017100078",1,923,0,0,923
18, , ,"[TRVch# 12 Dt:29/09/2017] , Billno-UNA012442017100073",1,10000,0,0,10000
19, , ,"[TRVch# 14 Dt:29/09/2017] , Billno-UNA012442017100077",1,31084,0,0,31084
20, , ,"[TRVch# 8 Dt:26/09/2017] , Billno-UNA012442017100072",1,2355,0,0,2355
21, , ,"[TRVch# 9 Dt:26/09/2017] , Billno-UNA012442017100074",1,200,0,0,200
