DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,17,2299695,140000,17687,2142008
UNA01-949-DY DIR SWAN RIVER PROJ IWM GAGRET,Total, ,17,2299695,140000,17687,2142008
 ,00-8782-00-103-00-S00N-V-N-00- ,Total,11,1958867,0,0,1958867
 , ,"[TRVch# 140 Dt:24/04/2017] , Billno-UNA019491748782006",1,3100,0,0,3100
 , ,"[TRVch# 142 Dt:24/04/2017] , Billno-UNA019491748782008",1,19150,0,0,19150
 , ,"[TRVch# 143 Dt:24/04/2017] , Billno-UNA019491748782009",1,3315,0,0,3315
 , ,"[TRVch# 146 Dt:24/04/2017] , Billno-UNA019491748782012",1,29500,0,0,29500
 , ,"[TRVch# 152 Dt:24/04/2017] , Billno-UNA019491748782018",1,364455,0,0,364455
 , ,"[TRVch# 153 Dt:24/04/2017] , Billno-UNA019491748782019",1,2799,0,0,2799
 , ,"[TRVch# 156 Dt:24/04/2017] , Billno-UNA019491748782022",1,298123,0,0,298123
 , ,"[TRVch# 157 Dt:24/04/2017] , Billno-UNA019491748782023",1,148500,0,0,148500
 , ,"[TRVch# 158 Dt:24/04/2017] , Billno-UNA019491748782024",1,3315,0,0,3315
 , ,"[TRVch# 159 Dt:24/04/2017] , Billno-UNA019491748782025",1,1084699,0,0,1084699
 , ,"[TRVch# 51 Dt:24/05/2017] , Billno-UNA019491758782010",1,1911,0,0,1911
 ,16-2406-01-102-28-S00N-V-P-01-SALARIES,Total,6,340828,140000,17687,183141
 , ,"[TRVch# 29 Dt:08/05/2017] , Billno-UNA01949042017-001",1,85092,50000,8420,26672
 , ,"[TRVch# 30 Dt:08/05/2017] , Billno-UNA01949042017-002",1,49527,25000,1418,23109
 , ,"[TRVch# 31 Dt:08/05/2017] , Billno-UNA01949042017-003",1,36874,0,3528,33346
 , ,"[TRVch# 7 Dt:07/04/2017] , Billno-UNA01949032017-001",1,84020,45000,420,38600
 , ,"[TRVch# 8 Dt:07/04/2017] , Billno-UNA01949032017-002",1,48897,20000,418,28479
 , ,"[TRVch# 9 Dt:07/04/2017] , Billno-UNA01949032017-003",1,36418,0,3483,32935
