DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,247,43155067,327887,475728,42351452
UNA02-006-C.D.P.O. HAROLI,Total, ,247,43155067,327887,475728,42351452
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,250000,0,0,250000
 , ,"[TRVch# 136 Dt:18/12/2017] , Billno-UNA020062017100109",1,100000,0,0,100000
 , ,"[TRVch# 88 Dt:08/05/2017] , Billno-UNA020062017100009",1,150000,0,0,150000
 ,19-2235-02-102-05-C90N-V-P-01-SALARIES,Total,14,1733850,82065,130426,1521359
 , ,"[TRVch# 106 Dt:08/03/2018] , Billno-UNA020062017100156",1,79132,0,0,79132
 , ,"[TRVch# 13 Dt:07/04/2017] , Billno-UNA02006032017-001",1,62169,15000,30,47139
 , ,"[TRVch# 14 Dt:07/04/2017] , Billno-UNA02006032017-002",1,206743,0,17840,188903
 , ,"[TRVch# 19 Dt:07/04/2018] , Billno-UNA02006032018-001",1,70013,15000,30,54983
 , ,"[TRVch# 20 Dt:07/04/2018] , Billno-UNA02006032018-002",1,239939,0,20649,219290
 , ,"[TRVch# 40 Dt:07/06/2018] , Billno-UNA02006052018-001",1,70013,15000,2530,52483
 , ,"[TRVch# 41 Dt:07/06/2018] , Billno-UNA02006052018-002",1,191753,0,19114,172639
 , ,"[TRVch# 44 Dt:07/05/2018] , Billno-UNA02006042018-001",1,70013,15000,2530,52483
 , ,"[TRVch# 45 Dt:07/05/2018] , Billno-UNA02006042018-002",1,240739,0,24449,216290
 , ,"[TRVch# 55 Dt:08/05/2017] , Billno-UNA02006042017-001",1,62962,15000,1030,46932
 , ,"[TRVch# 56 Dt:08/05/2017] , Billno-UNA02006042017-002",1,210210,0,20074,190136
 , ,"[TRVch# 57 Dt:08/05/2017] , Billno-UNA020062017100008",1,20808,0,2076,18732
 , ,"[TRVch# 58 Dt:07/07/2017] , Billno-UNA02006062017-001",1,202291,0,20074,182217
 , ,"[TRVch# 58 Dt:08/05/2017] , Billno-UNA020062017100007",1,7065,7065,0,0
 ,19-2235-02-102-05-C90N-V-P-02-WAGES,Total,4,44520,0,0,44520
 , ,"[TRVch# 105 Dt:18/09/2017] , Billno-UNA020062017100064",1,13020,0,0,13020
 , ,"[TRVch# 171 Dt:27/07/2017] , Billno-UNA020062017100038",1,12600,0,0,12600
 , ,"[TRVch# 185 Dt:26/10/2017] , Billno-UNA020062017100072",1,5880,0,0,5880
 , ,"[TRVch# 37 Dt:05/08/2017] , Billno-UNA020062017100048",1,13020,0,0,13020
 ,19-2235-02-102-05-C90N-V-P-03-TRAVEL EXPENSES,Total,11,92458,0,0,92458
 , ,"[TRVch# 142 Dt:23/07/2018] , Billno-UNA020062018100036",1,4506,0,0,4506
 , ,"[TRVch# 181 Dt:22/05/2018] , Billno-UNA020062018100009",1,27952,0,0,27952
 , ,"[TRVch# 186 Dt:31/07/2017] , Billno-UNA020062017100050",1,6840,0,0,6840
 , ,"[TRVch# 194 Dt:30/11/2017] , Billno-UNA020062017100101",1,876,0,0,876
 , ,"[TRVch# 203 Dt:26/10/2017] , Billno-UNA020062017100089",1,1876,0,0,1876
 , ,"[TRVch# 204 Dt:26/10/2017] , Billno-UNA020062017100090",1,2023,0,0,2023
 , ,"[TRVch# 282 Dt:30/06/2017] , Billno-UNA020062017100033",1,2531,0,0,2531
 , ,"[TRVch# 284 Dt:30/06/2017] , Billno-UNA020062017100030",1,16294,0,0,16294
 , ,"[TRVch# 74 Dt:29/04/2017] , Billno-UNA020062017100004",1,26268,0,0,26268
 , ,"[TRVch# 88 Dt:07/02/2018] , Billno-UNA020062017100140",1,1440,0,0,1440
 , ,"[TRVch# 882 Dt:31/03/2018] , Billno-UNA020062017100169",1,1852,0,0,1852
 ,19-2235-02-102-05-C90N-V-P-05-OFFICE EXPENSES,Total,27,129441,0,0,129441
 , ,"[TRVch# 102 Dt:18/09/2017] , Billno-UNA020062017100065",1,5423,0,0,5423
 , ,"[TRVch# 105 Dt:27/04/2018] , Billno-UNA020062018100007",1,1586,0,0,1586
