,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,13,10218712,2179177,228810,7810725
1,UNA02-223-BPEO HAROLI,Total, ,13,10218712,2179177,228810,7810725
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,7,1788757,0,0,1788757
3, , ,"[TRVch# 321 Dt:29/04/2017] , Billno-UNA022232017100002",1,130000,0,0,130000
4, , ,"[TRVch# 322 Dt:29/04/2017] , Billno-UNA022232017100001",1,40000,0,0,40000
5, , ,"[TRVch# 333 Dt:29/04/2017] , Billno-UNA022232017100006",1,150000,0,0,150000
6, , ,"[TRVch# 334 Dt:29/04/2017] , Billno-UNA022232017100007",1,60000,0,0,60000
7, , ,"[TRVch# 335 Dt:29/04/2017] , Billno-UNA022232017100008",1,300000,0,0,300000
8, , ,"[TRVch# 336 Dt:29/04/2017] , Billno-UNA022232017100009",1,100000,0,0,100000
9, , ,"[TRVch# 337 Dt:29/04/2017] , Billno-UNA022232017100005",1,1008757,0,0,1008757
10, ,08-2202-01-101-01-S00N-V-N-01-SALARIES,Total,2,8161115,2121177,220312,5819626
11, , ,"[TRVch# 421 Dt:07/04/2017] , Billno-UNA02223032017-001",1,5504343,2121177,31914,3351252
12, , ,"[TRVch# 422 Dt:07/04/2017] , Billno-UNA02223032017-002",1,2656772,0,188398,2468374
13, ,08-2202-01-104-02-S00N-V-N-01-SALARIES,Total,2,208524,33000,8468,167056
14, , ,"[TRVch# 423 Dt:07/04/2017] , Billno-UNA02223032017-003",1,124855,33000,105,91750
15, , ,"[TRVch# 424 Dt:07/04/2017] , Billno-UNA02223032017-004",1,83669,0,8363,75306
16, ,08-2202-01-104-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,5297,0,0,5297
17, , ,"[TRVch# 785 Dt:29/04/2017] , Billno-UNA022232017100003",1,5297,0,0,5297
18, ,32-2202-01-789-01-S00S-V-P-01-SALARIES,Total,1,55019,25000,30,29989
19, , ,"[TRVch# 425 Dt:07/04/2017] , Billno-UNA02223032017-005",1,55019,25000,30,29989
0,Grand Total, , ,21,10948660,3066599,381243,7500818
1,UNA02-223-BPEO HAROLI,Total, ,21,10948660,3066599,381243,7500818
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,700000,0,0,700000
3, , ,"[TRVch# 345 Dt:31/05/2017] , Billno-UNA022232017100022",1,50000,0,0,50000
4, , ,"[TRVch# 346 Dt:31/05/2017] , Billno-UNA022232017100023",1,250000,0,0,250000
