DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,217,171084,0,171084,0
UNA03-500-DISTRICT  TREASURY  OFFICER UNA,Total, ,217,171084,0,171084,0
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,83,4936,0,4936,0
 , ,"[TRVch# 108 Dt:22/05/2017] , Billno-UNA035001752030005",1,120,0,120,0
 , ,"[TRVch# 109 Dt:22/05/2017] , Billno-UNA035001752030006",1,120,0,120,0
 , ,"[TRVch# 112 Dt:22/05/2017] , Billno-UNA035001752030009",1,42,0,42,0
 , ,"[TRVch# 112 Dt:22/05/2018] , Billno-UNA035001852030003",1,32,0,32,0
 , ,"[TRVch# 113 Dt:22/05/2017] , Billno-UNA035001752030010",1,32,0,32,0
 , ,"[TRVch# 114 Dt:26/12/2017] , Billno-UNA0350017B2030004",1,86,0,86,0
 , ,"[TRVch# 115 Dt:22/05/2018] , Billno-UNA035001852030006",1,32,0,32,0
 , ,"[TRVch# 116 Dt:27/04/2018] , Billno-UNA035001842030004",1,30,0,30,0
 , ,"[TRVch# 117 Dt:21/06/2018] , Billno-UNA035001862030005",1,56,0,56,0
 , ,"[TRVch# 118 Dt:21/06/2018] , Billno-UNA035001862030006",1,32,0,32,0
 , ,"[TRVch# 120 Dt:27/04/2018] , Billno-UNA035001842030008",1,34,0,34,0
 , ,"[TRVch# 121 Dt:21/06/2018] , Billno-UNA035001862030009",1,32,0,32,0
 , ,"[TRVch# 121 Dt:26/12/2017] , Billno-UNA0350017B2030011",1,48,0,48,0
 , ,"[TRVch# 122 Dt:26/12/2017] , Billno-UNA0350017B2030012",1,44,0,44,0
 , ,"[TRVch# 123 Dt:21/06/2018] , Billno-UNA035001862030011",1,48,0,48,0
 , ,"[TRVch# 123 Dt:25/07/2017] , Billno-UNA035001772030008",1,64,0,64,0
 , ,"[TRVch# 124 Dt:25/07/2017] , Billno-UNA035001772030009",1,32,0,32,0
 , ,"[TRVch# 125 Dt:25/07/2017] , Billno-UNA035001772030010",1,86,0,86,0
 , ,"[TRVch# 129 Dt:26/09/2017] , Billno-UNA035001792030005",1,110,0,110,0
 , ,"[TRVch# 130 Dt:26/09/2017] , Billno-UNA035001792030006",1,26,0,26,0
 , ,"[TRVch# 133 Dt:26/09/2017] , Billno-UNA035001792030009",1,32,0,32,0
 , ,"[TRVch# 134 Dt:24/08/2018] , Billno-UNA035001882030009",1,64,0,64,0
 , ,"[TRVch# 143 Dt:28/02/2018] , Billno-UNA035001722030007",1,32,0,32,0
 , ,"[TRVch# 145 Dt:28/02/2018] , Billno-UNA035001722030009",1,28,0,28,0
 , ,"[TRVch# 145 Dt:30/11/2017] , Billno-UNA0350017A2030006",1,82,0,82,0
 , ,"[TRVch# 147 Dt:30/11/2017] , Billno-UNA0350017A2030008",1,64,0,64,0
 , ,"[TRVch# 154 Dt:30/01/2018] , Billno-UNA035001712030013",1,54,0,54,0
 , ,"[TRVch# 155 Dt:30/01/2018] , Billno-UNA035001712030014",1,22,0,22,0
 , ,"[TRVch# 159 Dt:31/07/2017] , Billno-UNA035001772030014",1,28,0,28,0
 , ,"[TRVch# 160 Dt:30/12/2017] , Billno-UNA0350017B2030016",1,14,0,14,0
 , ,"[TRVch# 161 Dt:30/12/2017] , Billno-UNA0350017B2030017",1,28,0,28,0
 , ,"[TRVch# 164 Dt:31/07/2017] , Billno-UNA035001772030019",1,32,0,32,0
 , ,"[TRVch# 167 Dt:31/05/2017] , Billno-UNA035001752030014",1,80,0,80,0
