DDO Code,DDO Name
001,001-S.D.O.(CIVIL) BHARMOUR
002,002-RESEARCH OFFICER ITDP BHARMOUR
004,004-ASSTT COMM.DEV.CUM.BDO. BHARMOUR
005,005-BLOCK MEDICAL OFFICER BHARMOUR
006,006-ASSTT DIR.(SHEEP DEV.) BHARMOUR
007,007-C.D.P.O. BHARMOUR
009,009-POST MASTER BHARMOUR
010,010-SUBJECT MATTER SPECIALIST HORTICULTURE BHARMOUR
012,012-AGRI.DEV.OFFICER BHARMOUR
013,013-SUB.DIV.AYU.CHIKITSA BHARMOUR
014,014-TEH.WEL.OFFICER BHARMOUR
015,015-ADM BHARMOUR
016,016-AE PWD SUB DIV BHARMOUR
017,017-AE IPH SUB DIV. BHARMOUR
200,200-BEEO BHARMOUR
201,201-GSSS BHARMOUR
202,202-GHS MANDHA
203,203-GSSS KHANNI
204,204-GSSS RENUKOTHI
206,206-GHS KUGATI
207,207-GSSS CHOBIA
208,208-GSSS AUHRA
209,209-GSSS POLLIAN
210,210-PRINCIPAL GSSS (GIRLS) BHARMOUR
211,211-PRINCIPAL G C BHARMOUR
212,212-PRINCIPAL ITI BHARMOUR
213,213-GHS BADGRAN
500,500-DISTRICT TREASURY OFFICER CHAMBA
501,501-DEPUTY COMMISSIONER
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE   
525,525-DY. DIR. AGRICULTURE
529,529-CONTROLLER (FCS&CA) CHAMBA
537,537-TEHSILDAR BHARMOUR
674,674-E.E.H.P.P.W.D.BHARMOUR
705,705-E.E. I.P.H.CHAMBA
801,801-DFO BHARMOUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
