DDO Code,DDO Name
001,001-E.O. PANCHAYAT SMITI SUJANPUR
002,002-PRESIDENT N.A.C. SUJANPUR
003,003-BLOCK MEDICAL OFFICER SUJANPUR
004,004-BLOCK DEV.OFFICER SUJANPUR
005,005-TH.JAGDEVCHAND MEM GDC SUJANPUR
006,006-C.D.P.O. SUJANPUR
007,007-SUB POST-MASTERTR SUJANPUR
008,008-CO 4th IRB JUNGLE-BERI SUJANPUR
009,009-AE IPH SUB DIV. SUJANPUR
010,010-AE PWD SUJANPUR
011,011-SDO (C) SUJANPUR
012,012-AE IPH SUB DIV SUJANPUR
200,200-BEEO SUJANPUR
201,201-GSSS CHABUTRA
202,202-GSSS BIR BAHGEDA
203,203-GSSS CHAURI
204,204-PR SAINIK SCHOOL SUJANPUR
205,205-GSSS KAKKAR
206,206-HM GHS (GIRLS) SUJANPUR
207,207-GSSS KAROT
208,208-GSSS PATLANDAR
209,209-GSSS JANGALBERI
210,210-PR GSSS SUJANPUR(B)
211,211-GSSS RANGER
212,212-GSSS JANDHRU
213,213-GSSS BHALATH
214,214-GSSS BAJROL
215,215-GHS KANERAR
216,216-HM GHS THANA DHABRIANA
217,217-GHS Chamiana
218,218-PR ITI SUJANPUR TIHRA
500,500-DISTRICT TREASURY OFFICER HAMIRPUR
501,501-DEPUTY COMMISSIONER HAMIRPUR
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
525,525-DEPUTY DIRECTOR AGRICULTURE
529,529-DISTT.FOOD & SUPPLY CONTROLLER HAMIRPUR
534,534-DISTRICT MINING OFFICER
634,"634-E.E. PWD DIVISION,HAMIRPUR"
738,738-IPH DIVISION HAMIRPUR
800,800-FOREST DIVISION PANGI(KILLAR)
937,937-DIVN. WATER SHED DEV. OFFICER SUJANPUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
