DDO Code,DDO Name
001,001-S.D.O.(CIVIL) NURPUR
002,002-CIVIL JUDGE (JR DIVISION- I) NURPUR
003,003-CIVIL JUDGE (JR DIVISION- II) NURPUR
004,004-BLOCK DEV.OFFICER NURPUR
005,005-BLOCK MEDICAL OFFICER.GANGATH
006,006-PRINCIPAL ITI NURPUR
007,007-S.E.PWD 9TH CIRCLE NURPUR
010,010-EXCUTIVE OFFICER PANCHYAT SAMITI NURPUR
011,011-S.E IPH SHAHNHER NURPUR
012,012-A.R.COOP. SOC. NURPUR
013,013-SUPR. DRAILER IADP JASSUR
014,014-ASSTT.SOIL CONS.OFFICER NURPUR
016,016-ASSTT.DISTT.ATTORNEY NURPUR
017,017-AE(DEV) NURPUR
019,019-C.D.P.O. NURPUR
022,"022-SR. MEDICAL OFFICER, NURPUR"
023,023-COMM.(R&R) NURPUR
024,024-SUB.DIV.AYURVEDIC MEDICAL OFFI NURPUR
025,025-ASSTT RTO KANDWAL NURPUR
026,026-SUPERINTENDENT SUB JAIL NURPUR
027,027-AE PWD SUB DIV NURPUR
028,028-AE PWD SUB DIV SULIALI
029,029-AE PWD SUB DIV REHAN
030,030-AE PWD ELE SUB DIV NURPUR
031,031-AE IPH SUB DIV NURPUR
032,032-AE PWD MECH SUB DIV NURPUR
033,033-AE IPH SUB DIV RAJA KA TALAB
034,034-AE PWD NH SUB DIV NURPUR
037,037-ASSTT EXCISE & TAXATION COMMR NURPUR 
200,200-PR SSS(BOYS) NURPUR
201,201-GSSS (GIRLS) NURPUR
202,202-GSSS RAHAN
203,203-PR GOVT COLLEGE DEHRI
204,204-GSSS BARANDA
205,205-PR GSSS BHADWAR
206,206-GSSS BHALI
207,207-GSSS DAINKWAN
208,208-GSSS GANOH
209,209-PR SSS GANGATH
210,210-GSSS GIORA
211,211-GSSS TRILOKPUR
212,212-GSSS KOTLA
213,213-GSSS KUKHER
214,214-GSSS LADORI
215,215-GSSS KHANNI
216,216-GSSS LODHWAN
217,217-GSSS MAKROLI
218,218-GSSS RAJA-KA-TALAB
219,219-PR GSSS SULIALI
220,220-GSSS SADWAN
222,222-BEEO NURPUR
223,223-BEEO RAJA KA TALAB
224,224-PR GSSS KUTHER
225,225-GSSS HATLI JAMBALAN
226,226-GSSS JAUNTA
227,227-PRINCIPAL GSSS SOLDHA
228,228-PRINCIPAL GGSSS GANGATH
229,229-GSSS MINJ GRAN
230,230-PRI.GSSS JACHH
231,231-GSSS KOT PLAHARI
232,232-GSSS JAISOOR
233,233-GSSS GOALWAN
234,234-PRINCIPAL GSSS BEHI-PATHIAR
236,236-GSSS AUND
237,237-PRINCIPAL GSSS GIRLS REHAN
238,238-GSSS SUKHAR
239,239-PRINCIPAL GSSS RIT
240,240-ARYA COLLEGE NURPUR
241,241-PRINCIPAL GSSS DHANETI
242,242-GSSS DAGLA
243,243-GSSS GHORAN
244,244-GHS KOPRA
245,245-GHS GHETA
246,246-GSSS KHARIAN
247,247-GHS RAJA -KA-BAG
248,248-PRINCIPAL GSSS BADUHI
249,249-GSSS KANDWAL
250,250-GHS GAHIN LAGORA
251,251-PRINCIPAL GSSS CHARURI
252,252-PRINCIPAL ITI GANGATH
253,253-GSSS GHARAN
254,254-PRINCIPAL GSSS BHUGNARA
500,500-DISTRICT TREASURY OFFICER DHARAMSALA
501,501-DEPUTY COMMISSIONER DHARAMSALA
505,505-CHIEF MEDICAL OFFICER
506,506-DISTRICT REVENUE OFFICER DHARAMSALA
507,507-DISTRICT AND SESSION JUDGE
508,508-SENIOR SUB-JUDGE
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
518,518-TEHSILDAR ELECTION NURPUR
519,519-DISTRICT WELFARE OFFICER
525,525-DEPUTY DIRECTOR AGRICULTURE
529,529-DISTT.FOOD & SUPPLY CONTROLLER DHARAMSALA
534,534-MINNING OFFICER
537,537-TEHSILDAR NURPUR
538,538-LABOUR OFFICER DHARAMSALA
598,598-MINING OFFICE AT NURPUR
599,599-ASSTT EXCISE & TAXATION COMMR REVENUE NURPUR
605,"605-E.E. PWD N.H.DV.,JOGINDERNAGAR"
624,"624-E.E. PWD MECH.DIV.,DHARAMSALA"
625,625-EE HPPWD ELECTRICAL DIV NURPUR
639,"639-E.E. PWD DIVISION, NURPUR"
731,731-IPH DIVISION NURPUR
760,760-PHINA SINGH MIP DIV SADWAN
806,806-FOREST DIVISION NURPUR
935,935-DWDO NURPUR
947,947-DFO WORKING PLAN NURPUR
950,950-CHIEF ELECTRICAL INSPECTOR
951,951-CONTROLLER ( W & M)
952,952-CONTROLLER PRINTING AND STATIONARY
954,954-LABOUR COMMISSIONER
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
