DDO Code,DDO Name
001,001-S.P.M NEHRI
002,002-LAND REFORM OFFICER NIHRI
007,007-AE IPH SUB DIV NIHRI
200,200-GSSS NIHARI
201,201-GSSS JHUNGI
202,202-GSSS BALAG
203,203-GSSS PAURA KOTHI
204,204-GSSS SERI KOTHI
205,205-GSSS BEHLI
206,206-PR GSSS KATWACHI
207,207-PR SSS PRESSI
208,208-PR SSS DOGHRI
209,209-GHS HARABOI
210,210-PRINCIPAL GSSS GHAIN
211,211-GSSS BROHKARI
212,212-GSSS KAMAND
213,213-GSSS JARAL
214,214-PR GOVT DEGREE COLLEGE NIHARI
215,215-PRINCIPAL ITI NIHRI
500,500-DISTRICT TREASURY OFFICER MANDI
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
525,525-DEPUTY DIRECTOR AGRICULTURE
537,537-TEHSILDAR NIHRI
764,764-XEN IPH DIV KARSOG
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
