DDO Code,DDO Name
001,001-M.O.NERWA & THAROCH
002,002-SUB DIV AYUR M.O. CHOPAL
003,003-S.P.M. Nerwa
004,004-AE PWD MECH SUB DIV NERWA
005,005-AE IPH SUB DIV NERWA
006,006-AE PWD PIU SUB DIV NERWA
007,007-AE PWD SHALU SUB DIV NERWA
086,086-D.D. (HORT.) EAST SHIMLA
200,200-BEEO NERWA
201,201-PRINCIPAL GHS NERWA
202,202-GSSS TIKKARI
203,203-PR.SSS THAROCH
204,204-GSSS MANEOTI
205,205-PR.SSS BAMTA
206,206-GSSS HALAU
207,207-PR GSSS SHILA
208,208-GSSS BAUR
209,209-GSSS RUSLAH
210,210-GSSS PAURIA
211,211-PR GSSS MATAL
212,212-GSSS Pabon
213,213-PR GSSS IRRA
214,214-Principal G.C. Nerwa
215,215-PR GSSS KEDI
216,216-GSSS TELOR
217,217-GSSS DHABAS
218,218-GSSS DEIYA
219,219-PRINCIPAL GSSS KUTHAR
220,220-GSSS Bijmal
221,221-GSSS SHAMTHA
222,222-GSSS GUMMA
223,223-GSSS Hirah
224,224-GSSS Kandal
225,225-GSSS BHARANOO
226,226-PRINCIPAL GSSS RINJAT
227,227-PRINCIPAL GSSS JHIKNIPUL
228,228-PRINCIPAL GSSS BHARAN
500,500-DISTRICT TREASURY OFFICER SHIMLA
501,501-DEPUTY COMMISSIONER SHIMLA
504,504-AC TO DC SHIMLA
506,506-DISTRICT REVENUE OFFICER SHIMLA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
525,525-DEPUTY DIRECTOR AGRICULTURE
607,"607-E.E. PWD DIVISION,CHOPAL"
678,678-E.E.MECH.DIV.PWD ROHRU
717,717-IPH DIVISION NERWA
831,831-FOREST DIVISION CHOPAL
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
