DDO Code,DDO Name
001,001-AE IPH SUB DIV NOHRADHAR
002,002-AE IPH SUB DIV HARIPURDHAR
003,003-AE PWD SUB DIV HARIPURDHAR
004,004-AE PWD SUB DIV NORADHAR
200,200-BEEO NOHRADHAR
201,201-GSSS NORHADHAR
203,203-GSSS BOGDHAR
204,204-GSSS BHAWAI
205,205-GSSS LANACHETA
206,206-GHS GHANDURI
207,207-GSSS DEVA MANAL
208,208-PRINCIPAL GSSS CHARNA
209,209-GSSS PUNIRDHAR
210,210-GSSS SER TANDULA
211,211-PRINCIPAL ITI BOGDHAR
500,500-DISTRICT TREASURY OFFICER NAHAN
501,501-DEPUTY COMMISSIONER SIRMOUR 
503,503-A D M NAHAN
504,504-AC TO DC NAHAN
506,506-DISTRICT REVENUE OFFICER NAHAN
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-S.P. NAHAN
529,529-DISTT.FOOD & SUPPLY CONTROLLER
537,537-TEHSILDAR NOHRADHAR
658,658-E.E.P.W.D.SANGRAH
767,767-E.E.I.P.H.NOHRA
824,824-D.F.O.RENUKAJI
837,837-DFO WILD LIFE SHIMLA
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
