DDO Code,DDO Name
001,001-S.D.O.(CIVIL) NALAGARH
002,002-CIVIL JUDGE (JR DIVISION) NALAGARH
005,005-C.D.P.O. NALAGARH
006,"006-ASSTT.PUB.PROCECUTOR,NALAGARH."
007,007-PREIDENT M.C. NALAGARH.
009,"009-BLOCK DEV.OFFICER,NALAGARH."
010,010-A.E. DEV.SUB.DIVISION NALAGARH
011,011-BLOCK MEDICAL OFFICERNALAGARH
016,"016-ASSTT SOIL CONS.OFFICER,NLG."
017,017-PRINCIPAL ITI NALAGARH
018,018-SDAMO NALAGARH
019,019-ASSTT DRUG CONTROLLER BADDI
020,020-CIVIL JUDGE (JR DIVISION) CJM COURT NO-2 NALAGARH
021,021-DY.DIR.HORTI.[T & V] SOLAN
022,022-SP POLICE BADDI NALAGARH
023,023-AE PWD SUB DIV NALAGARH
024,024-AE PWD SUB DIV BADDI
025,025-AE IPH TUBE WELL SUB DIV BADDI
026,026-AE IPH TUBE WELL SUB DIV NALAGARH
027,027-AE IPH SUB DIV NALAGARH
028,028-AE PWD NH SUB DIV NALAGARH
044,044-SENIOR FISHERIES OFFICER SEED FARM NALAGARH
100,100-D.F.O.WORKING PLAN NALAGARH
200,200-PR GOVT COLLEGE NALAGARH
201,201-BEEO NALAGARH
202,202-GSSS BOYS NALAGARH
203,203-PR GSSS BAROTIWALA
204,204-GSSS (GIRLS) NALAGARH
205,205-GSSS SAI
206,206-PRI.GOVT.SR.SEC.SCH GULLERWALA
207,207-GSSS BADDI
208,208-GSSS MANPURA
209,209-GSSS DABHOTA
210,210-PR GSSS BAROONA
211,211-GSSS JOGHON
212,212-HM GHS BAHA
213,213-GSSS GHARER
214,214-HM GHS MANJHOLI
215,215-GSSS RERU
216,216-GSSS KHERA NANOWAL
217,217-HM GHS GOELAPUNNER
218,218-PRINCIPAL GSSS DHANG
219,219-GSSS BAGHERI
220,220-GSSS PANJHERA
221,221-PR GSSS RAJPURA
222,222-PRINCIPAL GSSS MANDHALA
223,223-HM GHS RATWARI
224,224-GSSS KUNDLU
225,225-HM GHS MALAINI
226,226-PRINCIPAL GSSS LODHIMAJRA
227,227-GSSS GULLARWALA
228,228-HM GHS Bhatian
229,229-PRINCIPAL GOVT DEGREE COLLEGE BAROTIWALA
230,230-PRINCIPAL GSSS CHANAL MAJRA
231,231-PRINCIPAL ITI (WOMEN) NALAGARH
232,232-PRINCIPAL GSSS BARIAN
233,233-PRINCIPAL GSSS HARIPUR SANDHOLI
423,"423-E.E. IPH DIVISION, NALAGARH"
500,500-DISTRICT TREASURY OFFICER SOLAN
505,505-CHIEF MEDICAL OFFICER SOLAN
507,"507-DISTT.& SESSIONS JUDGE,SOLAN."
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,"510-SUPERINTENDENT POLICE,SOLAN."
514,514-TEHSILDAR ELECTION
515,515-ASSTT REGISTRAR COOP SOCIETY SOLAN
518,518-TEHSILDAR ELECTION
525,525-DY.DIRECTOR [AGRI.]SOLAN.
527,"527-G.M.DISTT.IND.CENTER,SOLAN."
529,529-DISTT.FOOD & SUPPLY CONTROLLER
534,534-MINING OFFICER SOLAN
536,536-TEHSILDAR BADDI
537,537-TEHSILDAR NALAGARH
538,538-LABOUR OFFICER BADDI
541,541-REGIONAL TRANSPORT OFFICER BADDI AT NALAGARH
599,599-D.T.O. SOLAN 
615,"615-E.E. PWD N.H.DIVISION,SOLAN"
618,"618-E.E. PWD DIVISION-III,SHIMLA"
676,676-E.E.B&R DIVISION PWD NALAGARH
723,"723-E.E. IPH DIVISION,NALAGARH."
821,821-DFO FOREST DIVISION NALAGARH
950,950-CHIEF ELECTRICAL INSPECTOR
951,951-CONTROLLER ( W & M)
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
