DDO Code,DDO Name
001,001-CIVIL JUDGE (JR DIVISION-I) UNA
002,002-CIVIL JUDGE (JR DIVISION-II) UNA
003,003-SUPDT.SUB JAIL UNA
004,004-B.D.O. UNA
005,005-S.E. IPH CIRCLE UNA
006,006-C.D.P.O. UNA
007,007-A.E.DEV.UNA
008,008-ASSTT TOWN PLANNER UNA
009,009-PRINCIPAL SVSD COLLEGE BHATOLI
012,012-PRESIDENT HP CON.DISPUTE FORUM
013,013-PRINCIPAL ITI UNA
014,014-DEPUTY DIRECTOR (FACTORIES) UNA
015,015-NA
018,018-PRESIDENT NAC MEHATPUR
020,020-BDO GAGRET
024,024-Ist INDIA RESERVE BATTALION BANGARH
026,026-S.D.O. (CIVIL)UNA
028,028-P.O. D.R.D.AGENCY UNA
039,039-L.A.O. HAMIRPUR
044,044-S.E PWD (B&R) UNA
045,045-JOINT COMMISSIONER STATE TAXES AND EXCISE CENTRAL ENFORCEMENT ZONE UNA
046,046-ADDL DISTRICT AND SESSIONS JUDGE UNA
048,048-ASSIS. DIR FISHERIES UNA
049,049-DISTT. PROGRAMME OFFICER UNA
050,050-DEPUTY DIRECTOR HORTICULTURE UNA
051,051-ADDL DISTRICT AND SESSIONS JUDGE COURT-2 UNA
052,052-A.R.T.O MEHATPUR
053,053-CIVIL JUDGE (JR DIVISION) CJM COURT-3 UNA
054,054-LAND AQUISITION OFFICER (RAILWAY)
055,055-REGIONAL TRANSPORT OFFICER UNA
057,057-CIVIL JUDGE (JR DIVISION) CJM COURT-4 UNA
058,058-AE PWD MECH SUB DIV UNA
059,059-AE PWD ELE SUB DIV UNA
060,060-AE IPH SUB DIV I UNA
061,061-AE IPH SUB MEHATPUR
062,062-AE IPH SUB DIV II UNA
063,063-SENIOR HYDROLOGIST IPH GWO UNA
064,064-AE PWD SUB DIV II MEHATPUR
065,065-AE PWD SUB DIV I UNA
067,067-MEDICAL SUPERINTENDENT REGIONAL HOSPITAL UNA
200,200-OC NCC (6) COY. UNA
201,201-PRINCIPAL G.C. UNA
202,202-PO NAT.LIT.MISSION UNA
204,204-BEEO UNA II
205,205-GSSS (BOYS) UNA
206,206-GSSS GIRLS UNA
207,207-PR GSSS BEHDALA
208,208-PR GSSS DELHAN
209,209-GSSS BASDHERA
210,210-GSSS CHARATGARH
211,211-GSSS DHAMANDRI
212,212-PR N.S.M. GSSS. BASAL
213,213-GSSS SANOLI
214,214-GSSS NANGRAN
215,215-GSSS BADOLI
216,216-PR GSSS JAKHERA
217,217-PR GSSS SMOOR KALAN
218,218-HM GHS TEURI
219,219-GSSS TAKKA
220,220-GSSS RAINSARI
221,221-PRINCIPAL D.ET UNA
223,223-GSSS KUTHAR KALAN
224,224-GSSS KURIYALA
225,225-HM GHS BHAROLIAN KALAN
226,226-GHS PANOH
227,227-GHS RAIPUR SAHORAN
228,228-PRINCIPAL GSSS AJOULI
229,229-PR GSSS KOTLA KALAN UPPER
230,230-GHS CHALOLA
231,231-PRINCIPAL G.C. BHATOLI
232,232-GSSS BASOLI
233,233-GSSS CHATARA
234,234-GHS FATEHWAL
235,235-GHS JANKAUR
236,236-PRINCIPAL GSSS DANGOLI
237,237-PRINCIPAL SOA GOVT ITI GAGRET AT UNA
238,238-PRINCIPAL I.T. I (WOMEN) UNA
239,239-PRINCIPAL GOVT DEGREE COLLEGE BASDEHRA
240,240-PRINCIPAL GSSS SASAN
255,255-PRINCIPAL GSSS BADEHAR
500,500-DISTRICT TREASURY OFFICER UNA
503,503-ADDL.DISTRICT MAGISTRATE
504,504-AC TO DC UNA
505,505-CHIEF MEDICAL OFFICER UNA
506,506-DISTRICT REVENUE OFFICER UNA
507,507-DISTRICT AND SESSION JUDGE UNA
508,508-CIVIL JUDGE (SR DIVISION) UNA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE UNA
511,511-DY. DIR. EDUCATION(SEC) UNA
512,512-DY. DIR.ELE EDUCATION UNA
513,"513-DY. DIRECTOR, SAINIK WELFARE UNA"
514,514-DISTT. PUBLIC RELATION OFFICER UNA
515,515-ASSTT.REGISTRAR COOP. SOC. UNA
516,516-DY.DIR.ANIMALHUSB. UNA
517,517-DISTT EMPLOYMENT OFFICER UNA
518,518-TEHSILDAR ELECTION UNA
519,519-DISTRICT WELFARE OFFICER UNA
520,520-DISTRICT LANGUAGE OFFICER UNA
521,521-DISTRICT STATISTICAL OFFICER UNA
522,522-DISTRICT AYURVEDIC OFFICER UNA
523,523-DISTRICT ATTORNEY UNA
525,525-DY.DIRECTOR OF AGRI UNA
527,527-G.M.D.I.C. UNA
528,528-COMMANDANT HOME GUARD UNA
529,529-DISTT.FOOD & SUPPLY CONTROLLER UNA
530,530-DISTT. PLANNING OFFICER UNA
531,531-DISTT.YOUTH & SPORTS OFFICER UNA
533,533-DIST.DEV. & PANCHAYAT OFFICER UNA
534,534-MINING OFFICER UNA
536,536-DISTT LIBRARIAN OFFICER UNA
538,538-LABOUR OFFICER UNA
539,539-ASSTT SOIL CONS. OFFICER UNA
542,542-SECRETARY DISTRICT LEGAL AUTHORITY UNA
543,543-NA
635,"635-E.E. PWD DIVISION, UNA"
636,"636-E.E. PWD DIVISION, BHARWAIN"
638,"638-E.E. PWD ELECT.DIV.,UNA"
661,661-E.E. PWD MECH.DIV. BILASPUR
681,681-E.E.H.P.P.W.D. DIV. BANGANA
683,683-E.E N.H HPPWD DIVSION HAMIRPUR
688,688-EXECUTIVE ENGINEER UNA
732,732-IPH DIVISION NO-I UNA
733,733-IPH DIVISION NO-II UNA
735,735-G.W.O. UNA
766,"766-E.E.IPHDIVN.BASSI,BILASPUR"
770,770-ASTT. HYD CONST & MAINT SKGRH
771,771-S.E. IPH SWAN RIVER CHH PROJECT UNA
808,808-FOREST DIVISION UNA
944,"944-PROJECT OFFICER, SRIWM PROJECT"
950,950-CHIEF ELECTRICAL INSPECTOR
951,951-CONTROLLER ( W & M)
952,952-CONTROLLER ( P & S )     
953,953-DIRECTOR (FISHRIES)
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
963,963-DY DIR SWAN RIVER PROJ IWM UNA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
971,"971-DEPUTY PROJECT DIRECTOR HP, FPP UNA"
984,984-DISTRICT PROJECT OFFICER
