DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP00-538-LABOUR OFFICER BILASPUR,Total, ,135,7053734,916103,187212,5950419
BLP00-538-LABOUR OFFICER BILASPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 303 Dt:22/05/2017] , Billno-BLP005382017100008",1,50000,0,0,50000
BLP00-538-LABOUR OFFICER BILASPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 379 Dt:27/09/2017] , Billno-BLP005382017000001",1,1199962,0,0,1199962
BLP00-538-LABOUR OFFICER BILASPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 475 Dt:28/07/2017] , Billno-BLP005382017100020",1,300000,0,0,300000
BLP00-538-LABOUR OFFICER BILASPUR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 23 Dt:29/05/2017] , Billno-BLP005382017100015",1,30033,0,0,30033
BLP00-538-LABOUR OFFICER BILASPUR,19-2235-60-800-42-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 185 Dt:30/05/2017] , Billno-BLP005382017100013",1,19941,0,0,19941
BLP00-538-LABOUR OFFICER BILASPUR,27-2230-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:03/10/2017] , Billno-BLP00538092017-001",1,66411,15000,3060,48351
BLP00-538-LABOUR OFFICER BILASPUR,27-2230-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 12 Dt:03/10/2017] , Billno-BLP00538092017-002",1,100322,30000,6229,64093
BLP00-538-LABOUR OFFICER BILASPUR,27-2230-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:01/08/2017] , Billno-BLP00538072017-001",1,64270,15000,3060,46210
BLP00-538-LABOUR OFFICER BILASPUR,27-2230-01-101-01-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:01/09/2017] , Billno-BLP00538082017-001",1,65340,15000,3060,47280
