DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP01-222-PRINCIPAL ITI SWARGHAT,Total, ,144,5808065,826879,311523,4669663
BLP01-222-PRINCIPAL ITI SWARGHAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 321 Dt:22/09/2017] , Billno-BLP012222017100031",1,1000000,0,0,1000000
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/10/2017] , Billno-BLP01222092017-001",1,85972,40000,7120,38852
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:03/04/2018] , Billno-BLP01222032018-003",1,47158,0,4370,42788
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:06/07/2018] , Billno-BLP01222062018-002",1,131737,35000,8535,88202
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:03/04/2017] , Billno-BLP01222032017-001",1,82117,35000,120,46997
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:03/04/2017] , Billno-BLP01222032017-002",1,41685,0,3726,37959
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:05/01/2018] , Billno-BLP01222122017-001",1,89519,40000,7120,42399
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:06/12/2017] , Billno-BLP01222112017-001",1,89519,40000,7200,42319
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:03/04/2017] , Billno-BLP01222032017-003",1,41900,0,4066,37834
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:04/05/2017] , Billno-BLP01222042017-001",1,83168,40000,7120,36048
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:05/01/2018] , Billno-BLP01222122017-002",1,65476,0,3954,61522
BLP01-222-PRINCIPAL ITI SWARGHAT,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:06/12/2017] , Billno-BLP01222112017-002",1,65476,0,4194,61282
