DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,Total, ,104,2706312,62200,220320,2423792
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 16 Dt:06/11/2017] , Billno-BLP012232017100037",1,17712,0,0,17712
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 123 Dt:19/08/2017] , Billno-BLP012232017100021",1,539,0,0,539
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 205 Dt:23/11/2017] , Billno-BLP012232017100028",1,5002,0,0,5002
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 260 Dt:31/07/2017] , Billno-BLP012232017100018",1,642,0,0,642
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 337 Dt:29/05/2018] , Billno-BLP012232018100009",1,890,0,0,890
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 374 Dt:22/03/2018] , Billno-BLP012232017100062",1,3170,0,0,3170
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 375 Dt:22/03/2018] , Billno-BLP012232017100063",1,2645,0,0,2645
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 95 Dt:06/11/2017] , Billno-BLP012232017100036",1,1883,0,0,1883
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 100 Dt:31/10/2017] , Billno-BLP012232017100034",1,273,0,0,273
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 101 Dt:31/10/2017] , Billno-BLP012232017100033",1,6079,0,0,6079
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 102 Dt:31/10/2017] , Billno-BLP012232017100032",1,5228,0,522,4706
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 108 Dt:28/02/2018] , Billno-BLP012232017100054",1,3004,0,299,2705
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 109 Dt:28/02/2018] , Billno-BLP012232017100055",1,1584,0,156,1428
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 11 Dt:03/04/2018] , Billno-BLP01223032018-001",1,150479,0,17908,132571
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 11 Dt:06/07/2018] , Billno-BLP01223062018-001",1,183432,31100,20602,131730
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 110 Dt:28/02/2018] , Billno-BLP012232017100056",1,816,0,83,733
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 12 Dt:06/07/2018] , Billno-BLP01223062018-002",1,42796,0,4233,38563
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 19 Dt:03/04/2017] , Billno-BLP01223032017-001",1,54370,0,4932,49438
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 20 Dt:05/01/2018] , Billno-BLP01223122017-001",1,146985,0,17175,129810
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 20 Dt:06/12/2017] , Billno-BLP01223112017-001",1,146985,0,16284,130701
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 21 Dt:04/05/2017] , Billno-BLP01223042017-001",1,72758,0,4980,67778
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 22 Dt:04/09/2017] , Billno-BLP01223082017-001",1,57630,0,6093,51537
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 24 Dt:06/02/2018] , Billno-BLP01223012018-001",1,147938,0,18908,129030
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 24 Dt:07/06/2017] , Billno-BLP01223052017-001",1,72758,0,4980,67778
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 25 Dt:03/08/2017] , Billno-BLP01223072017-001",1,72758,0,5980,66778
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 25 Dt:05/07/2017] , Billno-BLP01223062017-001",1,72758,0,5980,66778
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 26 Dt:06/06/2018] , Billno-BLP01223052018-001",1,137065,0,17344,119721
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 28 Dt:06/08/2018] , Billno-BLP01223072018-001",1,165532,31100,20602,113830
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 28 Dt:06/11/2017] , Billno-BLP01223102017-001",1,124186,0,6165,118021
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 29 Dt:06/08/2018] , Billno-BLP01223072018-002",1,42796,0,4233,38563
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 37 Dt:08/03/2018] , Billno-BLP01223022018-001",1,150479,0,18918,131561
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 38 Dt:27/04/2018] , Billno-BLP012232018100005",1,20484,0,0,20484
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 39 Dt:27/04/2018] , Billno-BLP012232018100004",1,32026,0,0,32026
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 4 Dt:03/10/2017] , Billno-BLP01223092017-001",1,86295,0,6165,80130
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 58 Dt:09/05/2018] , Billno-BLP01223042018-002",1,137065,0,17344,119721
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 83 Dt:22/12/2017] , Billno-BLP012232017100042",1,565,0,0,565
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 84 Dt:22/12/2017] , Billno-BLP012232017100043",1,565,0,0,565
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-01-SALARIES,"[TRVch# 89 Dt:31/05/2017] , Billno-BLP012232017100010",1,4331,0,434,3897
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 102 Dt:30/01/2018] , Billno-BLP012232017100052",1,1100,0,0,1100
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 103 Dt:31/10/2017] , Billno-BLP012232017100031",1,892,0,0,892
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 137 Dt:22/03/2018] , Billno-BLP012232017100059",1,1500,0,0,1500
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 27 Dt:07/06/2017] , Billno-BLP012232017100011",1,518,0,0,518
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 49 Dt:22/09/2017] , Billno-BLP012232017100025",1,1126,0,0,1126
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 50 Dt:18/05/2017] , Billno-BLP012232017100004",1,3898,0,0,3898
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 53 Dt:19/08/2017] , Billno-BLP012232017100022",1,1300,0,0,1300
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 60 Dt:18/05/2017] , Billno-BLP012232017100003",1,1692,0,0,1692
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 62 Dt:25/07/2018] , Billno-BLP012232018100018",1,832,0,0,832
BLP01-223-PRINCIPAL ITI SHRI NAINA DEVI,27-2230-03-003-05-S00N-V-P-03-TRAVEL EXPENSES,"[TRVch# 73 Dt:30/06/2018] , Billno-BLP012232018100015",1,1508,0,0,1508
