DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP02-228-GSSS KOTHI,Total, ,189,35685295,7507136,2167781,26010378
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 115 Dt:15/01/2018] , Billno-BLP022282017100069",1,300000,0,0,300000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 151 Dt:22/03/2018] , Billno-BLP022282017100091",1,200000,0,0,200000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 167 Dt:15/06/2018] , Billno-BLP022282018100014",1,200000,0,0,200000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 194 Dt:16/05/2018] , Billno-BLP022282018100001",1,325000,0,0,325000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 223 Dt:16/08/2017] , Billno-BLP022282017100023",1,300000,0,0,300000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 273 Dt:30/01/2018] , Billno-BLP022282017100071",1,150000,0,0,150000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 274 Dt:30/01/2018] , Billno-BLP022282017100070",1,2835241,0,0,2835241
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 284 Dt:21/09/2017] , Billno-BLP022282017100031",1,50000,0,0,50000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 322 Dt:30/06/2017] , Billno-BLP022282017100011",1,1500000,0,0,1500000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 511 Dt:31/07/2017] , Billno-BLP022282017100017",1,200000,0,0,200000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 77 Dt:13/02/2018] , Billno-BLP022282017100073",1,200000,0,0,200000
BLP02-228-GSSS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 97 Dt:06/05/2017] , Billno-BLP022282017100001",1,200000,0,0,200000
BLP02-228-GSSS KOTHI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 14 Dt:16/08/2018] , Billno-BLP022282018100015",1,16283,0,0,16283
BLP02-228-GSSS KOTHI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 16 Dt:31/10/2017] , Billno-BLP022282017100044",1,8562,0,0,8562
BLP02-228-GSSS KOTHI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 20 Dt:31/10/2017] , Billno-BLP022282017100045",1,11398,0,0,11398
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1048 Dt:31/07/2018] , Billno-BLP022282018100031",1,250,0,0,250
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1063 Dt:20/05/2017] , Billno-BLP022282017100007",1,17923,0,1472,16451
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1082 Dt:30/01/2018] , Billno-BLP022282017100068",1,21030,0,0,21030
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1178 Dt:30/06/2018] , Billno-BLP022282018100023",1,356,0,0,356
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1191 Dt:23/10/2017] , Billno-BLP022282017100043",1,873,0,0,873
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1205 Dt:20/05/2017] , Billno-BLP022282017100006",1,43283,34278,0,9005
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1254 Dt:30/06/2017] , Billno-BLP022282017100012",1,2795,0,0,2795
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1307 Dt:21/02/2018] , Billno-BLP022282017100078",1,24524,24524,0,0
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1308 Dt:21/02/2018] , Billno-BLP022282017100079",1,17685,0,1772,15913
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 136 Dt:01/02/2018] , Billno-BLP02228012018-001",1,345561,124000,75570,145991
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 137 Dt:01/02/2018] , Billno-BLP02228012018-002",1,312285,0,57594,254691
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 141 Dt:01/01/2018] , Billno-BLP02228122017-001",1,341425,124000,56918,160507
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 141 Dt:01/05/2018] , Billno-BLP02228042018-002",1,327785,0,28541,299244
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 142 Dt:01/01/2018] , Billno-BLP02228122017-002",1,309323,0,27244,282079
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 142 Dt:01/12/2017] , Billno-BLP02228112017-001",1,337731,149000,21048,167683
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 143 Dt:01/07/2017] , Billno-BLP02228062017-001",1,321333,148000,19365,153968
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 143 Dt:01/12/2017] , Billno-BLP02228112017-002",1,308359,0,28071,280288
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 144 Dt:01/05/2018] , Billno-BLP02228042018-006",1,368204,147000,24885,196319
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 144 Dt:01/07/2017] , Billno-BLP02228062017-002",1,262652,0,26079,236573
BLP02-228-GSSS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1468 Dt:31/10/2017] , Billno-BLP022282017100046",1,47321,42795,0,4526
