DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP02-244-GOVT SR SEC SCHOOL BALOH,Total, ,161,28280187,4871587,1147703,22260897
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 170 Dt:21/12/2017] , Billno-BLP022442017100036",1,600000,0,0,600000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 186 Dt:16/08/2018] , Billno-BLP022442018100029",1,2592650,0,0,2592650
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 186 Dt:28/03/2018] , Billno-BLP022442017100071",1,50000,0,0,50000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 189 Dt:20/11/2017] , Billno-BLP022442017100032",1,375000,0,0,375000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 190 Dt:20/01/2018] , Billno-BLP022442017100038",1,1000000,0,0,1000000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 191 Dt:20/01/2018] , Billno-BLP022442017100039",1,300000,0,0,300000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 203 Dt:16/05/2018] , Billno-BLP022442018100009",1,270000,0,0,270000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 212 Dt:23/10/2017] , Billno-BLP022442017100029",1,1603420,0,0,1603420
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 261 Dt:19/06/2018] , Billno-BLP022442018100025",1,200000,0,0,200000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 326 Dt:21/04/2017] , Billno-BLP022442017100001",1,1000000,0,0,1000000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 376 Dt:24/07/2018] , Billno-BLP022442018100034",1,200000,0,0,200000
BLP02-244-GOVT SR SEC SCHOOL BALOH,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 11 Dt:16/07/2018] , Billno-BLP022442018100026",1,10694,0,0,10694
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1076 Dt:31/08/2017] , Billno-BLP022442017100015",1,50,0,0,50
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1077 Dt:31/08/2017] , Billno-BLP022442017100016",1,150,0,0,150
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1187 Dt:23/10/2017] , Billno-BLP022442017100025",1,15615,0,1559,14056
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1205 Dt:15/03/2018] , Billno-BLP022442017100046",1,10101,7101,3000,0
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1210 Dt:15/03/2018] , Billno-BLP022442017100062",1,107380,79756,27624,0
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1284 Dt:23/10/2017] , Billno-BLP022442017100024",1,21530,17710,0,3820
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1491 Dt:19/03/2018] , Billno-BLP022442017100063",1,96584,0,4379,92205
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1492 Dt:19/03/2018] , Billno-BLP022442017100056",1,8880,0,1188,7692
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1492 Dt:31/05/2017] , Billno-BLP022442017100002",1,14400,7177,800,6423
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1493 Dt:31/05/2017] , Billno-BLP022442017100003",1,13692,0,2472,11220
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1846 Dt:22/03/2018] , Billno-BLP022442017100067",1,30168,0,0,30168
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 218 Dt:01/02/2018] , Billno-BLP02244012018-001",1,141225,50000,23135,68090
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 219 Dt:01/02/2018] , Billno-BLP02244012018-002",1,124719,0,12560,112159
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 222 Dt:01/05/2018] , Billno-BLP02244042018-001",1,147728,30000,4060,113668
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 223 Dt:01/01/2018] , Billno-BLP02244122017-001",1,139528,50000,23135,66393
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 223 Dt:01/05/2018] , Billno-BLP02244042018-002",1,131812,0,12989,118823
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 223 Dt:01/07/2017] , Billno-BLP02244062017-001",1,132841,50000,15135,67706
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 224 Dt:01/01/2018] , Billno-BLP02244122017-002",1,123239,0,12411,110828
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 224 Dt:01/07/2017] , Billno-BLP02244062017-002",1,119146,0,12214,106932
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 228 Dt:01/12/2017] , Billno-BLP02244112017-004",1,123239,0,12651,110588
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 229 Dt:01/12/2017] , Billno-BLP02244112017-005",1,139528,50000,15295,74233
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 234 Dt:01/08/2017] , Billno-BLP02244072017-001",1,132891,50000,15135,67756
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 235 Dt:01/08/2017] , Billno-BLP02244072017-002",1,119296,0,12214,107082
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 248 Dt:01/09/2017] , Billno-BLP02244082017-001",1,135116,50000,15135,69981
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 249 Dt:01/09/2017] , Billno-BLP02244082017-002",1,121267,0,12214,109053
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 381 Dt:03/04/2017] , Billno-BLP02244032017-001",1,126605,25000,60,101545
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 382 Dt:03/04/2017] , Billno-BLP02244032017-002",1,121589,0,11679,109910
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 415 Dt:07/06/2017] , Billno-BLP02244052017-001",1,132841,50000,14635,68206
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 416 Dt:07/06/2017] , Billno-BLP02244052017-002",1,72083,0,7681,64402
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 492 Dt:07/03/2018] , Billno-BLP02244022018-001",1,145748,50000,22339,73409
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 493 Dt:07/03/2018] , Billno-BLP02244022018-002",1,128664,0,20371,108293
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 519 Dt:06/08/2018] , Billno-BLP02244072018-001",1,68422,30000,4030,34392
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 520 Dt:06/08/2018] , Billno-BLP02244072018-002",1,132496,0,13048,119448
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 559 Dt:06/11/2017] , Billno-BLP02244102017-001",1,139528,50000,15135,74393
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 560 Dt:06/11/2017] , Billno-BLP02244102017-002",1,123239,0,12411,110828
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 570 Dt:07/04/2018] , Billno-BLP02244032018-001",1,145748,50000,60,95688
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 571 Dt:07/04/2018] , Billno-BLP02244032018-002",1,130162,0,11899,118263
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 575 Dt:05/06/2018] , Billno-BLP02244052018-001",1,147728,30000,4060,113668
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 576 Dt:05/06/2018] , Billno-BLP02244052018-002",1,132496,0,13048,119448
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 625 Dt:06/10/2017] , Billno-BLP02244092017-001",1,137341,50000,15135,72206
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 626 Dt:06/10/2017] , Billno-BLP02244092017-002",1,123239,0,12411,110828
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 647 Dt:06/07/2018] , Billno-BLP02244062018-001",1,147728,30000,4060,113668
BLP02-244-GOVT SR SEC SCHOOL BALOH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 648 Dt:06/07/2018] , Billno-BLP02244062018-002",1,132496,0,13048,119448
