DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
BLP03-201-GSSS SALWAR,Total, ,156,16575532,2815475,1011383,12748674
BLP03-201-GSSS SALWAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 314 Dt:23/07/2018] , Billno-BLP032012018100017",1,300000,0,0,300000
BLP03-201-GSSS SALWAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 519 Dt:31/07/2018] , Billno-BLP032012018100025",1,4270000,0,0,4270000
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1034 Dt:31/08/2017] , Billno-BLP032012017100020",1,14787,0,9,14778
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1035 Dt:31/08/2017] , Billno-BLP032012017100019",1,8849,0,5,8844
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1057 Dt:21/09/2017] , Billno-BLP032012017100027",1,3792,0,368,3424
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1699 Dt:21/03/2018] , Billno-BLP032012017100062",1,28698,0,2809,25889
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1741 Dt:21/03/2018] , Billno-BLP032012017100070",1,6714,0,676,6038
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 178 Dt:01/08/2018] , Billno-BLP03201072018-001",1,101598,0,9587,92011
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 205 Dt:03/11/2017] , Billno-BLP03201102017-001",1,94454,0,7443,87011
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 247 Dt:04/06/2018] , Billno-BLP03201052018-002",1,100000,0,9442,90558
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 251 Dt:03/04/2018] , Billno-BLP03201032018-001",1,100000,0,9132,90868
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2827 Dt:31/03/2018] , Billno-BLP032012017100080",1,33919,0,0,33919
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2834 Dt:31/03/2018] , Billno-BLP032012017100075",1,18038,0,0,18038
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 295 Dt:04/05/2017] , Billno-BLP03201042017-001",1,73324,0,3788,69536
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 310 Dt:06/10/2017] , Billno-BLP03201092017-001",1,94454,0,7443,87011
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 325 Dt:06/07/2018] , Billno-BLP03201062018-001",1,101116,0,9542,91574
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 467 Dt:01/07/2017] , Billno-BLP03201062017-001",1,74882,0,3788,71094
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 482 Dt:03/05/2018] , Billno-BLP03201042018-001",1,100000,0,9442,90558
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 493 Dt:04/09/2017] , Billno-BLP03201082017-001",1,91033,0,3936,87097
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 511 Dt:03/04/2017] , Billno-BLP03201032017-001",1,59452,24000,30,35422
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 512 Dt:03/04/2017] , Billno-BLP03201032017-002",1,106833,0,7145,99688
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 534 Dt:03/08/2017] , Billno-BLP03201072017-001",1,91331,0,3931,87400
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 588 Dt:06/12/2017] , Billno-BLP03201112017-001",1,94454,0,9134,85320
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 610 Dt:07/06/2017] , Billno-BLP03201052017-001",1,74882,0,3788,71094
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 635 Dt:05/01/2018] , Billno-BLP03201122017-001",1,94454,0,8894,85560
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 645 Dt:07/02/2018] , Billno-BLP03201012018-001",1,95586,0,9006,86580
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 691 Dt:07/03/2018] , Billno-BLP03201022018-001",1,100000,0,14058,85942
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 884 Dt:13/10/2017] , Billno-BLP032012017100034",1,197,0,0,197
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 912 Dt:13/10/2017] , Billno-BLP032012017100041",1,7396,0,700,6696
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 964 Dt:19/05/2017] , Billno-BLP032012017100001",1,5480,0,441,5039
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1001 Dt:21/12/2017] , Billno-BLP032012017100052",1,1704,0,0,1704
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1013 Dt:21/05/2018] , Billno-BLP032012018100004",1,1296,0,0,1296
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1019 Dt:21/09/2017] , Billno-BLP032012017100023",1,1330,0,0,1330
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1054 Dt:21/11/2017] , Billno-BLP032012017100047",1,1330,0,0,1330
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1329 Dt:30/06/2017] , Billno-BLP032012017100011",1,2844,0,0,2844
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1330 Dt:30/06/2017] , Billno-BLP032012017100012",1,560,0,0,560
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1421 Dt:31/10/2017] , Billno-BLP032012017100045",1,1808,0,0,1808
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1422 Dt:31/10/2017] , Billno-BLP032012017100044",1,828,0,0,828
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1423 Dt:31/10/2017] , Billno-BLP032012017100043",1,707,0,0,707
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2833 Dt:31/03/2018] , Billno-BLP032012017100067",1,888,0,0,888
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2835 Dt:31/03/2018] , Billno-BLP032012017100064",1,1260,0,0,1260
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 2937 Dt:31/03/2018] , Billno-BLP032012017100082",1,1520,0,0,1520
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 754 Dt:07/02/2018] , Billno-BLP032012017100061",1,1668,0,0,1668
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 884 Dt:19/01/2018] , Billno-BLP032012017100057",1,1112,0,0,1112
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 900 Dt:19/01/2018] , Billno-BLP032012017100054",1,516,0,0,516
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 931 Dt:19/08/2017] , Billno-BLP032012017100018",1,2288,0,0,2288
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 941 Dt:23/07/2018] , Billno-BLP032012018100019",1,1520,0,0,1520
BLP03-201-GSSS SALWAR,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 981 Dt:20/06/2018] , Billno-BLP032012018100015",1,1296,0,0,1296
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1012 Dt:21/05/2018] , Billno-BLP032012018100002",1,900,0,0,900
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1014 Dt:21/05/2018] , Billno-BLP032012018100007",1,3352,0,312,3040
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1015 Dt:21/05/2018] , Billno-BLP032012018100001",1,1050,0,0,1050
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1016 Dt:20/06/2018] , Billno-BLP032012018100016",1,55083,0,0,55083
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1028 Dt:31/07/2017] , Billno-BLP032012017100016",1,4927,0,0,4927
BLP03-201-GSSS SALWAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1036 Dt:31/08/2017] , Billno-BLP032012017100021",1,14997,0,9,14988
