DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,Total, ,445,106113100,23839788,6399869,75873443
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 115 Dt:16/08/2018] , Billno-CHM000172018100049",1,50000,0,0,50000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 139 Dt:16/12/2017] , Billno-CHM000172017100184",1,60000,0,0,60000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 140 Dt:16/12/2017] , Billno-CHM000172017100183",1,50000,0,0,50000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 250 Dt:29/11/2017] , Billno-CHM000172017100167",1,60000,0,0,60000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 428 Dt:25/04/2018] , Billno-CHM000172018100004",1,75000,0,0,75000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 46 Dt:05/06/2017] , Billno-CHM000172017100036",1,40000,0,0,40000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 47 Dt:05/06/2017] , Billno-CHM000172017100035",1,45000,0,0,45000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 58 Dt:06/12/2017] , Billno-CHM000172017100170",1,50000,0,0,50000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 80 Dt:10/07/2017] , Billno-CHM000172017100062",1,25000,0,0,25000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 10 Dt:03/02/2018] , Billno-CHM000172017100222",1,800000,0,0,800000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 10 Dt:04/10/2017] , Billno-CHM000172017100108",1,20000,0,0,20000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 116 Dt:16/08/2018] , Billno-CHM000172018100046",1,1000000,0,0,1000000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 117 Dt:16/08/2018] , Billno-CHM000172018100045",1,100000,0,0,100000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 118 Dt:15/06/2017] , Billno-CHM000172017100042",1,150000,0,0,150000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 119 Dt:15/06/2017] , Billno-CHM000172017100043",1,200000,0,0,200000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 133 Dt:09/07/2018] , Billno-CHM000172018100037",1,300000,0,0,300000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 133 Dt:16/10/2017] , Billno-CHM000172017100126",1,500000,0,0,500000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 134 Dt:09/07/2018] , Billno-CHM000172018100036",1,100000,0,0,100000
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 141 Dt:10/07/2018] , Billno-CHM000172018100035",1,4671841,0,0,4671841
CHM00-017-BLOCK MEDICAL OFFICER PUKHARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 152 Dt:18/09/2017] , Billno-CHM000172017100091",1,2951256,0,0,2951256
