DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM00-248-GSSS KOLKA,Total, ,116,12189354,1911519,959947,9317888
CHM00-248-GSSS KOLKA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 137 Dt:15/09/2017] , Billno-CHM002482017100014",1,50000,0,0,50000
CHM00-248-GSSS KOLKA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 306 Dt:27/06/2017] , Billno-CHM002482017100007",1,40000,0,0,40000
CHM00-248-GSSS KOLKA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 307 Dt:27/06/2017] , Billno-CHM002482017100008",1,150000,0,0,150000
CHM00-248-GSSS KOLKA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 91 Dt:09/05/2018] , Billno-CHM002482018100001",1,550000,0,0,550000
CHM00-248-GSSS KOLKA,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 5 Dt:03/07/2018] , Billno-CHM002482018100010",1,4496,0,0,4496
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1097 Dt:20/02/2018] , Billno-CHM002482017100054",1,15231,4013,1126,10092
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1128 Dt:29/12/2017] , Billno-CHM002482017100044",1,8231,0,797,7434
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1260 Dt:27/06/2017] , Billno-CHM002482017000001",1,3240,0,9,3231
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 204 Dt:01/07/2017] , Billno-CHM00248062017-001",1,189589,25000,12168,152421
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 205 Dt:01/07/2017] , Billno-CHM00248062017-002",1,49816,0,5798,44018
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 207 Dt:01/06/2017] , Billno-CHM00248052017-001",1,175239,25000,12159,138080
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 209 Dt:01/05/2017] , Billno-CHM00248042017-001",1,122973,0,10584,112389
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 210 Dt:03/04/2017] , Billno-CHM00248032017-001",1,120869,0,9938,110931
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 212 Dt:01/09/2017] , Billno-CHM00248082017-001",1,246596,25000,18644,202952
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 212 Dt:03/10/2017] , Billno-CHM00248092017-001",1,209403,25000,15014,169389
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 213 Dt:01/02/2018] , Billno-CHM00248012018-001",1,230077,25000,18508,186569
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 214 Dt:01/08/2017] , Billno-CHM00248072017-001",1,240768,25000,18644,197124
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 215 Dt:01/11/2017] , Billno-CHM00248102017-001",1,224397,25000,18173,181224
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 217 Dt:01/01/2018] , Billno-CHM00248122017-001",1,227533,25000,18320,184213
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 217 Dt:01/03/2018] , Billno-CHM00248022018-001",1,236862,25000,19627,192235
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 217 Dt:01/06/2018] , Billno-CHM00248052018-001",1,240480,30000,23387,187093
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 219 Dt:01/08/2018] , Billno-CHM00248072018-001",1,242004,30000,23529,188475
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 220 Dt:01/12/2017] , Billno-CHM00248112017-001",1,227533,25000,18800,183733
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 221 Dt:01/05/2018] , Billno-CHM00248042018-002",1,237762,30000,18980,188782
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 222 Dt:03/04/2018] , Billno-CHM00248032018-001",1,236862,30000,20228,186634
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 224 Dt:02/07/2018] , Billno-CHM00248062018-001",1,240480,30000,23387,187093
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 315 Dt:02/05/2017] , Billno-CHM002482017100002",1,11419,0,1141,10278
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 710 Dt:13/10/2017] , Billno-CHM002482017100019",1,23767,6987,1520,15260
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 977 Dt:16/03/2018] , Billno-CHM002482017100063",1,146591,34519,16881,95191
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 409 Dt:07/12/2017] , Billno-CHM002482017100040",1,830,0,0,830
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 410 Dt:07/12/2017] , Billno-CHM002482017100041",1,2282,0,0,2282
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-N-64-TRANSFER EXPENSES,"[TRVch# 408 Dt:07/12/2017] , Billno-CHM002482017100039",1,3516,0,0,3516
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 206 Dt:01/07/2017] , Billno-CHM00248062017-003",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 208 Dt:01/06/2017] , Billno-CHM00248052017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 210 Dt:01/05/2017] , Billno-CHM00248042017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 211 Dt:03/04/2017] , Billno-CHM00248032017-002",1,15910,0,0,15910
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 213 Dt:01/09/2017] , Billno-CHM00248082017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 213 Dt:03/10/2017] , Billno-CHM00248092017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 214 Dt:01/02/2018] , Billno-CHM00248012018-002",1,17115,0,0,17115
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 215 Dt:01/08/2017] , Billno-CHM00248072017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 216 Dt:01/11/2017] , Billno-CHM00248102017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 218 Dt:01/01/2018] , Billno-CHM00248122017-002",1,16710,0,0,16710
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 218 Dt:01/03/2018] , Billno-CHM00248022018-002",1,17115,0,0,17115
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 221 Dt:01/12/2017] , Billno-CHM00248112017-002",1,16710,0,80,16630
CHM00-248-GSSS KOLKA,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 223 Dt:03/04/2018] , Billno-CHM00248032018-002",1,17115,0,0,17115
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1095 Dt:20/02/2018] , Billno-CHM002482017100053",1,1584,0,156,1428
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1096 Dt:20/02/2018] , Billno-CHM002482017100052",1,5668,5668,0,0
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1100 Dt:20/02/2018] , Billno-CHM002482017100055",1,19804,8358,1071,10375
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1120 Dt:20/03/2018] , Billno-CHM002482017100066",1,196753,89749,0,107004
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 207 Dt:01/07/2017] , Billno-CHM00248062017-004",1,78268,45000,6240,27028
CHM00-248-GSSS KOLKA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 208 Dt:01/07/2017] , Billno-CHM00248062017-005",1,308533,35000,22629,250904
