DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,Total, ,409,76112841,7922420,5396247,62794174
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 228 Dt:28/02/2018] , Billno-CHM010062017100162",1,150000,0,0,150000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 251 Dt:21/06/2017] , Billno-CHM010062017100025",1,2711509,0,0,2711509
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 294 Dt:22/05/2017] , Billno-CHM010062017100020",1,20000,0,0,20000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 316 Dt:20/07/2018] , Billno-CHM010062018100027",1,100000,0,0,100000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 317 Dt:20/07/2018] , Billno-CHM010062018100028",1,300000,0,0,300000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 319 Dt:20/07/2018] , Billno-CHM010062018100029",1,150000,0,0,150000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 344 Dt:20/07/2017] , Billno-CHM010062017100037",1,50000,0,0,50000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 371 Dt:30/06/2018] , Billno-CHM010062018100017",1,100000,0,0,100000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 372 Dt:30/06/2018] , Billno-CHM010062018100018",1,100000,0,0,100000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 373 Dt:30/06/2018] , Billno-CHM010062018100019",1,300000,0,0,300000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 374 Dt:30/06/2018] , Billno-CHM010062018100020",1,800000,0,0,800000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 390 Dt:29/09/2017] , Billno-CHM010062017100073",1,100000,0,0,100000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 401 Dt:29/09/2017] , Billno-CHM010062017100079",1,40000,0,0,40000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 402 Dt:29/09/2017] , Billno-CHM010062017100080",1,300000,0,0,300000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 403 Dt:29/09/2017] , Billno-CHM010062017100077",1,1254581,0,0,1254581
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 438 Dt:31/10/2017] , Billno-CHM010062017100108",1,300000,0,0,300000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 465 Dt:29/04/2017] , Billno-CHM010062017100001",1,350000,0,0,350000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 488 Dt:29/04/2017] , Billno-CHM010062017100018",1,150000,0,0,150000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 536 Dt:31/07/2017] , Billno-CHM010062017100057",1,300000,0,0,300000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 537 Dt:31/07/2017] , Billno-CHM010062017100058",1,100000,0,0,100000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 544 Dt:31/07/2017] , Billno-CHM010062017100034",1,1068302,0,0,1068302
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 591 Dt:31/05/2018] , Billno-CHM010062018100008",1,150000,0,0,150000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 592 Dt:31/05/2018] , Billno-CHM010062018100009",1,400000,0,0,400000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 621 Dt:28/04/2018] , Billno-CHM010062018100001",1,140000,0,0,140000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 629 Dt:28/04/2018] , Billno-CHM010062018100004",1,400000,0,0,400000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 631 Dt:28/04/2018] , Billno-CHM010062018100002",1,250000,0,0,250000
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 38 Dt:31/08/2017] , Billno-CHM010062017100062",1,46398,0,0,46398
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 47 Dt:30/12/2017] , Billno-CHM010062017100133",1,9524,0,0,9524
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 48 Dt:30/12/2017] , Billno-CHM010062017100132",1,11918,0,0,11918
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,14-2403-00-113-01-C50N-V-P-15-TRAINING,"[TRVch# 237 Dt:31/03/2018] , Billno-CHM010062017100239",1,500,0,0,500
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 162 Dt:29/09/2017] , Billno-CHM010062017100087",1,59881,0,0,59881
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 197 Dt:31/08/2017] , Billno-CHM010062017100052",1,45789,0,0,45789
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 198 Dt:31/08/2017] , Billno-CHM010062017100064",1,14325,0,0,14325
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 214 Dt:20/03/2018] , Billno-CHM010062017100167",1,26241,0,0,26241
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 233 Dt:20/03/2018] , Billno-CHM010062017100188",1,3397,0,0,3397
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 727 Dt:31/03/2018] , Billno-CHM010062017100204",1,5414,0,0,5414
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 738 Dt:31/03/2018] , Billno-CHM010062017100231",1,7982,0,0,7982
CHM01-006-ASSTT DIR.(SHEEP DEV.) BHARMOUR,19-2235-60-800-15-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 766 Dt:31/03/2018] , Billno-CHM010062017100249",1,230839,0,0,230839
