DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM02-002-B.D.O. TISSA,Total, ,126,9208896,2170364,458842,6579690
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 147 Dt:20/02/2018] , Billno-CHM020022017100055",1,50000,0,0,50000
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 201 Dt:20/06/2018] , Billno-CHM020022018100016",1,200000,0,0,200000
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 204 Dt:10/08/2017] , Billno-CHM020022017100017",1,200000,0,0,200000
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 216 Dt:21/10/2017] , Billno-CHM020022017100027",1,60000,0,0,60000
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 243 Dt:22/05/2017] , Billno-CHM020022017100008",1,80000,0,0,80000
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 366 Dt:29/04/2017] , Billno-CHM020022017000002",1,578048,0,0,578048
CHM02-002-B.D.O. TISSA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 523 Dt:31/05/2018] , Billno-CHM020022018100013",1,400000,0,0,400000
CHM02-002-B.D.O. TISSA,19-2235-60-800-26-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 164 Dt:30/06/2017] , Billno-CHM020022017100010",1,10010,0,0,10010
CHM02-002-B.D.O. TISSA,19-2235-60-800-26-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 207 Dt:31/07/2017] , Billno-CHM020022017100013",1,2938,0,0,2938
CHM02-002-B.D.O. TISSA,19-2235-60-800-26-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 98 Dt:20/09/2017] , Billno-CHM020022017100024",1,4034,0,0,4034
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 12 Dt:10/04/2017] , Billno-CHM02002032017-001",1,52149,15000,1792,35357
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:10/04/2017] , Billno-CHM02002032017-002",1,308875,103500,17073,188302
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 14 Dt:10/04/2017] , Billno-CHM02002032017-003",1,33078,0,339,32739
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:08/06/2018] , Billno-CHM02002052018-001",1,275762,90600,23204,161958
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:10/07/2018] , Billno-CHM02002062018-001",1,403856,143600,33077,227179
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:08/06/2018] , Billno-CHM02002052018-002",1,37425,0,1969,35456
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:10/07/2018] , Billno-CHM02002062018-002",1,37425,0,1969,35456
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:08/09/2017] , Billno-CHM02002082017-001",1,56319,17500,2882,35937
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:08/09/2017] , Billno-CHM02002082017-002",1,253897,85100,19930,148867
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:10/08/2018] , Billno-CHM02002072018-001",1,403856,143600,33077,227179
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:08/09/2017] , Billno-CHM02002082017-003",1,34517,0,455,34062
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/08/2018] , Billno-CHM02002072018-002",1,37425,0,1969,35456
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/10/2017] , Billno-CHM02002092017-001",1,57257,17500,2882,36875
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/11/2017] , Billno-CHM02002102017-001",1,57257,17500,2882,36875
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:10/10/2017] , Billno-CHM02002092017-002",1,258210,85100,19991,153119
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:10/11/2017] , Billno-CHM02002102017-002",1,262682,87600,20099,154983
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:24/04/2018] , Billno-CHM020022018100003",1,233738,90600,12960,130178
CHM02-002-B.D.O. TISSA,20-2515-00-102-01-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:10/10/2017] , Billno-CHM02002092017-003",1,34815,0,455,34360
