DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM02-212-GSSS BOUNDARY,Total, ,147,11292190,1407674,435415,9449101
CHM02-212-GSSS BOUNDARY,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 141 Dt:20/02/2018] , Billno-CHM022122017100068",1,507380,0,0,507380
CHM02-212-GSSS BOUNDARY,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 181 Dt:20/09/2017] , Billno-CHM022122017100039",1,300000,0,0,300000
CHM02-212-GSSS BOUNDARY,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 241 Dt:20/07/2017] , Billno-CHM022122017100022",1,400000,0,0,400000
CHM02-212-GSSS BOUNDARY,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 515 Dt:31/05/2018] , Billno-CHM022122018100003",1,800000,0,0,800000
CHM02-212-GSSS BOUNDARY,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 654 Dt:31/07/2017] , Billno-CHM022122017100029",1,200000,0,0,200000
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1175 Dt:20/11/2017] , Billno-CHM022122017100046",1,2784,0,0,2784
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1176 Dt:20/11/2017] , Billno-CHM022122017100047",1,7757,7757,0,0
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1178 Dt:20/11/2017] , Billno-CHM022122017100049",1,5436,0,498,4938
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1183 Dt:20/11/2017] , Billno-CHM022122017100057",1,158261,0,7061,151200
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1394 Dt:30/11/2017] , Billno-CHM022122017100059",1,61708,25000,2030,34678
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1418 Dt:20/03/2018] , Billno-CHM022122017100072",1,4460,4460,0,0
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1420 Dt:20/03/2018] , Billno-CHM022122017100074",1,3926,0,283,3643
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1471 Dt:20/03/2018] , Billno-CHM022122017100083",1,34135,0,0,34135
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1472 Dt:20/03/2018] , Billno-CHM022122017100081",1,101836,48255,0,53581
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 347 Dt:10/04/2018] , Billno-CHM02212032018-001",1,64446,25000,30,39416
CHM02-212-GSSS BOUNDARY,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 348 Dt:10/04/2018] , Billno-CHM02212032018-002",1,163708,0,7725,155983
