DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM03-205-PR GSSS TIKRU,Total, ,164,18682053,4314222,710334,13657497
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 150 Dt:20/11/2017] , Billno-CHM032052017100087",1,50000,0,0,50000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 186 Dt:20/01/2018] , Billno-CHM032052017100105",1,100000,0,0,100000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 355 Dt:31/10/2017] , Billno-CHM032052017100078",1,50000,0,0,50000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 371 Dt:24/04/2018] , Billno-CHM032052018100001",1,300000,0,0,300000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 372 Dt:24/04/2018] , Billno-CHM032052018100002",1,50000,0,0,50000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 373 Dt:24/04/2018] , Billno-CHM032052018100003",1,400000,0,0,400000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 374 Dt:24/04/2018] , Billno-CHM032052018100005",1,300000,0,0,300000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 375 Dt:24/04/2018] , Billno-CHM032052018100007",1,600000,0,0,600000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 555 Dt:29/04/2017] , Billno-CHM032052017100003",1,200000,0,0,200000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 556 Dt:29/04/2017] , Billno-CHM032052017100004",1,250000,0,0,250000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 557 Dt:29/04/2017] , Billno-CHM032052017100005",1,500000,0,0,500000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 558 Dt:29/04/2017] , Billno-CHM032052017100006",1,1500000,0,0,1500000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 559 Dt:29/04/2017] , Billno-CHM032052017100007",1,100000,0,0,100000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 560 Dt:29/04/2017] , Billno-CHM032052017100008",1,100000,0,0,100000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 561 Dt:29/04/2017] , Billno-CHM032052017100009",1,80000,0,0,80000
CHM03-205-PR GSSS TIKRU,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 679 Dt:31/07/2017] , Billno-CHM032052017100049",1,100000,0,0,100000
CHM03-205-PR GSSS TIKRU,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 43 Dt:31/05/2018] , Billno-CHM032052018100031",1,9122,0,0,9122
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1233 Dt:20/03/2018] , Billno-CHM03205022018-001",1,298773,74000,39408,185365
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1297 Dt:20/03/2018] , Billno-CHM032052017100112",1,16824,11517,535,4772
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1393 Dt:31/07/2017] , Billno-CHM032052017100038",1,7337,0,0,7337
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1408 Dt:31/07/2017] , Billno-CHM032052017100036",1,13923,0,0,13923
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1418 Dt:31/07/2017] , Billno-CHM032052017000001",1,6902,0,0,6902
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1420 Dt:31/07/2018] , Billno-CHM032052018100044",1,302932,77000,17505,208427
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1426 Dt:31/05/2017] , Billno-CHM03205042017-001",1,272599,74000,9096,189503
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1685 Dt:31/10/2017] , Billno-CHM032052017100075",1,26755,15476,655,10624
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3076 Dt:31/03/2018] , Billno-CHM032052017100120",1,162171,123574,0,38597
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 543 Dt:21/04/2017] , Billno-CHM03205032017-001",1,267255,62000,5554,199701
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 548 Dt:10/08/2017] , Billno-CHM03205072017-001",1,275017,74000,17667,183350
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 553 Dt:24/04/2018] , Billno-CHM03205032018-001",1,298773,74000,9484,215289
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 611 Dt:10/08/2018] , Billno-CHM03205072018-001",1,302932,77021,17484,208427
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 647 Dt:09/02/2018] , Billno-CHM03205012018-001",1,289177,74000,14984,200193
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 653 Dt:08/06/2018] , Billno-CHM03205052018-001",1,302932,77021,17484,208427
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 659 Dt:10/10/2017] , Billno-CHM03205092017-001",1,282709,74000,17785,190924
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 780 Dt:20/07/2017] , Billno-CHM03205062017-001",1,272766,74000,12454,186312
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 783 Dt:21/06/2017] , Billno-CHM03205052017-001",1,276268,74000,12688,189580
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 785 Dt:20/09/2017] , Billno-CHM03205082017-001",1,278988,74000,17667,187321
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 794 Dt:20/12/2017] , Billno-CHM03205112017-001",1,284387,74000,15425,194962
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 826 Dt:21/06/2017] , Billno-CHM032052017100011",1,22500,16538,600,5362
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 841 Dt:20/11/2017] , Billno-CHM032052017100086",1,247232,54000,12485,180747
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 852 Dt:20/11/2017] , Billno-CHM032052017100088",1,37155,20000,15,17140
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 885 Dt:19/05/2018] , Billno-CHM03205042018-001",1,302515,74021,17484,211010
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 963 Dt:20/01/2018] , Billno-CHM03205122017-001",1,285529,74000,14895,196634
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1006 Dt:31/08/2017] , Billno-CHM032052017100058",1,5250,0,0,5250
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1246 Dt:21/10/2017] , Billno-CHM032052017100073",1,6300,0,0,6300
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1346 Dt:31/05/2018] , Billno-CHM032052018100020",1,6510,0,0,6510
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1347 Dt:31/05/2018] , Billno-CHM032052018100021",1,3570,0,0,3570
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1348 Dt:31/05/2018] , Billno-CHM032052018100022",1,6510,0,0,6510
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1351 Dt:31/05/2018] , Billno-CHM032052018100025",1,6750,0,0,6750
CHM03-205-PR GSSS TIKRU,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1412 Dt:31/07/2017] , Billno-CHM032052017100042",1,6300,0,0,6300
