DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,Total, ,207,27778238,2338865,1956808,23482565
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 618 Dt:29/04/2017] , Billno-CHM052162017100004",1,75000,0,0,75000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 129 Dt:20/02/2018] , Billno-CHM052162017100081",1,200000,0,0,200000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 237 Dt:19/05/2018] , Billno-CHM052162018100009",1,70000,0,0,70000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 439 Dt:29/09/2017] , Billno-CHM052162017100037",1,1100000,0,0,1100000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 456 Dt:29/09/2017] , Billno-CHM052162017100048",1,50000,0,0,50000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 544 Dt:28/04/2018] , Billno-CHM052162018100001",1,500000,0,0,500000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 566 Dt:31/07/2017] , Billno-CHM052162017100025",1,600000,0,0,600000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 642 Dt:31/08/2017] , Billno-CHM052162017100033",1,800000,0,0,800000
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,27-2203-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:19/05/2018] , Billno-CHM05216042018-001",1,419038,96000,65360,257678
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,27-2203-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:20/07/2017] , Billno-CHM05216062017-004",1,185676,0,19890,165786
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,27-2203-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:20/12/2017] , Billno-CHM05216112017-002",1,466208,0,36655,429553
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,27-2203-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:21/06/2017] , Billno-CHM05216052017-001",1,560298,86000,57486,416812
CHM05-216-PRI.GOVT.POLY.COLLAGE BANIKHET,27-2203-00-105-01-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:19/05/2018] , Billno-CHM05216042018-002",1,492226,0,34379,457847
