DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM06-202-PR GSSS KHARGAT,Total, ,184,15376473,1863482,1004614,12508377
CHM06-202-PR GSSS KHARGAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 221 Dt:21/06/2017] , Billno-CHM062022017100020",1,129688,0,0,129688
CHM06-202-PR GSSS KHARGAT,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 529 Dt:31/05/2017] , Billno-CHM062022017100019",1,400000,0,0,400000
CHM06-202-PR GSSS KHARGAT,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 23 Dt:29/09/2017] , Billno-CHM062022017100041",1,38060,0,0,38060
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1042 Dt:21/06/2017] , Billno-CHM062022017100013",1,1158,0,0,1158
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1330 Dt:30/06/2017] , Billno-CHM062022017100021",1,4612,0,0,4612
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1362 Dt:29/09/2017] , Billno-CHM06202082017-001",1,259543,20000,17809,221734
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1434 Dt:29/09/2017] , Billno-CHM062022017100055",1,1728,0,0,1728
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1479 Dt:31/10/2017] , Billno-CHM06202092017-001",1,263773,20000,17943,225830
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1484 Dt:31/05/2018] , Billno-CHM062022018100007",1,139542,0,27908,111634
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1596 Dt:31/05/2017] , Billno-CHM062022017100010",1,75,0,0,75
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1608 Dt:31/05/2017] , Billno-CHM062022017100001",1,30400,15186,826,14388
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1775 Dt:20/03/2018] , Billno-CHM06202022018-001",1,287216,20000,66222,200994
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1776 Dt:20/03/2018] , Billno-CHM06202022018-002",1,49100,0,0,49100
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1853 Dt:20/03/2018] , Billno-CHM062022017100100",1,19315,5595,602,13118
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1857 Dt:20/03/2018] , Billno-CHM062022017100071",1,25142,9792,1031,14319
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 3393 Dt:31/03/2018] , Billno-CHM062022017100127",1,182701,60863,0,121838
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 451 Dt:10/08/2017] , Billno-CHM06202072017-001",1,333789,45000,20369,268420
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 453 Dt:21/04/2017] , Billno-CHM06202032017-001",1,259350,40000,7321,212029
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:10/05/2018] , Billno-CHM06202042018-001",1,287316,20000,18990,248326
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 479 Dt:10/05/2018] , Billno-CHM06202042018-002",1,51700,0,0,51700
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 516 Dt:08/12/2017] , Billno-CHM06202112017-001",1,266009,20000,18423,227586
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 517 Dt:08/12/2017] , Billno-CHM06202112017-002",1,49100,0,240,48860
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 548 Dt:09/02/2018] , Billno-CHM06202012018-001",1,270463,20000,18164,232299
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 549 Dt:09/02/2018] , Billno-CHM06202012018-002",1,49100,0,0,49100
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 553 Dt:10/01/2018] , Billno-CHM06202122017-001",1,267248,20000,18062,229186
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 554 Dt:10/01/2018] , Billno-CHM06202122017-002",1,49100,0,0,49100
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 625 Dt:09/05/2017] , Billno-CHM06202042017-001",1,281850,50000,14916,216934
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 716 Dt:20/08/2018] , Billno-CHM06202072018-001",1,290364,0,29172,261192
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 717 Dt:20/08/2018] , Billno-CHM06202072018-002",1,35000,0,0,35000
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 778 Dt:20/06/2018] , Billno-CHM06202052018-001",1,287166,20000,18990,248176
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 779 Dt:20/06/2018] , Billno-CHM06202052018-002",1,35000,0,0,35000
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 846 Dt:20/07/2017] , Billno-CHM06202062017-001",1,327129,45000,15047,267082
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 865 Dt:20/11/2017] , Billno-CHM06202102017-001",1,266009,20000,17943,228066
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 866 Dt:20/11/2017] , Billno-CHM06202102017-002",1,36783,0,0,36783
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 868 Dt:28/04/2018] , Billno-CHM06202032018-002",1,287216,20000,8927,258289
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 869 Dt:28/04/2018] , Billno-CHM06202032018-003",1,49100,0,0,49100
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 877 Dt:20/07/2018] , Billno-CHM06202062018-001",1,290364,0,18990,271374
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 878 Dt:20/07/2018] , Billno-CHM06202062018-002",1,35000,0,0,35000
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 950 Dt:21/06/2017] , Billno-CHM06202052017-001",1,281850,45000,14916,221934
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1049 Dt:21/06/2017] , Billno-CHM062022017100025",1,6510,0,0,6510
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1436 Dt:29/09/2017] , Billno-CHM062022017100052",1,6510,0,0,6510
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1554 Dt:31/10/2017] , Billno-CHM062022017100061",1,2940,0,0,2940
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1595 Dt:31/05/2017] , Billno-CHM062022017100008",1,6300,0,0,6300
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 931 Dt:20/07/2017] , Billno-CHM062022017100034",1,5250,0,0,5250
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3485 Dt:31/03/2018] , Billno-CHM062022017100123",1,446,0,0,446
CHM06-202-PR GSSS KHARGAT,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 3506 Dt:31/03/2018] , Billno-CHM062022017100133",1,1036,0,0,1036
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1050 Dt:21/06/2017] , Billno-CHM062022017100026",1,11398,0,0,11398
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1477 Dt:29/09/2017] , Billno-CHM062022017100053",1,12823,0,0,12823
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1556 Dt:31/10/2017] , Billno-CHM062022017100070",1,14840,0,0,14840
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1578 Dt:31/05/2017] , Billno-CHM062022017100014",1,12275,0,0,12275
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1579 Dt:31/05/2017] , Billno-CHM062022017100015",1,13137,0,0,13137
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1923 Dt:28/02/2018] , Billno-CHM062022017100104",1,108024,0,0,108024
CHM06-202-PR GSSS KHARGAT,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 934 Dt:20/07/2017] , Billno-CHM062022017100038",1,13250,0,0,13250
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1051 Dt:21/06/2017] , Billno-CHM062022017100022",1,4668,0,0,4668
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1324 Dt:30/06/2017] , Billno-CHM062022017100028",1,76027,0,7617,68410
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1363 Dt:29/09/2017] , Billno-CHM06202082017-002",1,75018,25000,6060,43958
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1364 Dt:29/09/2017] , Billno-CHM06202082017-003",1,275129,42000,21949,211180
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1365 Dt:29/09/2017] , Billno-CHM06202082017-004",1,36707,0,5973,30734
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1435 Dt:29/09/2017] , Billno-CHM062022017100054",1,6263,0,0,6263
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1439 Dt:29/09/2017] , Billno-CHM062022017100042",1,14837,0,1487,13350
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1480 Dt:31/10/2017] , Billno-CHM06202092017-002",1,78517,25000,6060,47457
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1481 Dt:31/10/2017] , Billno-CHM06202092017-003",1,287250,42000,22110,223140
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1482 Dt:31/10/2017] , Billno-CHM06202092017-004",1,37305,0,6033,31272
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1485 Dt:31/05/2018] , Billno-CHM062022018100008",1,47525,0,9509,38016
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1566 Dt:30/12/2017] , Billno-CHM062022017100086",1,3672,0,0,3672
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1567 Dt:30/12/2017] , Billno-CHM062022017100073",1,24451,15623,884,7944
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1568 Dt:30/12/2017] , Billno-CHM062022017100074",1,4730,0,474,4256
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1569 Dt:30/12/2017] , Billno-CHM062022017100072",1,9912,9912,0,0
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1597 Dt:31/05/2017] , Billno-CHM062022017100011",1,412,0,0,412
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1609 Dt:31/05/2017] , Billno-CHM062022017100002",1,8280,8280,0,0
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1610 Dt:31/05/2017] , Billno-CHM062022017100003",1,25136,12930,1098,11108
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1777 Dt:20/03/2018] , Billno-CHM06202022018-003",1,82026,25000,38007,19019
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1778 Dt:20/03/2018] , Billno-CHM06202022018-004",1,324676,42000,63142,219534
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1779 Dt:20/03/2018] , Billno-CHM06202022018-005",1,55736,0,7649,48087
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1854 Dt:20/03/2018] , Billno-CHM062022017100103",1,3198,0,270,2928
CHM06-202-PR GSSS KHARGAT,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1855 Dt:20/03/2018] , Billno-CHM062022017100102",1,15433,8859,504,6070
