DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM07-207-PRINCIPAL G C CHOWARI,Total, ,147,30057625,4419927,2623768,23013930
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 257 Dt:10/08/2017] , Billno-CHM072072017100031",1,100000,0,0,100000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 258 Dt:10/08/2017] , Billno-CHM072072017100032",1,50000,0,0,50000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 259 Dt:10/08/2017] , Billno-CHM072072017100033",1,30000,0,0,30000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 329 Dt:31/08/2018] , Billno-CHM072072018100032",1,40000,0,0,40000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 340 Dt:31/10/2017] , Billno-CHM072072017100042",1,100000,0,0,100000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 501 Dt:28/04/2018] , Billno-CHM072072018100001",1,1700000,0,0,1700000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 502 Dt:28/04/2018] , Billno-CHM072072018100005",1,200000,0,0,200000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 578 Dt:31/07/2018] , Billno-CHM072072018100021",1,100000,0,0,100000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 579 Dt:31/07/2018] , Billno-CHM072072018100022",1,30000,0,0,30000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 85 Dt:10/07/2017] , Billno-CHM072072017100013",1,150000,0,0,150000
CHM07-207-PRINCIPAL G C CHOWARI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 95 Dt:10/11/2017] , Billno-CHM072072017100052",1,100000,0,0,100000
CHM07-207-PRINCIPAL G C CHOWARI,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 12 Dt:28/04/2018] , Billno-CHM072072018100008",1,8038,0,0,8038
CHM07-207-PRINCIPAL G C CHOWARI,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1009 Dt:21/10/2017] , Billno-CHM07207092017-001",1,421256,135425,54312,231519
CHM07-207-PRINCIPAL G C CHOWARI,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1010 Dt:21/10/2017] , Billno-CHM07207092017-002",1,600680,0,64269,536411
CHM07-207-PRINCIPAL G C CHOWARI,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1011 Dt:21/10/2017] , Billno-CHM07207092017-003",1,247810,80000,5163,162647
CHM07-207-PRINCIPAL G C CHOWARI,08-2202-03-103-01-S00N-V-N-01-SALARIES,"[TRVch# 1012 Dt:21/10/2017] , Billno-CHM07207092017-004",1,110419,0,4260,106159
