DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CHM08-631-E.E.H.P.P.W.D.SALOONI,Total, ,23,1084946,0,183614,901332
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 105 Dt:31/08/2017] , Billno-CHM086310200258001",1,25000,0,0,25000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 106 Dt:31/08/2017] , Billno-CHM086310200258002",1,25000,0,0,25000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 107 Dt:30/06/2017] , Billno-CHM086311768782001",1,40000,0,0,40000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 109 Dt:30/06/2017] , Billno-CHM086310216118015",1,43263,0,0,43263
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 113 Dt:30/12/2017] , Billno-CHM086310216118020",1,22358,0,0,22358
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 124 Dt:31/05/2017] , Billno-CHM086310200151696",1,40000,0,0,40000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 125 Dt:31/05/2017] , Billno-CHM086310200151697",1,30000,0,0,30000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 127 Dt:31/05/2017] , Billno-CHM086310216118014",1,74988,0,0,74988
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 144 Dt:30/01/2018] , Billno-CHM086310216118021",1,41390,0,0,41390
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 145 Dt:31/03/2018] , Billno-CHM086310216118023",1,89147,0,0,89147
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 146 Dt:30/01/2018] , Billno-CHM086310216118022",1,37197,0,0,37197
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 150 Dt:31/03/2018] , Billno-CHM086310216118024",1,38734,0,0,38734
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 151 Dt:31/03/2018] , Billno-CHM086310216118025",1,40798,0,0,40798
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 57 Dt:31/05/2018] , Billno-CHM086310216118027",1,48214,0,0,48214
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 75 Dt:30/11/2017] , Billno-CHM086310216118019",1,56229,0,0,56229
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 80 Dt:31/07/2017] , Billno-CHM086310200151700",1,40000,0,0,40000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 81 Dt:31/07/2017] , Billno-CHM086311778782002",1,183614,0,183614,0
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 89 Dt:29/09/2017] , Billno-CHM086310216118016",1,32705,0,0,32705
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 90 Dt:29/09/2017] , Billno-CHM086310200258003",1,30000,0,0,30000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 91 Dt:29/09/2017] , Billno-CHM086310200258004",1,30000,0,0,30000
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 93 Dt:31/10/2017] , Billno-CHM086310216118017",1,68070,0,0,68070
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 95 Dt:31/07/2018] , Billno-CHM086310216118030",1,31762,0,0,31762
CHM08-631-E.E.H.P.P.W.D.SALOONI,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 98 Dt:31/07/2018] , Billno-CHM086310216118031",1,16477,0,0,16477
