DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CTO00-032-S.P. (WIRELESS) SHIMLA,Total, ,1198,549454117,127521583,16590733,405341801
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 10 Dt:01/09/2017] , Billno-CTO000322017100368",1,350000,0,0,350000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 11 Dt:01/09/2017] , Billno-CTO000322017100369",1,120000,0,0,120000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 12 Dt:01/09/2017] , Billno-CTO000322017100370",1,100000,0,0,100000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 124 Dt:05/01/2018] , Billno-CTO000322017100611",1,1555128,0,0,1555128
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 128 Dt:07/04/2017] , Billno-CTO000322017100022",1,300000,0,0,300000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 129 Dt:07/04/2017] , Billno-CTO000322017100018",1,1200000,0,0,1200000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 13 Dt:01/05/2018] , Billno-CTO000322018100090",1,640000,0,0,640000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 130 Dt:07/04/2017] , Billno-CTO000322017100017",1,950000,0,0,950000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 131 Dt:07/04/2017] , Billno-CTO000322017100016",1,700000,0,0,700000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 131 Dt:08/03/2018] , Billno-CTO000322017100734",1,1300000,0,0,1300000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 132 Dt:03/05/2018] , Billno-CTO000322018100113",1,200000,0,0,200000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 132 Dt:07/04/2017] , Billno-CTO000322017100003",1,200000,0,0,200000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 132 Dt:08/03/2018] , Billno-CTO000322017100733",1,80000,0,0,80000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 133 Dt:03/05/2018] , Billno-CTO000322018100112",1,145000,0,0,145000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 133 Dt:07/04/2017] , Billno-CTO000322017100004",1,200000,0,0,200000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 134 Dt:07/04/2017] , Billno-CTO000322017100005",1,400000,0,0,400000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 135 Dt:06/08/2018] , Billno-CTO000322018100327",1,350000,0,0,350000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 135 Dt:07/04/2017] , Billno-CTO000322017100012",1,300000,0,0,300000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 136 Dt:06/08/2018] , Billno-CTO000322018100328",1,180000,0,0,180000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 136 Dt:07/04/2017] , Billno-CTO000322017100013",1,400000,0,0,400000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 137 Dt:06/08/2018] , Billno-CTO000322018100329",1,400000,0,0,400000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 137 Dt:07/04/2017] , Billno-CTO000322017100014",1,500000,0,0,500000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 138 Dt:06/08/2018] , Billno-CTO000322018100331",1,151000,0,0,151000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 138 Dt:07/04/2017] , Billno-CTO000322017100015",1,360000,0,0,360000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 14 Dt:01/05/2018] , Billno-CTO000322018100091",1,300000,0,0,300000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 15 Dt:01/05/2018] , Billno-CTO000322018100092",1,200000,0,0,200000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 153 Dt:04/05/2018] , Billno-CTO000322018100108",1,300000,0,0,300000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 154 Dt:04/05/2018] , Billno-CTO000322018100109",1,250000,0,0,250000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 155 Dt:04/05/2018] , Billno-CTO000322018100110",1,400000,0,0,400000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 155 Dt:07/07/2017] , Billno-CTO000322017100219",1,400000,0,0,400000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 156 Dt:04/05/2018] , Billno-CTO000322018100111",1,100000,0,0,100000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 156 Dt:07/07/2017] , Billno-CTO000322017100220",1,600000,0,0,600000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 158 Dt:07/07/2017] , Billno-CTO000322017100228",1,190000,0,0,190000
CTO00-032-S.P. (WIRELESS) SHIMLA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 159 Dt:07/07/2017] , Billno-CTO000322017100229",1,100000,0,0,100000
