DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,Total, ,39,9991295722,0,0,9991295722
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,00-8448-00-120-00-S00N-V-N-00- ,"[TRVch# 1 Dt:11/12/2017] , Billno-CTO0019117B8448001",1,2500000000,0,0,2500000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-07-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:01/01/2018] , Billno-CTO001912017000020",1,360024610,0,0,360024610
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-07-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:29/06/2018] , Billno-CTO001912018000006",1,343613430,0,0,343613430
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-07-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:30/06/2017] , Billno-CTO001912017000006",1,351281403,0,0,351281403
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-07-S00N-C-N-23-INTEREST,"[TRVch# 2 Dt:29/09/2017] , Billno-CTO001912017000014",1,351592829,0,0,351592829
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-07-S00N-C-N-23-INTEREST,"[TRVch# 3 Dt:28/03/2018] , Billno-CTO001912017000028",1,347560651,0,0,347560651
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:27/02/2018] , Billno-CTO001912017000023",1,3132970,0,0,3132970
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:28/08/2017] , Billno-CTO001912017000009",1,3995025,0,0,3995025
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:28/08/2018] , Billno-CTO001912018000009",1,2383891,0,0,2383891
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:29/05/2017] , Billno-CTO001912017000003",1,4384674,0,0,4384674
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:29/05/2018] , Billno-CTO001912018000003",1,2791052,0,0,2791052
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-15-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:30/11/2017] , Billno-CTO001912017000017",1,3548674,0,0,3548674
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-23-S00N-C-N-23-INTEREST,"[TRVch# 1 Dt:15/09/2017] , Billno-CTO001912017000012",1,64916366,0,0,64916366
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-2049-01-200-23-S00N-C-N-23-INTEREST,"[TRVch# 2 Dt:15/03/2018] , Billno-CTO001912017000026",1,55416414,0,0,55416414
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/01/2018] , Billno-CTO001912017000019",1,353658200,0,0,353658200
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/02/2018] , Billno-CTO001912017000021",1,200049000,0,0,200049000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/03/2018] , Billno-CTO001912017000024",1,196289000,0,0,196289000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/05/2017] , Billno-CTO001912017000001",1,289494000,0,0,289494000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/06/2017] , Billno-CTO001912017000004",1,319576000,0,0,319576000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/06/2018] , Billno-CTO001912018000004",1,490024000,0,0,490024000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/08/2018] , Billno-CTO001912018000007",1,283210600,0,0,283210600
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/09/2017] , Billno-CTO001912017000010",1,277868000,0,0,277868000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/11/2017] , Billno-CTO001912017000015",1,394998000,0,0,394998000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:01/12/2017] , Billno-CTO001912017000018",1,310857000,0,0,310857000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:27/04/2018] , Billno-CTO001912018000001",1,225248000,0,0,225248000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:31/07/2017] , Billno-CTO001912017000007",1,306762000,0,0,306762000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:29/06/2018] , Billno-CTO001912018000005",1,236964600,0,0,236964600
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:30/06/2017] , Billno-CTO001912017000005",1,221967000,0,0,221967000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 3 Dt:29/09/2017] , Billno-CTO001912017000013",1,246982000,0,0,246982000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 3 Dt:31/08/2018] , Billno-CTO001912018000010",1,392558000,0,0,392558000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-105-01-S00N-C-N-48-LOANS,"[TRVch# 4 Dt:28/03/2018] , Billno-CTO001912017000027",1,381483000,0,0,381483000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:28/08/2017] , Billno-CTO001912017000008",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 1 Dt:29/05/2018] , Billno-CTO001912018000002",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:27/02/2018] , Billno-CTO001912017000022",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:28/08/2018] , Billno-CTO001912018000008",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:29/05/2017] , Billno-CTO001912017000002",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-10-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:30/11/2017] , Billno-CTO001912017000016",1,17000000,0,0,17000000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-24-S00N-C-N-48-LOANS,"[TRVch# 2 Dt:15/09/2017] , Billno-CTO001912017000011",1,199999000,0,0,199999000
CTO00-191-UNDER SECY.(FIN.& BUDGET) SHIMLA,29-6003-00-109-24-S00N-C-N-48-LOANS,"[TRVch# 3 Dt:15/03/2018] , Billno-CTO001912017000025",1,166666333,0,0,166666333
