DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,Total, ,177,16342848,1450576,322393,14569879
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 131 Dt:19/06/2017] , Billno-HMR005312017100022",1,60000,0,0,60000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 145 Dt:18/09/2017] , Billno-HMR005312017100041",1,60000,0,0,60000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 183 Dt:16/04/2018] , Billno-HMR005312018100001",1,200000,0,0,200000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 2 Dt:01/06/2018] , Billno-HMR005312018100013",1,50000,0,0,50000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 318 Dt:25/07/2018] , Billno-HMR005312018100025",1,150000,0,0,150000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 62 Dt:09/01/2018] , Billno-HMR005312017100081",1,60000,0,0,60000
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,19-2235-60-800-62-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 102 Dt:24/04/2018] , Billno-HMR005312018100004",1,9932,0,0,9932
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,19-2235-60-800-62-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 116 Dt:08/06/2018] , Billno-HMR005312018100014",1,4611,0,0,4611
HMR00-531-DISTT.YOUTH & SPORTS OFFICER HAMIRPUR,19-2235-60-800-62-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 161 Dt:16/03/2018] , Billno-HMR005312017100091",1,10138,0,0,10138
