DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
HMR01-230-GHS BALIAH,Total, ,128,11453367,4258326,548032,6647009
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 134 Dt:21/02/2018] , Billno-HMR012302017100030",1,250000,0,0,250000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 135 Dt:21/02/2018] , Billno-HMR012302017100031",1,200000,0,0,200000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 149 Dt:23/10/2017] , Billno-HMR012302017100020",1,200000,0,0,200000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 163 Dt:20/04/2017] , Billno-HMR012302017100001",1,200000,0,0,200000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 164 Dt:20/04/2017] , Billno-HMR012302017100002",1,400000,0,0,400000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 45 Dt:06/07/2018] , Billno-HMR012302018100004",1,500000,0,0,500000
HMR01-230-GHS BALIAH,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 81 Dt:21/03/2018] , Billno-HMR012302017100043",1,250000,0,0,250000
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1039 Dt:22/05/2018] , Billno-HMR012302018100002",1,900,0,0,900
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1053 Dt:23/10/2017] , Billno-HMR012302017100019",1,6389,0,643,5746
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1057 Dt:23/10/2017] , Billno-HMR012302017100018",1,15099,15099,0,0
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1085 Dt:31/08/2017] , Billno-HMR012302017100010",1,50,0,0,50
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1086 Dt:31/08/2017] , Billno-HMR012302017100011",1,100,0,0,100
HMR01-230-GHS BALIAH,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1157 Dt:31/07/2017] , Billno-HMR012302017100009",1,877,0,86,791
