DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
HMR01-231-HM GHS NALANGAR AT CHANGAR,Total, ,131,7204243,1361046,474142,5369055
HMR01-231-HM GHS NALANGAR AT CHANGAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 271 Dt:30/12/2017] , Billno-HMR012312017100036",1,450000,0,0,450000
HMR01-231-HM GHS NALANGAR AT CHANGAR,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 20 Dt:28/02/2018] , Billno-HMR012312017100046",1,2877,0,0,2877
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1054 Dt:22/05/2018] , Billno-HMR012312018100002",1,24712,0,0,24712
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1055 Dt:22/05/2018] , Billno-HMR012312018100003",1,38421,0,0,38421
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1058 Dt:23/10/2017] , Billno-HMR012312017100026",1,14803,0,1483,13320
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1106 Dt:31/08/2017] , Billno-HMR012312017100021",1,880,0,86,794
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1112 Dt:31/08/2018] , Billno-HMR012312018100013",1,3772,0,0,3772
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1140 Dt:30/01/2018] , Billno-HMR012312017100040",1,8662,0,690,7972
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1166 Dt:31/07/2017] , Billno-HMR012312017100020",1,150,0,0,150
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1415 Dt:31/05/2017] , Billno-HMR012312017100008",1,2040,0,207,1833
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2097 Dt:26/03/2018] , Billno-HMR012312017100051",1,91889,0,5,91884
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2101 Dt:26/03/2018] , Billno-HMR012312017100056",1,5406,0,0,5406
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 317 Dt:10/04/2017] , Billno-HMR01231032017-001",1,32220,0,3074,29146
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 318 Dt:10/04/2017] , Billno-HMR01231032017-002",1,123715,0,10386,113329
HMR01-231-HM GHS NALANGAR AT CHANGAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 329 Dt:10/01/2018] , Billno-HMR01231122017-001",1,136828,0,10054,126774
