DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
HMR02-002-PRINCIPAL ITI NADAUN,Total, ,218,23529063,4187052,1167831,18174180
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 55 Dt:06/12/2017] , Billno-HMR020022017100108",1,60000,0,0,60000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 113 Dt:07/05/2018] , Billno-HMR020022018100007",1,500000,0,0,500000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 120 Dt:09/05/2017] , Billno-HMR020022017100006",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 170 Dt:23/10/2017] , Billno-HMR020022017100083",1,700000,0,0,700000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 171 Dt:23/10/2017] , Billno-HMR020022017100082",1,850000,0,0,850000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 178 Dt:23/10/2017] , Billno-HMR020022017100084",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 224 Dt:21/04/2018] , Billno-HMR020022018100003",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 234 Dt:21/04/2018] , Billno-HMR020022018100002",1,500000,0,0,500000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 258 Dt:23/07/2018] , Billno-HMR020022018100056",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 392 Dt:31/07/2018] , Billno-HMR020022018100063",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 465 Dt:29/04/2017] , Billno-HMR020022017100004",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 466 Dt:29/04/2017] , Billno-HMR020022017100005",1,200000,0,0,200000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 54 Dt:06/06/2018] , Billno-HMR020022018100038",1,100000,0,0,100000
HMR02-002-PRINCIPAL ITI NADAUN,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 55 Dt:06/06/2018] , Billno-HMR020022018100039",1,600000,0,0,600000
HMR02-002-PRINCIPAL ITI NADAUN,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 11 Dt:10/11/2017] , Billno-HMR020022017100093",1,16918,0,0,16918
HMR02-002-PRINCIPAL ITI NADAUN,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 16 Dt:21/03/2018] , Billno-HMR020022017100158",1,43235,0,0,43235
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 1041 Dt:31/03/2018] , Billno-HMR020022017100195",1,2165,0,0,2165
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 227 Dt:21/02/2018] , Billno-HMR020022017100147",1,3925,0,0,3925
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 228 Dt:21/02/2018] , Billno-HMR020022017100063",1,7706,0,0,7706
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 230 Dt:21/02/2018] , Billno-HMR020022017100150",1,39002,0,0,39002
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 312 Dt:31/07/2018] , Billno-HMR020022018100065",1,2035,0,0,2035
HMR02-002-PRINCIPAL ITI NADAUN,19-2235-60-800-11-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 76 Dt:06/07/2018] , Billno-HMR020022018100048",1,13335,0,0,13335
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 13 Dt:07/04/2018] , Billno-HMR02002032018-001",1,40630,0,3795,36835
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 14 Dt:07/04/2018] , Billno-HMR02002032018-002",1,401788,191000,240,210548
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 14 Dt:10/04/2017] , Billno-HMR02002032017-001",1,36046,0,3491,32555
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:07/04/2018] , Billno-HMR02002032018-003",1,273833,0,28768,245065
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 15 Dt:10/04/2017] , Billno-HMR02002032017-002",1,558357,249000,360,308997
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 16 Dt:10/04/2017] , Billno-HMR02002032017-003",1,181009,0,18040,162969
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 164 Dt:31/03/2018] , Billno-HMR020022017100169",1,21598,0,1259,20339
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 165 Dt:31/03/2018] , Billno-HMR020022017100170",1,391659,279646,72821,39192
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 166 Dt:31/03/2018] , Billno-HMR020022017100177",1,2782,0,143,2639
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 167 Dt:31/03/2018] , Billno-HMR020022017100178",1,2838,0,282,2556
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 168 Dt:31/03/2018] , Billno-HMR020022017100179",1,32417,27581,0,4836
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 169 Dt:31/03/2018] , Billno-HMR020022017100180",1,18310,0,1832,16478
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 17 Dt:10/10/2017] , Billno-HMR02002092017-001",1,38896,0,4748,34148
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 172 Dt:31/03/2018] , Billno-HMR020022017100194",1,190141,0,21943,168198
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 18 Dt:10/10/2017] , Billno-HMR02002092017-002",1,444636,212000,24800,207836
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:08/06/2017] , Billno-HMR02002052017-001",1,36505,0,3579,32926
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 19 Dt:10/10/2017] , Billno-HMR02002092017-003",1,270549,0,37980,232569
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:08/06/2017] , Billno-HMR02002052017-002",1,422938,202000,20500,200438
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:09/05/2017] , Billno-HMR02002042017-001",1,36505,0,3579,32926
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 20 Dt:10/08/2017] , Billno-HMR02002072017-001",1,37586,0,3685,33901
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:06/07/2018] , Billno-HMR02002062018-001",1,93002,40000,10060,42942
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:08/06/2017] , Billno-HMR02002052017-003",1,247374,0,34791,212583
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:08/09/2017] , Billno-HMR02002082017-001",1,38216,0,4685,33531
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:09/05/2017] , Billno-HMR02002042017-002",1,486220,223000,24530,238690
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 21 Dt:10/08/2017] , Billno-HMR02002072017-002",1,426284,202000,23500,200784
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:06/07/2018] , Billno-HMR02002062018-002",1,459790,228000,22200,209590
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:08/09/2017] , Billno-HMR02002082017-002",1,435187,202000,24500,208687
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:09/05/2017] , Billno-HMR02002042017-003",1,247374,0,34791,212583
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 22 Dt:10/08/2017] , Billno-HMR02002072017-003",1,246824,0,35179,211645
HMR02-002-PRINCIPAL ITI NADAUN,27-2230-03-003-05-S00N-V-N-01-SALARIES,"[TRVch# 23 Dt:06/07/2018] , Billno-HMR02002062018-003",1,231126,0,35025,196101
