DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",Total, ,31,1067841,0,0,1067841
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 12 Dt:10/07/2017] , Billno-HMR026340300173555",1,25000,0,0,25000
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 35 Dt:19/08/2017] , Billno-HMR026340316122318",1,2117,0,0,2117
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 40 Dt:21/12/2017] , Billno-HMR026340316122324",1,8707,0,0,8707
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 48 Dt:21/03/2018] , Billno-HMR026340316122331",1,14542,0,0,14542
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 49 Dt:22/01/2018] , Billno-HMR026340316122327",1,27896,0,0,27896
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 50 Dt:21/06/2018] , Billno-HMR026340316122335",1,23373,0,0,23373
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 52 Dt:22/05/2018] , Billno-HMR026340316122333",1,20000,0,0,20000
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 59 Dt:31/07/2018] , Billno-HMR026340316122338",1,27925,0,0,27925
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 60 Dt:30/12/2017] , Billno-HMR026340316122325",1,2116,0,0,2116
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 60 Dt:31/07/2018] , Billno-HMR026340316122339",1,6215,0,0,6215
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 61 Dt:30/12/2017] , Billno-HMR026340316122326",1,12372,0,0,12372
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 65 Dt:31/08/2018] , Billno-HMR026340316122340",1,126908,0,0,126908
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:30/11/2017] , Billno-HMR026340316122323",1,37868,0,0,37868
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 68 Dt:29/04/2017] , Billno-HMR026340316122313",1,13167,0,0,13167
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 69 Dt:31/05/2017] , Billno-HMR026340316122314",1,10756,0,0,10756
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 70 Dt:31/10/2017] , Billno-HMR026340316122321",1,55198,0,0,55198
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 71 Dt:29/05/2018] , Billno-HMR026340316122334",1,37123,0,0,37123
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 71 Dt:31/10/2017] , Billno-HMR026340316122322",1,2544,0,0,2544
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 73 Dt:29/09/2017] , Billno-HMR026340316122320",1,71298,0,0,71298
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 73 Dt:30/01/2018] , Billno-HMR026340316122328",1,10434,0,0,10434
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 77 Dt:31/07/2017] , Billno-HMR026340316122317",1,52439,0,0,52439
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 78 Dt:31/07/2017] , Billno-HMR026340300173556",1,6000,0,0,6000
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 78 Dt:31/08/2017] , Billno-HMR026340300173557",1,8300,0,0,8300
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 79 Dt:31/08/2017] , Billno-HMR026340316122319",1,61085,0,0,61085
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 82 Dt:30/06/2017] , Billno-HMR026340316122315",1,24624,0,0,24624
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:30/06/2017] , Billno-HMR026340316122316",1,3530,0,0,3530
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:30/06/2018] , Billno-HMR026340316122336",1,121896,0,0,121896
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 84 Dt:28/02/2018] , Billno-HMR026340316122329",1,2229,0,0,2229
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 84 Dt:30/06/2018] , Billno-HMR026340316122337",1,4458,0,0,4458
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 85 Dt:28/02/2018] , Billno-HMR026340316122330",1,29806,0,0,29806
"HMR02-634-E.E. PWD DIVISION,HAMIRPUR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 89 Dt:26/03/2018] , Billno-HMR026340316122332",1,217915,0,0,217915
