DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
HMR04-201-BEEO BHORANJ,Total, ,545,313063620,71884599,11810045,229368976
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 10 Dt:10/04/2017] , Billno-HMR042012017100003",1,400000,0,0,400000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 100 Dt:07/05/2018] , Billno-HMR042012018100045",1,150000,0,0,150000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 102 Dt:10/01/2018] , Billno-HMR042012017100288",1,300000,0,0,300000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 11 Dt:10/04/2017] , Billno-HMR042012017100004",1,700000,0,0,700000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 111 Dt:10/01/2018] , Billno-HMR042012017100297",1,150000,0,0,150000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 112 Dt:10/01/2018] , Billno-HMR042012017100298",1,100000,0,0,100000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 12 Dt:10/04/2017] , Billno-HMR042012017100005",1,400000,0,0,400000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 13 Dt:10/04/2017] , Billno-HMR042012017100006",1,300000,0,0,300000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 146 Dt:09/05/2017] , Billno-HMR042012017100039",1,300000,0,0,300000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 147 Dt:09/05/2017] , Billno-HMR042012017100038",1,300000,0,0,300000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 148 Dt:09/05/2017] , Billno-HMR042012017100041",1,235000,0,0,235000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 152 Dt:21/02/2018] , Billno-HMR042012017100316",1,2145829,0,0,2145829
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 158 Dt:21/02/2018] , Billno-HMR042012017100349",1,190000,0,0,190000
HMR04-201-BEEO BHORANJ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 164 Dt:21/11/2017] , Billno-HMR042012017100236",1,120000,0,0,120000
