DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"HMR04-637-E.E. PWD DIVISION, BARSAR",Total, ,19,1108019,0,703870,404149
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 188 Dt:31/03/2018] , Billno-HMR046370216144419",1,11529,0,0,11529
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 189 Dt:31/03/2018] , Billno-HMR046370216144420",1,60507,0,0,60507
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 19 Dt:09/02/2018] , Billno-HMR046370216144416",1,6205,0,0,6205
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 21 Dt:09/05/2017] , Billno-HMR046371758782001",1,334280,0,334280,0
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 42 Dt:21/06/2018] , Billno-HMR046371868782003",1,16000,0,16000,0
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 53 Dt:20/06/2017] , Billno-HMR046370216144408",1,31398,0,0,31398
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 54 Dt:22/01/2018] , Billno-HMR046371718782003",1,353590,0,353590,0
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:30/06/2018] , Billno-HMR046370218112402",1,29673,0,0,29673
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:30/12/2017] , Billno-HMR046370216144414",1,38580,0,0,38580
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 67 Dt:31/08/2018] , Billno-HMR046370218112403",1,14558,0,0,14558
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 71 Dt:30/11/2017] , Billno-HMR046370216144413",1,36737,0,0,36737
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 76 Dt:29/05/2018] , Billno-HMR046370218112401",1,29944,0,0,29944
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 76 Dt:30/01/2018] , Billno-HMR046370216144415",1,19196,0,0,19196
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 80 Dt:29/09/2017] , Billno-HMR046370216144412",1,21272,0,0,21272
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:31/07/2017] , Billno-HMR046370216144410",1,20225,0,0,20225
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 85 Dt:31/08/2017] , Billno-HMR046370216144411",1,27089,0,0,27089
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 86 Dt:30/06/2017] , Billno-HMR046370216144409",1,18265,0,0,18265
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 91 Dt:28/02/2018] , Billno-HMR046370216144417",1,27398,0,0,27398
"HMR04-637-E.E. PWD DIVISION, BARSAR",00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 94 Dt:26/03/2018] , Billno-HMR046370216144418",1,11573,0,0,11573
