DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",Total, ,103,12457130,459500,215269,11782361
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KLU00531032017-001",1,41852,20000,30,21822
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KLU00531032017-002",1,100475,0,4721,95754
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/05/2017] , Billno-KLU00531042017-001",1,42381,25000,30,17351
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/05/2017] , Billno-KLU00531042017-002",1,103076,0,4788,98288
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 7 Dt:26/05/2017] , Billno-KLU005312017000001",1,215002,0,0,215002
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/06/2017] , Billno-KLU00531052017-001",1,42381,25000,30,17351
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 10 Dt:14/06/2017] , Billno-KLU005312017100002",1,4593,0,423,4170
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 11 Dt:14/06/2017] , Billno-KLU005312017100001",1,5195,5195,0,0
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:01/06/2017] , Billno-KLU00531052017-002",1,103076,0,4788,98288
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 21 Dt:29/06/2017] , Billno-KLU005312017100011",1,880,0,0,880
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 7 Dt:13/06/2017] , Billno-KLU005312017100006",1,7448,0,0,7448
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 8 Dt:13/06/2017] , Billno-KLU005312017100007",1,1362,0,0,1362
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 9 Dt:13/06/2017] , Billno-KLU005312017100009",1,1066,0,0,1066
"KLU00-531-DISTT YOUTH SER &SPORTS KULLU,",30-2204-00-001-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:01/07/2017] , Billno-KLU00531062017-001",1,42381,25000,30,17351
