DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU00-626-E.E. HPPWD.DIVISION BANJAR,Total, ,86,26327034,2931105,2241324,21154605
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 101 Dt:28/12/2017] , Billno-KLU0062617B8782101",1,4937,0,4937,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 11 Dt:07/03/2018] , Billno-KLU006260217101230",1,130903,0,0,130903
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 12 Dt:06/01/2018] , Billno-KLU006260217101222",1,99578,0,0,99578
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 14 Dt:04/08/2017] , Billno-KLU006260217101208",1,379502,0,0,379502
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 19 Dt:06/05/2017] , Billno-KLU006260217101201",1,114802,0,0,114802
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 196 Dt:29/03/2018] , Billno-KLU006260217101236",1,45811,0,0,45811
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 2 Dt:01/11/2017] , Billno-KLU006260217101215",1,460692,0,0,460692
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 2 Dt:04/07/2018] , Billno-KLU006260218103005",1,185056,0,0,185056
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 20 Dt:07/11/2017] , Billno-KLU006260217101216",1,53672,0,0,53672
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 21 Dt:05/08/2017] , Billno-KLU006261788782021",1,57435,0,57435,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 21 Dt:08/06/2017] , Billno-KLU006260217101205",1,12485,0,0,12485
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 22 Dt:11/01/2018] , Billno-KLU006261718782022",1,2091,0,2091,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 23 Dt:11/01/2018] , Billno-KLU006261718782023",1,100000,0,100000,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 24 Dt:12/12/2017] , Billno-KLU006260217101219",1,7498,0,0,7498
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 27 Dt:16/08/2018] , Billno-KLU006260218103009",1,277449,0,0,277449
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 270 Dt:31/03/2018] , Billno-KLU006260217101238",1,27945,0,0,27945
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 271 Dt:31/03/2018] , Billno-KLU006260217101237",1,172104,0,0,172104
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 28 Dt:19/06/2018] , Billno-KLU006260218103003",1,40858,0,0,40858
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 30 Dt:13/03/2018] , Billno-KLU006260217101231",1,149993,0,0,149993
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 30 Dt:26/04/2018] , Billno-KLU006260218103001",1,96396,0,0,96396
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 32 Dt:19/06/2018] , Billno-KLU006261868782032",1,377294,0,377294,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 33 Dt:13/03/2018] , Billno-KLU006261738782033",1,10000,0,10000,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 33 Dt:19/06/2018] , Billno-KLU006261868782033",1,282044,0,282044,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 34 Dt:14/08/2017] , Billno-KLU006260217101209",1,62956,0,0,62956
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 36 Dt:16/07/2018] , Billno-KLU006260218103007",1,131798,0,0,131798
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 36 Dt:17/01/2018] , Billno-KLU006260217101223",1,9097,0,0,9097
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 38 Dt:15/03/2018] , Billno-KLU006260217101232",1,27121,0,0,27121
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 40 Dt:17/01/2018] , Billno-KLU006261718782040",1,10000,0,10000,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 41 Dt:17/01/2018] , Billno-KLU006261718782041",1,172033,0,172033,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 42 Dt:16/02/2018] , Billno-KLU006260200159433",1,9500,0,0,9500
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 45 Dt:16/02/2018] , Billno-KLU006260217101226",1,26039,0,0,26039
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 45 Dt:18/08/2017] , Billno-KLU006260200159428",1,5000,0,0,5000
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 46 Dt:20/11/2017] , Billno-KLU006260217101217",1,8078,0,0,8078
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 49 Dt:17/03/2018] , Billno-KLU006260217101233",1,331975,0,0,331975
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 51 Dt:20/09/2017] , Billno-KLU006260217101211",1,460296,0,0,460296
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 53 Dt:19/08/2017] , Billno-KLU006260217101210",1,43950,0,0,43950
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 53 Dt:20/02/2018] , Billno-KLU006260217101227",1,24152,0,0,24152
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 57 Dt:19/03/2018] , Billno-KLU006260217101234",1,144616,0,0,144616
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 60 Dt:21/06/2017] , Billno-KLU006260217101206",1,428844,0,0,428844
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 61 Dt:24/05/2018] , Billno-KLU006260218103002",1,194759,0,0,194759
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:23/11/2017] , Billno-KLU006260217101218",1,72335,0,0,72335
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:24/07/2018] , Billno-KLU006260218103008",1,3223,0,0,3223
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 67 Dt:20/05/2017] , Billno-KLU006260217101202",1,105035,0,0,105035
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 67 Dt:21/06/2017] , Billno-KLU006261768782067",1,68750,0,68750,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 68 Dt:21/06/2017] , Billno-KLU006261768782068",1,8364,0,8364,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 68 Dt:21/12/2017] , Billno-KLU0062617B8782068",1,340137,0,340137,0
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 68 Dt:22/02/2018] , Billno-KLU006260217101228",1,16500,0,0,16500
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 7 Dt:05/02/2018] , Billno-KLU006260217101225",1,31908,0,0,31908
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 7 Dt:05/07/2018] , Billno-KLU006260218103006",1,346240,0,0,346240
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 70 Dt:23/05/2017] , Billno-KLU006260217101203",1,5606,0,0,5606
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 71 Dt:23/10/2017] , Billno-KLU006260217101213",1,28544,0,0,28544
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 71 Dt:29/06/2018] , Billno-KLU006260218103004",1,481829,0,0,481829
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 72 Dt:25/09/2017] , Billno-KLU006260217101212",1,110677,0,0,110677
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 74 Dt:22/02/2018] , Billno-KLU006260200159434",1,3175,0,0,3175
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 77 Dt:22/12/2017] , Billno-KLU006260200159429",1,9500,0,0,9500
KLU00-626-E.E. HPPWD.DIVISION BANJAR,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 78 Dt:22/12/2017] , Billno-KLU006260217101220",1,430201,0,0,430201
