DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,Total, ,323,25210061,2056168,713433,22440460
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 507 Dt:29/04/2017] , Billno-KLU010082017100003",1,300000,0,0,300000
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 55 Dt:06/04/2017] , Billno-KLU01008032017-001",1,42767,15000,30,27737
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-02-001-02-S00N-V-N-01-SALARIES,"[TRVch# 56 Dt:06/04/2017] , Billno-KLU01008032017-002",1,50519,0,3746,46773
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-02-001-02-S00N-V-N-02-WAGES,"[TRVch# 131 Dt:29/04/2017] , Billno-KLU010082017100001",1,96800,0,0,96800
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 57 Dt:06/04/2017] , Billno-KLU01008032017-003",1,255788,90000,18240,147548
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 58 Dt:06/04/2017] , Billno-KLU01008032017-004",1,88796,0,0,88796
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 59 Dt:06/04/2017] , Billno-KLU01008032017-005",1,117566,55000,1575,60991
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-01-SALARIES,"[TRVch# 60 Dt:06/04/2017] , Billno-KLU01008032017-006",1,80719,0,5486,75233
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 132 Dt:29/04/2017] , Billno-KLU010082017100004",1,6686,0,0,6686
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 134 Dt:29/04/2017] , Billno-KLU010082017100006",1,21145,0,0,21145
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,09-2210-04-101-02-S00N-V-N-33-MATERIAL AND SUPPLY,"[TRVch# 133 Dt:29/04/2017] , Billno-KLU010082017100005",1,9200,0,0,9200
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,15-2210-04-101-02-S00B-V-N-01-SALARIES,"[TRVch# 61 Dt:06/04/2017] , Billno-KLU01008032017-007",1,43250,0,0,43250
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,15-2210-04-101-02-S00B-V-N-01-SALARIES,"[TRVch# 62 Dt:06/04/2017] , Billno-KLU01008032017-008",1,27770,10000,15,17755
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,15-2210-04-101-02-S00B-V-N-01-SALARIES,"[TRVch# 63 Dt:06/04/2017] , Billno-KLU01008032017-009",1,98705,0,7265,91440
KLU01-008-SUB DIV AYURVEDA OFFICER BANJAR,32-2210-04-789-01-S00N-V-P-01-SALARIES,"[TRVch# 64 Dt:06/04/2017] , Billno-KLU01008032017-010",1,45129,0,36,45093
