DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU01-214-PRINCIPAL GSSS SHANGHAR,Total, ,145,9691278,1559116,469759,7662403
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 287 Dt:06/04/2017] , Billno-KLU01214032017-001",1,58502,7000,251,51251
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 288 Dt:06/04/2017] , Billno-KLU01214032017-002",1,105039,0,3271,101768
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 289 Dt:06/04/2017] , Billno-KLU01214032017-003",1,75777,45000,60,30717
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 290 Dt:06/04/2017] , Billno-KLU01214032017-004",1,97259,24000,60,73199
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 291 Dt:06/04/2017] , Billno-KLU01214032017-005",1,36288,0,3483,32805
KLU01-214-PRINCIPAL GSSS SHANGHAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 112 Dt:08/05/2017] , Billno-KLU012142017100006",1,80000,0,0,80000
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 792 Dt:08/05/2017] , Billno-KLU01214042017-001",1,59241,7000,251,51990
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 793 Dt:08/05/2017] , Billno-KLU01214042017-002",1,109625,0,3300,106325
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 860 Dt:08/05/2017] , Billno-KLU012142017100001",1,6519,6519,0,0
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 861 Dt:08/05/2017] , Billno-KLU012142017100002",1,2565,0,260,2305
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 794 Dt:08/05/2017] , Billno-KLU01214042017-003",1,76737,45000,4120,27617
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 795 Dt:08/05/2017] , Billno-KLU01214042017-004",1,100554,24000,60,76494
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 796 Dt:08/05/2017] , Billno-KLU01214042017-005",1,36744,0,3528,33216
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 862 Dt:08/05/2017] , Billno-KLU012142017100003",1,8466,8466,0,0
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 863 Dt:08/05/2017] , Billno-KLU012142017100004",1,11003,11003,0,0
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 864 Dt:08/05/2017] , Billno-KLU012142017100005",1,4065,0,408,3657
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 404 Dt:07/06/2017] , Billno-KLU01214052017-002",1,109625,0,3300,106325
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 405 Dt:07/06/2017] , Billno-KLU01214052017-001",1,59241,7000,251,51990
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 406 Dt:07/06/2017] , Billno-KLU01214052017-003",1,76737,45000,4120,27617
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 407 Dt:07/06/2017] , Billno-KLU01214052017-004",1,71756,20000,30,51726
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 408 Dt:07/06/2017] , Billno-KLU01214052017-005",1,36744,0,3528,33216
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 865 Dt:17/06/2017] , Billno-KLU012142017100007",1,40791,0,15,40776
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 866 Dt:17/06/2017] , Billno-KLU012142017100008",1,256084,80000,16200,159884
KLU01-214-PRINCIPAL GSSS SHANGHAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 363 Dt:07/07/2017] , Billno-KLU01214062017-001",1,59241,7000,251,51990
