DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU02-207-GHS KOTHI,Total, ,168,10154714,1433105,531381,8190228
KLU02-207-GHS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 386 Dt:26/04/2017] , Billno-KLU022072017100001",1,300000,0,0,300000
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 361 Dt:06/04/2017] , Billno-KLU02207032017-001",1,94148,24000,39,70109
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 362 Dt:06/04/2017] , Billno-KLU02207032017-002",1,39596,0,2837,36759
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 363 Dt:06/04/2017] , Billno-KLU02207032017-003",1,97299,0,0,97299
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 364 Dt:06/04/2017] , Billno-KLU02207032017-004",1,75824,22000,60,53764
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 365 Dt:06/04/2017] , Billno-KLU02207032017-005",1,53908,18000,30,35878
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 366 Dt:06/04/2017] , Billno-KLU02207032017-006",1,37355,0,3580,33775
KLU02-207-GHS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 368 Dt:31/05/2017] , Billno-KLU022072017100013",1,400000,0,0,400000
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1432 Dt:31/05/2017] , Billno-KLU022072017100003",1,9063,6803,0,2260
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1433 Dt:31/05/2017] , Billno-KLU022072017100004",1,2601,0,261,2340
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 459 Dt:08/05/2017] , Billno-KLU02207042017-001",1,95338,29000,4060,62278
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 460 Dt:08/05/2017] , Billno-KLU02207042017-002",1,40790,0,2866,37924
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 461 Dt:08/05/2017] , Billno-KLU02207042017-003",1,102199,0,0,102199
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 536 Dt:08/05/2017] , Billno-KLU022072017100009",1,6300,0,0,6300
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1431 Dt:31/05/2017] , Billno-KLU022072017100002",1,3140,959,0,2181
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1434 Dt:31/05/2017] , Billno-KLU022072017100005",1,7476,7476,0,0
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1435 Dt:31/05/2017] , Billno-KLU022072017100006",1,6109,6109,0,0
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1436 Dt:31/05/2017] , Billno-KLU022072017100007",1,4179,0,420,3759
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 462 Dt:08/05/2017] , Billno-KLU02207042017-004",1,76783,22000,6060,48723
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 463 Dt:08/05/2017] , Billno-KLU02207042017-005",1,54589,25000,1560,28029
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 464 Dt:08/05/2017] , Billno-KLU02207042017-006",1,37824,0,3627,34197
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1504 Dt:31/05/2017] , Billno-KLU022072017100010",1,5719,0,0,5719
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1506 Dt:31/05/2017] , Billno-KLU022072017100012",1,6129,0,0,6129
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,"[TRVch# 1503 Dt:31/05/2017] , Billno-KLU022072017100008",1,2526,0,0,2526
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,"[TRVch# 1505 Dt:31/05/2017] , Billno-KLU022072017100011",1,1606,0,0,1606
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 479 Dt:07/06/2017] , Billno-KLU02207052017-001",1,74625,0,2896,71729
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 480 Dt:07/06/2017] , Billno-KLU02207052017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 895 Dt:17/06/2017] , Billno-KLU022072017100016",1,6510,0,0,6510
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 893 Dt:17/06/2017] , Billno-KLU022072017100014",1,2242,0,0,2242
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 481 Dt:07/06/2017] , Billno-KLU02207052017-003",1,76783,22000,6060,48723
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 482 Dt:07/06/2017] , Billno-KLU02207052017-004",1,116092,54000,5590,56502
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 483 Dt:07/06/2017] , Billno-KLU02207052017-005",1,145913,0,8762,137151
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 877 Dt:17/06/2017] , Billno-KLU022072017100017",1,4019,0,9,4010
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 894 Dt:17/06/2017] , Billno-KLU022072017100015",1,648,0,0,648
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 453 Dt:07/07/2017] , Billno-KLU02207062017-001",1,74625,0,6093,68532
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 454 Dt:07/07/2017] , Billno-KLU02207062017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 891 Dt:21/07/2017] , Billno-KLU022072017100018",1,6300,0,0,6300
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1033 Dt:31/07/2017] , Billno-KLU022072017100021",1,4500,0,0,4500
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 892 Dt:21/07/2017] , Billno-KLU022072017100019",1,9000,0,0,9000
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1034 Dt:31/07/2017] , Billno-KLU022072017100020",1,17256,0,0,17256
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 455 Dt:07/07/2017] , Billno-KLU02207062017-003",1,76783,22000,6060,48723
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 456 Dt:07/07/2017] , Billno-KLU02207062017-004",1,116092,54000,5590,56502
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 457 Dt:07/07/2017] , Billno-KLU02207062017-005",1,149408,0,8762,140646
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 307 Dt:05/08/2017] , Billno-KLU02207072017-001",1,80409,0,9958,70451
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 308 Dt:05/08/2017] , Billno-KLU02207072017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 415 Dt:05/08/2017] , Billno-KLU022072017100024",1,6510,0,0,6510
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 413 Dt:05/08/2017] , Billno-KLU022072017100022",1,1065,0,0,1065
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 414 Dt:05/08/2017] , Billno-KLU022072017100023",1,2500,0,0,2500
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 416 Dt:05/08/2017] , Billno-KLU022072017100025",1,4500,0,0,4500
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 954 Dt:31/08/2017] , Billno-KLU022072017100026",1,2700,0,0,2700
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 309 Dt:05/08/2017] , Billno-KLU02207072017-003",1,76783,22000,6060,48723
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 310 Dt:05/08/2017] , Billno-KLU02207072017-004",1,117713,54000,5590,58123
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 311 Dt:05/08/2017] , Billno-KLU02207072017-005",1,149408,0,13293,136115
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 313 Dt:05/09/2017] , Billno-KLU02207082017-001",1,81555,0,9958,71597
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 314 Dt:05/09/2017] , Billno-KLU02207082017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 393 Dt:05/09/2017] , Billno-KLU022072017100027",1,6510,0,0,6510
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 928 Dt:26/09/2017] , Billno-KLU022072017100029",1,5850,0,0,5850
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 315 Dt:05/09/2017] , Billno-KLU02207082017-003",1,78112,22000,6060,50052
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 316 Dt:05/09/2017] , Billno-KLU02207082017-004",1,121477,54000,5590,61887
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 317 Dt:05/09/2017] , Billno-KLU02207082017-005",1,118683,0,16366,102317
KLU02-207-GHS KOTHI,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 246 Dt:31/10/2017] , Billno-KLU022072017100039",1,500000,0,0,500000
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1368 Dt:31/10/2017] , Billno-KLU022072017100034",1,8368,0,832,7536
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 537 Dt:09/10/2017] , Billno-KLU02207092017-001",1,82601,0,10063,72538
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 538 Dt:09/10/2017] , Billno-KLU02207092017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1348 Dt:31/10/2017] , Billno-KLU022072017100035",1,6300,0,0,6300
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1472 Dt:31/10/2017] , Billno-KLU022072017100037",1,7146,0,0,7146
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,"[TRVch# 1473 Dt:31/10/2017] , Billno-KLU022072017100038",1,2059,0,0,2059
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1365 Dt:31/10/2017] , Billno-KLU022072017100031",1,10195,10195,0,0
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1366 Dt:31/10/2017] , Billno-KLU022072017100032",1,15764,15764,0,0
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1367 Dt:31/10/2017] , Billno-KLU022072017100033",1,13320,0,1338,11982
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 539 Dt:09/10/2017] , Billno-KLU02207092017-003",1,79391,22000,6060,51331
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 540 Dt:09/10/2017] , Billno-KLU02207092017-004",1,123472,54000,5590,63882
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 541 Dt:09/10/2017] , Billno-KLU02207092017-005",1,136503,0,13845,122658
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 484 Dt:06/11/2017] , Billno-KLU02207102017-001",1,85807,0,10371,75436
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 485 Dt:06/11/2017] , Billno-KLU02207102017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1054 Dt:30/11/2017] , Billno-KLU022072017100043",1,6510,0,0,6510
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 1053 Dt:30/11/2017] , Billno-KLU022072017100042",1,518,0,0,518
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1052 Dt:30/11/2017] , Billno-KLU022072017100041",1,980,0,0,980
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 486 Dt:06/11/2017] , Billno-KLU02207102017-003",1,79391,22000,6060,51331
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 487 Dt:06/11/2017] , Billno-KLU02207102017-004",1,123472,54000,5590,63882
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 488 Dt:06/11/2017] , Billno-KLU02207102017-005",1,137644,0,11908,125736
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 1051 Dt:30/11/2017] , Billno-KLU022072017100040",1,5615,0,0,5615
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 312 Dt:05/12/2017] , Billno-KLU02207112017-001",1,85807,0,10611,75196
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 313 Dt:05/12/2017] , Billno-KLU02207112017-002",1,84274,0,400,83874
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 782 Dt:19/12/2017] , Billno-KLU022072017100044",1,6300,0,80,6220
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 928 Dt:30/12/2017] , Billno-KLU022072017100045",1,17550,0,0,17550
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 314 Dt:05/12/2017] , Billno-KLU02207112017-003",1,79391,22000,6140,51251
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 315 Dt:05/12/2017] , Billno-KLU02207112017-004",1,123472,54000,5750,63722
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 316 Dt:05/12/2017] , Billno-KLU02207112017-005",1,137644,0,13308,124336
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 483 Dt:09/01/2018] , Billno-KLU02207122017-001",1,86586,0,10441,76145
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 484 Dt:09/01/2018] , Billno-KLU02207122017-002",1,84274,0,0,84274
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 581 Dt:09/01/2018] , Billno-KLU022072017100046",1,6510,0,0,6510
KLU02-207-GHS KOTHI,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 580 Dt:09/01/2018] , Billno-KLU022072017100047",1,7020,0,0,7020
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 485 Dt:09/01/2018] , Billno-KLU02207122017-003",1,79391,22000,6060,51331
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 486 Dt:09/01/2018] , Billno-KLU02207122017-004",1,123472,54000,5590,63882
KLU02-207-GHS KOTHI,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 487 Dt:09/01/2018] , Billno-KLU02207122017-005",1,139102,0,13048,126054
KLU02-207-GHS KOTHI,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1255 Dt:23/02/2018] , Billno-KLU022072017100049",1,4833,0,481,4352
