DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU02-210-GSSS KHANAG,Total, ,141,12647260,2583088,465988,9598184
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 378 Dt:06/04/2017] , Billno-KLU02210032017-001",1,32225,0,0,32225
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 379 Dt:06/04/2017] , Billno-KLU02210032017-002",1,15910,0,0,15910
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 380 Dt:06/04/2017] , Billno-KLU02210032017-003",1,16951,0,0,16951
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 381 Dt:06/04/2017] , Billno-KLU02210032017-004",1,56782,20000,120,36662
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 382 Dt:06/04/2017] , Billno-KLU02210032017-005",1,199783,75000,4377,120406
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 383 Dt:06/04/2017] , Billno-KLU02210032017-006",1,34004,0,0,34004
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 476 Dt:08/05/2017] , Billno-KLU02210042017-001",1,68386,0,0,68386
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1529 Dt:31/05/2017] , Billno-KLU022102017100001",1,6393,6393,0,0
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1530 Dt:31/05/2017] , Billno-KLU022102017100002",1,20799,16884,396,3519
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 477 Dt:08/05/2017] , Billno-KLU02210042017-002",1,57497,20000,2120,35377
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:08/05/2017] , Billno-KLU02210042017-003",1,240134,65000,11563,163571
KLU02-210-GSSS KHANAG,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 293 Dt:30/06/2017] , Billno-KLU022102017100008",1,230000,0,0,230000
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 496 Dt:07/06/2017] , Billno-KLU02210052017-001",1,68386,0,0,68386
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 497 Dt:07/06/2017] , Billno-KLU02210052017-002",1,14162,0,5,14157
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 498 Dt:07/06/2017] , Billno-KLU02210052017-003",1,57497,20000,2120,35377
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 499 Dt:07/06/2017] , Billno-KLU02210052017-004",1,240983,70000,11563,159420
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 500 Dt:07/06/2017] , Billno-KLU02210052017-005",1,26809,0,10,26799
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 470 Dt:07/07/2017] , Billno-KLU02210062017-001",1,95358,0,18,95340
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 471 Dt:07/07/2017] , Billno-KLU02210062017-002",1,15680,0,5,15675
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 911 Dt:21/07/2017] , Billno-KLU022102017100006",1,22615,0,0,22615
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 472 Dt:07/07/2017] , Billno-KLU02210062017-003",1,15680,0,5,15675
KLU02-210-GSSS KHANAG,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 925 Dt:21/07/2017] , Billno-KLU022102017100009",1,27000,0,0,27000
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 473 Dt:07/07/2017] , Billno-KLU02210062017-004",1,57497,25000,2120,30377
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 474 Dt:07/07/2017] , Billno-KLU02210062017-005",1,296794,95000,12593,189201
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 475 Dt:07/07/2017] , Billno-KLU02210062017-006",1,31360,0,10,31350
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 910 Dt:21/07/2017] , Billno-KLU022102017100004",1,50,0,0,50
KLU02-210-GSSS KHANAG,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 35 Dt:31/08/2017] , Billno-KLU022102017100014",1,2581,0,0,2581
KLU02-210-GSSS KHANAG,00-8011-00-107-02-S00N-V-N-00- ,"[TRVch# 36 Dt:31/08/2017] , Billno-KLU022102017100010",1,10500,0,0,10500
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 325 Dt:05/08/2017] , Billno-KLU02210072017-001",1,100000,0,18,99982
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 326 Dt:05/08/2017] , Billno-KLU02210072017-002",1,15680,0,5,15675
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 327 Dt:05/08/2017] , Billno-KLU02210072017-003",1,15680,0,1431,14249
KLU02-210-GSSS KHANAG,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 953 Dt:31/08/2017] , Billno-KLU022102017100013",1,4500,0,0,4500
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 328 Dt:05/08/2017] , Billno-KLU02210072017-004",1,57497,25000,2120,30377
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 329 Dt:05/08/2017] , Billno-KLU02210072017-005",1,297177,95000,12593,189584
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 330 Dt:05/08/2017] , Billno-KLU02210072017-006",1,31360,0,1436,29924
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,"[TRVch# 952 Dt:31/08/2017] , Billno-KLU022102017100011",1,2751,0,0,2751
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,"[TRVch# 959 Dt:31/08/2017] , Billno-KLU022102017100012",1,2239,0,0,2239
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1046 Dt:29/09/2017] , Billno-KLU022102017100023",1,300,0,0,300
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 331 Dt:05/09/2017] , Billno-KLU02210082017-001",1,133152,0,1454,131698
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 980 Dt:26/09/2017] , Billno-KLU022102017100022",1,3651,0,0,3651
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1047 Dt:29/09/2017] , Billno-KLU022102017100024",1,100,0,0,100
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 332 Dt:05/09/2017] , Billno-KLU02210082017-002",1,58500,25000,2120,31380
KLU02-210-GSSS KHANAG,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 333 Dt:05/09/2017] , Billno-KLU02210082017-003",1,336490,95000,14029,227461
KLU02-210-GSSS KHANAG,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 1364 Dt:31/10/2017] , Billno-KLU022102017100018",1,5007,0,97,4910
