DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU03-211-GHS KUSHWA,Total, ,86,3376517,314011,172794,2889712
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 481 Dt:06/04/2017] , Billno-KLU03211032017-001",1,47520,0,0,47520
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 482 Dt:06/04/2017] , Billno-KLU03211032017-002",1,72759,20000,30,52729
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 483 Dt:06/04/2017] , Billno-KLU03211032017-003",1,102346,0,8036,94310
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 609 Dt:08/05/2017] , Billno-KLU03211042017-001",1,50020,0,0,50020
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 610 Dt:08/05/2017] , Billno-KLU03211042017-002",1,73376,20000,5060,48316
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 611 Dt:08/05/2017] , Billno-KLU03211042017-003",1,62587,0,4266,58321
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 659 Dt:08/05/2017] , Billno-KLU032112017100001",1,8199,8199,0,0
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 660 Dt:08/05/2017] , Billno-KLU032112017100002",1,4925,0,491,4434
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 618 Dt:07/06/2017] , Billno-KLU03211052017-001",1,50020,0,0,50020
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 619 Dt:07/06/2017] , Billno-KLU03211052017-002",1,73376,20000,5060,48316
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 620 Dt:07/06/2017] , Billno-KLU03211052017-003",1,62587,0,4266,58321
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 578 Dt:07/07/2017] , Billno-KLU03211062017-001",1,50020,0,0,50020
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,"[TRVch# 970 Dt:21/07/2017] , Billno-KLU032112017100005",1,7546,0,0,7546
KLU03-211-GHS KUSHWA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 634 Dt:07/07/2017] , Billno-KLU032112017100003",1,13500,0,0,13500
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 579 Dt:07/07/2017] , Billno-KLU03211062017-002",1,73376,20000,5060,48316
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 580 Dt:07/07/2017] , Billno-KLU03211062017-003",1,62587,0,4266,58321
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 476 Dt:05/08/2017] , Billno-KLU03211072017-001",1,50020,0,0,50020
KLU03-211-GHS KUSHWA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 882 Dt:29/08/2017] , Billno-KLU032112017100006",1,5850,0,0,5850
KLU03-211-GHS KUSHWA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 883 Dt:29/08/2017] , Billno-KLU032112017100007",1,1350,0,0,1350
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 477 Dt:05/08/2017] , Billno-KLU03211072017-002",1,75515,20000,5060,50455
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 478 Dt:05/08/2017] , Billno-KLU03211072017-003",1,62587,0,4266,58321
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 458 Dt:05/09/2017] , Billno-KLU03211082017-001",1,50020,0,0,50020
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-02-WAGES,"[TRVch# 1013 Dt:28/09/2017] , Billno-KLU032112017100009",1,9132,0,0,9132
KLU03-211-GHS KUSHWA,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),"[TRVch# 1015 Dt:28/09/2017] , Billno-KLU032112017100011",1,5850,0,0,5850
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 1014 Dt:28/09/2017] , Billno-KLU032112017100010",1,15607,0,0,15607
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 459 Dt:05/09/2017] , Billno-KLU03211082017-002",1,76765,20000,5060,51705
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 460 Dt:05/09/2017] , Billno-KLU03211082017-003",1,63321,0,4266,59055
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 677 Dt:09/10/2017] , Billno-KLU03211092017-001",1,33310,0,0,33310
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 678 Dt:09/10/2017] , Billno-KLU03211092017-002",1,78049,20000,5060,52989
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 680 Dt:09/10/2017] , Billno-KLU03211092017-003",1,65391,0,4467,60924
KLU03-211-GHS KUSHWA,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 642 Dt:06/11/2017] , Billno-KLU03211102017-001",1,49302,0,5,49297
KLU03-211-GHS KUSHWA,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 583 Dt:06/11/2017] , Billno-KLU032112017100012",1,10064,10064,0,0
