DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KLU04-201-GSSS HARIPUR,Total, ,189,45679320,8323779,1804051,35551490
KLU04-201-GSSS HARIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 263 Dt:24/04/2017] , Billno-KLU042012017100001",1,1500000,0,0,1500000
KLU04-201-GSSS HARIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 264 Dt:24/04/2017] , Billno-KLU042012017100002",1,100000,0,0,100000
KLU04-201-GSSS HARIPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 540 Dt:06/04/2017] , Billno-KLU04201032017-001",1,454050,136000,6500,311550
KLU04-201-GSSS HARIPUR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 541 Dt:06/04/2017] , Billno-KLU04201032017-002",1,20806,0,1949,18857
KLU04-201-GSSS HARIPUR,08-2202-01-101-03-S00N-V-P-01-SALARIES,"[TRVch# 542 Dt:06/04/2017] , Billno-KLU04201032017-003",1,32444,0,0,32444
KLU04-201-GSSS HARIPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 543 Dt:06/04/2017] , Billno-KLU04201032017-004",1,70939,43000,6337,21602
KLU04-201-GSSS HARIPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 544 Dt:06/04/2017] , Billno-KLU04201032017-005",1,651003,221000,26730,403273
KLU04-201-GSSS HARIPUR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 545 Dt:06/04/2017] , Billno-KLU04201032017-006",1,254990,0,29321,225669
KLU04-201-GSSS HARIPUR,00-8009-01-101-01-S00N-V-N-47-ADVANCES,"[TRVch# 236 Dt:25/05/2017] , Billno-KLU042012017100010",1,36000,0,0,36000
KLU04-201-GSSS HARIPUR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 235 Dt:25/05/2017] , Billno-KLU042012017100009",1,600000,0,0,600000
