DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,Total, ,283,90395545,19687904,1499245,69208396
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 108 Dt:13/04/2017] , Billno-KNG005332017100005",1,250000,0,0,250000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 109 Dt:13/04/2017] , Billno-KNG005332017100004",1,300000,0,0,300000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 110 Dt:13/04/2017] , Billno-KNG005332017100003",1,235000,0,0,235000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 111 Dt:13/04/2017] , Billno-KNG005332017100006",1,160000,0,0,160000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 112 Dt:13/04/2017] , Billno-KNG005332017100001",1,200000,0,0,200000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 113 Dt:13/04/2017] , Billno-KNG005332017100002",1,300000,0,0,300000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 802 Dt:26/04/2017] , Billno-KNG005332017100009",1,150000,0,0,150000
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,20-2515-00-101-01-S00N-V-N-01-SALARIES,"[TRVch# 1 Dt:03/04/2017] , Billno-KNG00533032017-001",1,81847,30000,60,51787
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,20-2515-00-101-01-S00N-V-N-01-SALARIES,"[TRVch# 2 Dt:03/04/2017] , Billno-KNG00533032017-002",1,2483484,918946,18754,1545784
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,20-2515-00-101-01-S00N-V-N-01-SALARIES,"[TRVch# 60 Dt:20/04/2017] , Billno-KNG005332017100007",1,76330,34000,60,42270
KNG00-533-DIST.DEV. & PANCHAYAT OFFICER DHARAMSALA,20-2515-00-101-01-S00N-V-N-05-OFFICE EXPENSES,"[TRVch# 66 Dt:25/04/2017] , Billno-KNG005332017100008",1,15426,0,0,15426
