DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG00-936-DWDO DHARAMSALA,Total, ,152,20133457,793127,219193,19121137
KNG00-936-DWDO DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 187 Dt:18/10/2017] , Billno-KNG009362017100037",1,2640532,0,0,2640532
KNG00-936-DWDO DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 46 Dt:05/06/2017] , Billno-KNG009362017100011",1,300000,0,0,300000
KNG00-936-DWDO DHARAMSALA,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 95 Dt:08/08/2017] , Billno-KNG009362017100016",1,125000,0,0,125000
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 1 Dt:01/05/2017] , Billno-KNG009361758782001",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 1 Dt:02/06/2017] , Billno-KNG009361768782001",1,1237776,0,0,1237776
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 10 Dt:04/05/2017] , Billno-KNG009361758782010",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 104 Dt:17/04/2017] , Billno-KNG009361748782104",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 109 Dt:18/04/2017] , Billno-KNG009361748782109",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 110 Dt:18/04/2017] , Billno-KNG009361748782110",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 111 Dt:18/04/2017] , Billno-KNG009361748782111",1,19800,0,0,19800
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 112 Dt:18/04/2017] , Billno-KNG009361748782112",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 114 Dt:19/04/2017] , Billno-KNG009361748782114",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 117 Dt:20/04/2017] , Billno-KNG009361748782117",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 118 Dt:20/04/2017] , Billno-KNG009361748782118",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 119 Dt:20/04/2017] , Billno-KNG009361748782119",1,19586,0,0,19586
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 120 Dt:20/04/2017] , Billno-KNG009361748782120",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 122 Dt:21/04/2017] , Billno-KNG009361748782122",1,94570,0,0,94570
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 123 Dt:21/04/2017] , Billno-KNG009361748782123",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 124 Dt:21/04/2017] , Billno-KNG009361748782124",1,25585,0,0,25585
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 137 Dt:24/04/2017] , Billno-KNG009361748782137",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 138 Dt:21/07/2017] , Billno-KNG009361778782138",1,20000,0,0,20000
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 138 Dt:24/04/2017] , Billno-KNG009361748782138",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 139 Dt:24/04/2017] , Billno-KNG009361748782139",1,28000,0,0,28000
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 141 Dt:25/04/2017] , Billno-KNG009361748782141",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 142 Dt:25/04/2017] , Billno-KNG009361748782142",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 15 Dt:08/06/2017] , Billno-KNG009361768782015",1,138500,0,0,138500
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 152 Dt:27/04/2017] , Billno-KNG009361748782152",1,41134,0,0,41134
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 153 Dt:27/04/2017] , Billno-KNG009361748782153",1,26400,0,0,26400
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 156 Dt:29/04/2017] , Billno-KNG009361748782156",1,186082,0,0,186082
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 16 Dt:08/06/2017] , Billno-KNG009361768782016",1,133960,0,0,133960
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 166 Dt:06/04/2017] , Billno-KNG009361748782166",1,361341,0,0,361341
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 2 Dt:01/05/2017] , Billno-KNG009361758782002",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 20 Dt:06/04/2017] , Billno-KNG009361748782020",1,366803,0,0,366803
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 20 Dt:06/05/2017] , Billno-KNG009361758782020",1,6600,0,0,6600
KNG00-936-DWDO DHARAMSALA,00-8782-00-103-00-S00N-V-N-00- ,"[TRVch# 200 Dt:29/05/2017] , Billno-KNG009361758782200",1,6600,0,0,6600
