DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNG01-283-PRINCIPAL GSSS PADDAR,Total, ,125,18252586,2948947,1044469,14259170
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 488 Dt:10/04/2017] , Billno-KNG01283032017-001",1,55598,35000,30,20568
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 489 Dt:10/04/2017] , Billno-KNG01283032017-002",1,120992,0,10049,110943
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 490 Dt:10/04/2017] , Billno-KNG01283032017-003",1,73244,29000,60,44184
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 491 Dt:10/04/2017] , Billno-KNG01283032017-004",1,285898,102000,3314,180584
KNG01-283-PRINCIPAL GSSS PADDAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 166 Dt:09/05/2017] , Billno-KNG012832017100007",1,300000,0,0,300000
KNG01-283-PRINCIPAL GSSS PADDAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 167 Dt:09/05/2017] , Billno-KNG012832017100006",1,300000,0,0,300000
KNG01-283-PRINCIPAL GSSS PADDAR,00-8009-01-101-02-S00N-V-N-47-ADVANCES,"[TRVch# 168 Dt:09/05/2017] , Billno-KNG012832017100008",1,300000,0,0,300000
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 557 Dt:09/05/2017] , Billno-KNG01283042017-001",1,57976,35000,2030,20946
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 558 Dt:09/05/2017] , Billno-KNG01283042017-002",1,124215,0,10290,113925
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 648 Dt:09/05/2017] , Billno-KNG012832017100003",1,11808,0,1185,10623
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 650 Dt:09/05/2017] , Billno-KNG012832017100002",1,6381,5743,638,0
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 559 Dt:09/05/2017] , Billno-KNG01283042017-003",1,76358,33000,7060,36298
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 560 Dt:09/05/2017] , Billno-KNG01283042017-004",1,292882,102000,11974,178908
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 649 Dt:09/05/2017] , Billno-KNG012832017100004",1,8352,7517,835,0
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2666 Dt:08/06/2017] , Billno-KNG01283052017-001",1,57976,35000,2030,20946
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-01-101-03-S00N-V-N-01-SALARIES,"[TRVch# 2667 Dt:08/06/2017] , Billno-KNG01283052017-002",1,124779,0,10345,114434
KNG01-283-PRINCIPAL GSSS PADDAR,08-2202-02-109-01-S00N-V-N-01-SALARIES,"[TRVch# 2668 Dt:08/06/2017] , Billno-KNG01283052017-003",1,76358,33000,7060,36298
